,,"2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021"
"All industry total","1","191,997","163,172","168,209","242,371","259,145","179,917","210,854","218,005","262,750","303,867","281,137","294,477","385,001","410,528","322,110","296,919","384,785","350,978","404,325","395,011","489,057"
"        Private industries","2","164,768","134,415","139,940","212,499","227,052","145,635","173,929","179,170","222,467","261,522","238,094","252,353","340,035","365,656","275,471","249,209","334,616","298,699","350,174","339,417","429,561"
"                Agriculture, forestry, fishing and hunting","3","85,463","51,465","42,292","99,425","99,232","17,549","36,331","26,192","36,914","91,114","51,350","41,378","83,774","74,780","5,440","11,294","70,557","20,105","52,587","42,016","103,539"
"                Mining, quarrying, and oil and gas extraction","6","2,962","3,010","4,125","6,165","9,622","10,948","14,888","22,399","45,119","16,019","12,171","39,658","61,757","90,139","69,059","34,345","44,341","49,776","28,938","14,521","12,044"
"                Utilities","10","5,979","6,392","6,702","6,828","6,510","7,340","6,529","8,807","10,035","22,721","29,744","36,558","31,861","41,946","42,547","64,260","78,132","71,766","76,505","93,510","107,660"
"                Construction","11","5,276","4,909","3,789","3,163","4,018","5,667","7,433","7,375","17,440","7,739","14,056","7,339","16,618","7,576","9,173","9,534","11,154","12,600","13,190","15,469","15,047"
"                Manufacturing","12","5,721","6,030","7,099","6,873","7,010","6,008","8,433","7,615","9,668","9,344","8,519","10,526","28,688","31,201","26,811","18,978","19,217","20,023","23,861","17,379","19,095"
"                        Durable goods manufacturing","13","1,843","1,842","1,789","2,438","2,332","2,644","3,506","2,637","S","1,471","1,287","1,186","19,635","16,773","8,946","3,067","2,685","3,656","3,887","2,677","2,955"
"                        Nondurable goods manufacturing","25","3,878","4,188","5,309","4,435","4,677","3,363","4,927","4,978","S","7,873","7,232","9,341","9,053","14,428","17,865","15,911","16,532","16,367","19,974","14,701","16,140"
"                Wholesale trade","34","1,116","1,341","998","1,247","1,107","S","S","S","S","S","S","S","1,821","1,922","3,061","3,165","3,578","S","S","S","S"
"                Retail trade","35","8,773","8,932","9,829","12,134","11,480","11,247","11,596","11,588","11,753","12,397","12,636","13,745","14,731","15,131","16,227","17,161","17,797","19,517","19,486","19,982","23,381"
"                Transportation and warehousing","36","10,908","11,316","23,669","34,830","40,561","35,576","23,754","23,586","20,003","23,903","25,181","25,913","24,901","31,882","29,418","28,437","25,814","30,928","33,996","32,229","32,664"
"                Information","45","0","0","0","58","286","368","72","S","S","S","S","S","S","2,865","3,357","2,053","1,020","710","337","951","1,001"
"                Finance, insurance, real estate, rental, and leasing","50","23,703","25,097","26,238","26,238","31,042","32,807","37,112","39,356","39,306","42,747","43,944","31,169","31,212","30,275","31,701","32,716","33,543","38,209","S","45,208","48,906"
"                        Finance and insurance","51","S","S","S","S","4,739","5,135","4,428","3,642","2,944","S","S","S","S","S","S","S","S","S","S","S","6,067"
"                        Real estate and rental and leasing","56","S","S","S","S","26,302","27,672","32,685","35,714","36,362","S","S","S","S","S","S","S","S","S","37,151","S","42,839"
"                Professional and business services","59","385","419","462","S","S","1,068","S","S","S","S","S","16,021","S","S","13,027","2,066","S","S","22,196","S","21,031"
"                        Professional, scientific, and technical services","60","S","S","S","419","S","S","S","770","790","846","734","S","733","777","1,907","1,531","1,503","1,745","1,903","1,888","S"
"                        Management of companies and enterprises","64","0","0","0","0","0","0","8,726","11,280","10,061","12,846","12,859","14,245","13,158","11,406","10,566","S","S","S","S","S","S"
"                        Administrative and support and waste management and remediation services","65","S","S","S","S","S","S","S","S","S","S","S","S","S","S","554","S","S","835","S","S","1,572"
"                Educational services, health care, and social assistance","68","1,513","1,838","2,140","2,507","2,412","S","2,492","2,996","3,629","3,444","3,792","4,192","S","4,643","4,852","4,846","S","S","4,145","3,876","4,088"
"                        Educational services","69","8","9","2","100","87","76","54","39","40","70","S","155","356","893","1,260","1,089","669","199","179","95","112"
"                        Health care and social assistance","70","1,505","1,829","2,138","2,407","2,325","S","2,438","2,957","3,589","3,374","S","4,037","S","3,750","3,592","3,757","S","S","3,966","3,781","3,976"
"                Arts, entertainment, recreation, accommodation, and food services","75","8,326","8,667","7,665","S","7,927","8,429","9,340","9,572","9,380","10,024","14,081","15,405","16,469","13,585","13,712","12,913","14,756","16,521","20,075","21,031","28,183"
"                        Arts, entertainment, and recreation","76","S","S","S","S","S","S","S","S","S","S","S","S","S","S","S","S","S","S","S","S","S"
"                        Accommodation and food services","79","S","S","S","S","S","S","S","S","S","S","S","S","S","S","S","S","S","S","S","S","S"
"                Other services (except government and government enterprises)","82","4,642","5,000","4,933","4,905","S","5,258","5,393","5,550","5,869","5,824","6,260","6,897","S","S","7,086","7,440","7,650","8,221","8,182","9,573","S"
"Government and government enterprises","83","27,230","28,757","28,270","29,873","32,094","34,283","36,925","38,835","40,283","42,345","43,043","42,123","44,966","44,872","46,640","47,711","50,169","52,279","54,151","55,594","59,496"


