,,"2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021"
"All industry total","1","2,159,656","2,214,922","2,388,567","2,549,834","2,635,622","2,800,590","3,049,650","3,281,596","3,505,100","3,809,762","4,017,268","3,989,160","4,135,259","4,334,900","4,603,044","4,840,353","5,182,082","5,607,011","6,018,033","6,223,256","6,971,622"
"        Private industries","2","1,705,805","1,751,129","1,892,710","2,027,118","2,084,257","2,217,716","2,452,366","2,639,187","2,864,496","3,142,153","3,320,973","3,301,180","3,442,650","3,621,646","3,875,162","4,071,184","4,373,385","4,776,282","5,157,035","5,328,600","6,028,796"
"                Agriculture, forestry, fishing and hunting","3","90,891","42,725","41,153","71,189","15,361","23,057","36,301","65,655","11,407","77,015","97,722","S","105,903","S","105,076","104,737","99,666","118,183","S","83,524","112,952"
"                Mining, quarrying, and oil and gas extraction","6","2,126","1,070","712","786","1,241","1,435","1,021","812","897","1,543","1,671","2,113","2,403","2,773","2,280","2,170","2,923","3,473","3,644","3,109","3,500"
"                Utilities","10","3,584","4,514","4,602","4,687","4,837","5,831","6,013","6,820","6,843","6,841","7,610","S","8,040","S","9,445","9,820","11,567","13,640","S","22,709","22,932"
"                Construction","11","103,216","100,934","113,630","137,490","154,001","156,872","170,775","151,233","148,145","197,274","156,563","142,016","161,974","191,120","206,450","227,286","262,631","287,665","348,784","425,843","441,948"
"                Manufacturing","12","432,454","449,601","575,359","579,077","584,651","647,612","749,588","803,081","1,032,420","1,099,702","1,150,106","1,001,969","954,959","1,008,611","1,098,732","1,099,670","1,153,443","1,258,200","1,387,658","1,542,413","1,887,291"
"                        Durable goods manufacturing","13","137,632","S","S","265,181","284,810","292,454","376,038","396,068","372,582","382,508","423,420","407,369","381,025","387,761","434,873","424,116","437,930","485,610","527,100","623,640","867,744"
"                        Nondurable goods manufacturing","25","294,821","S","S","313,896","299,841","355,158","373,551","407,013","659,839","717,193","726,686","594,599","573,934","620,851","663,859","675,554","715,514","772,590","860,558","918,773","1,019,548"
"                Wholesale trade","34","32,960","33,806","36,022","43,564","52,870","61,242","67,575","72,049","72,274","81,418","118,568","115,238","115,950","120,003","131,775","158,656","191,618","193,408","202,271","216,205","234,115"
