,,"2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021"
"All industry total","1","6,119,067","6,436,033","6,871,022","7,300,130","7,970,086","8,739,116","9,299,039","9,397,458","9,204,740","9,783,660","10,499,262","10,917,835","11,816,846","12,156,778","12,348,502","12,806,942","13,919,822","15,299,457","15,858,378","16,144,342","17,611,924"
"        Private industries","2","4,244,713","4,392,976","4,741,148","5,059,655","5,620,923","6,257,371","6,747,638","6,856,078","6,578,200","7,043,421","7,582,163","8,069,433","9,017,531","9,247,353","9,373,655","9,608,583","10,514,202","11,798,401","12,157,955","12,217,013","13,476,848"
"                Agriculture, forestry, fishing and hunting","3","24,438","18,261","12,944","4,551","6,650","2,748","12,294","10,622","11,855","3,056","14,201","16,474","3,651","3,420","S","4,453","5,555","6,008","8,220","6,616","10,131"
"                Mining, quarrying, and oil and gas extraction","6","7,111","3,875","6,313","11,757","17,549","21,789","17,923","19,261","19,042","16,934","20,765","21,703","21,383","28,296","18,710","17,791","23,377","24,493","20,175","45,069","33,377"
"                Utilities","10","5,631","5,955","7,135","8,739","8,589","10,591","9,538","15,986","16,502","17,036","15,834","14,429","14,703","19,579","S","23,532","42,103","67,881","97,188","160,040","171,113"
"                Construction","11","381,403","391,238","473,884","531,168","613,082","704,408","791,302","636,708","498,316","483,259","508,401","720,962","739,522","823,878","873,018","988,517","1,053,870","1,100,276","1,159,550","1,205,286","1,289,098"
"                Manufacturing","12","720,311","687,522","775,916","825,771","961,304","1,129,528","1,279,951","1,216,611","1,137,162","1,423,007","1,647,745","1,558,981","2,245,989","2,072,355","1,814,868","1,700,833","2,016,201","2,683,077","2,649,425","2,109,916","2,746,480"
"                        Durable goods manufacturing","13","436,708","452,343","482,325","487,304","528,661","561,358","647,422","603,210","542,819","683,072","837,022","877,768","883,232","903,797","982,042","1,106,995","1,202,473","1,276,435","1,289,463","1,369,821","1,410,379"
"                        Nondurable goods manufacturing","25","283,603","235,179","293,591","338,467","432,642","568,170","632,530","613,400","594,343","739,935","810,723","681,213","1,362,757","1,168,558","832,827","593,839","813,728","1,406,642","1,359,962","740,095","1,336,101"
"                Wholesale trade","34","246,190","248,187","250,784","253,171","265,053","277,142","282,468","304,437","280,071","287,977","307,472","319,896","348,910","344,024","356,949","365,971","396,391","403,676","400,189","404,034","455,063"
"                Retail trade","35","450,962","468,499","490,676","526,443","564,268","603,254","639,873","625,712","584,598","589,776","626,890","682,501","707,722","718,268","793,737","859,552","926,934","991,818","1,056,256","1,098,761","1,302,148"
"                Transportation and warehousing","36","243,505","250,251","259,958","298,447","315,544","334,126","316,835","327,352","304,187","282,564","266,968","269,863","269,968","290,791","330,353","345,784","384,543","384,833","391,366","427,986","435,666"
"                Information","45","42,249","60,169","78,902","90,970","105,550","135,290","146,912","183,928","193,773","188,005","199,361","203,783","209,006","203,742","S","176,292","177,449","174,165","179,129","215,014","276,464"
"                Finance, insurance, real estate, rental, and leasing","50","1,028,414","1,036,079","1,107,460","1,128,901","1,309,670","1,413,055","1,538,205","1,616,326","1,547,728","1,679,479","1,762,990","1,919,111","1,912,991","2,071,522","2,118,648","2,128,429","2,292,053","2,524,517","2,589,102","2,676,109","2,811,365"
"                        Finance and insurance","51","186,552","201,236","219,940","232,049","245,695","303,003","310,171","248,912","218,935","218,204","212,860","264,187","243,921","248,461","281,352","305,970","317,824","342,454","362,140","457,328","479,265"
"                        Real estate and rental and leasing","56","841,862","834,843","887,519","896,851","1,063,975","1,110,052","1,228,033","1,367,414","1,328,793","1,461,275","1,550,130","1,654,923","1,669,071","1,823,060","1,837,297","1,822,459","1,974,229","2,182,063","2,226,962","2,218,780","2,332,099"
"                Professional and business services","59","426,102","507,326","521,466","563,965","612,437","686,975","748,667","857,924","888,842","933,847","1,010,086","1,054,588","1,194,556","1,231,101","1,295,245","1,306,744","1,322,728","1,385,023","1,426,006","1,613,017","1,612,848"
"                        Professional, scientific, and technical services","60","286,684","347,296","347,649","365,341","401,306","443,431","486,542","586,136","618,217","656,530","726,059","757,403","867,195","885,992","900,864","895,105","887,407","921,676","967,748","1,116,682","1,056,905"
"                        Management of companies and enterprises","64","46,321","53,174","52,832","64,796","58,058","68,998","69,116","73,279","72,363","68,345","66,868","71,838","79,062","70,953","108,501","115,452","107,742","122,779","105,674","101,022","119,007"
"                        Administrative and support and waste management and remediation services","65","93,097","106,856","120,985","133,828","153,073","174,546","193,009","198,509","198,263","208,973","217,159","225,347","248,299","274,156","285,880","296,188","327,579","340,568","352,585","395,313","436,936"
"                Educational services, health care, and social assistance","68","283,310","299,918","331,429","364,083","385,834","433,767","455,293","499,083","546,721","576,579","619,192","653,055","705,608","753,482","795,812","888,051","995,933","1,116,052","1,173,566","1,260,477","1,223,722"
"                        Educational services","69","16,378","15,344","16,942","20,950","24,524","30,699","38,875","47,913","57,996","70,613","77,301","83,966","105,216","128,544","155,940","193,675","232,213","298,754","285,134","337,597","218,734"
"                        Health care and social assistance","70","266,932","284,574","314,487","343,134","361,310","403,068","416,418","451,171","488,724","505,966","541,890","569,089","600,392","624,938","639,871","694,376","763,720","817,298","888,433","922,880","1,004,988"
"                Arts, entertainment, recreation, accommodation, and food services","75","154,738","164,335","165,902","176,152","187,489","209,701","218,581","227,889","234,651","251,383","265,293","289,513","286,704","306,800","342,850","376,097","416,414","445,301","492,997","432,215","512,269"
"                        Arts, entertainment, and recreation","76","36,982","39,934","41,826","45,018","44,675","51,262","54,985","60,353","67,042","79,993","85,308","95,239","86,327","94,636","105,723","122,730","140,381","137,870","135,255","127,764","137,996"
"                        Accommodation and food services","79","117,757","124,401","124,076","131,134","142,814","158,439","163,597","167,536","167,609","171,390","179,985","194,274","200,377","212,164","237,127","253,368","276,033","307,431","357,742","304,451","374,273"
"                Other services (except government and government enterprises)","82","230,348","251,362","258,378","275,537","267,904","294,998","289,794","314,240","314,752","310,518","316,967","344,572","356,818","380,094","403,386","426,535","460,650","491,282","514,786","562,473","597,105"
"Government and government enterprises","83","1,874,354","2,043,056","2,129,874","2,240,476","2,349,163","2,481,745","2,551,401","2,541,380","2,626,540","2,740,239","2,917,099","2,848,402","2,799,315","2,909,425","2,974,847","3,198,359","3,405,620","3,501,056","3,700,422","3,927,329","4,135,075"


