,,"2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021"
"All industry total","1","566,748","545,844","578,720","610,537","677,786","718,898","736,663","777,576","835,436","836,447","940,237","928,409","952,566","933,457","897,876","900,269","928,503","913,639","1,003,525","999,122","1,266,044"
"        Private industries","2","527,099","506,139","542,001","570,173","633,283","673,659","690,644","727,377","781,438","781,452","883,945","872,083","898,807","884,178","843,558","847,095","869,871","856,481","951,072","947,409","1,207,116"
"                Agriculture, forestry, fishing and hunting","3","370","1,265","3,487","2,471","921","3,156","5,735","7,528","6,235","964","3,520","1,747","10,901","23,502","18,468","19,646","5,671","14,617","10,815","17,043","16,131"
"                Mining, quarrying, and oil and gas extraction","6","101,169","76,914","81,490","91,077","139,649","147,269","143,605","142,794","151,651","124,982","140,309","151,017","150,078","144,725","66,577","56,498","75,392","96,088","106,391","75,965","119,384"
"                Utilities","10","S","300,858","319,599","344,819","346,033","372,139","374,812","391,873","424,070","441,389","473,081","553,972","556,360","529,266","582,952","587,772","610,989","560,598","632,640","655,070","860,248"
"                Construction","11","11,638","14,648","15,204","14,547","16,279","23,330","26,842","23,245","31,201","35,788","31,265","29,583","29,945","38,304","23,739","24,844","20,182","24,124","25,199","28,845","31,544"
"                Manufacturing","12","2,382","1,772","3,125","3,554","2,707","2,293","2,046","2,889","3,431","1,912","2,264","1,502","2,019","2,202","2,983","2,824","2,760","3,702","3,977","3,566","4,744"
"                        Durable goods manufacturing","13","S","S","S","1,898","1,113","910","S","S","S","S","S","S","1,907","2,018","2,427","2,245","1,998","2,249","2,363","2,084","S"
"                        Nondurable goods manufacturing","25","S","S","S","1,656","1,594","1,384","S","S","S","S","S","S","112","184","556","579","762","1,453","1,614","1,482","S"
"                Wholesale trade","34","S","S","S","S","S","S","S","S","S","S","S","S","S","S","3,139","S","S","S","S","S","S"
"                Retail trade","35","12,243","12,505","14,552","17,168","15,156","15,308","15,955","16,238","16,052","15,465","15,245","15,565","15,845","16,029","16,422","17,758","19,191","20,932","22,607","23,735","26,883"
"                Transportation and warehousing","36","8,274","7,823","8,714","8,423","9,134","7,940","6,244","5,429","4,584","4,807","5,011","4,142","3,422","3,588","S","2,143","2,752","2,465","2,781","3,559","3,962"
"                Information","45","11,914","15,991","16,528","16,978","20,059","24,844","27,146","30,180","28,306","26,431","27,356","27,990","S","S","S","S","S","S","S","S","S"
"                Finance, insurance, real estate, rental, and leasing","50","33,494","37,508","41,121","42,214","47,266","48,296","47,566","60,482","70,180","68,238","72,197","52,429","54,735","55,640","57,552","60,354","65,342","60,426","66,747","63,886","62,681"
"                        Finance and insurance","51","S","S","S","S","S","4,338","S","3,587","3,179","S","S","S","2,948","2,905","3,036","3,345","3,856","4,076","4,398","5,045","5,933"
"                        Real estate and rental and leasing","56","S","S","S","S","S","43,958","S","56,894","67,002","S","S","S","51,786","52,735","54,516","57,009","61,486","56,350","62,349","58,841","56,748"
"                Professional and business services","59","15,129","14,906","14,989","5,653","S","4,574","14,687","18,972","17,879","34,884","86,190","8,016","22,583","20,611","18,284","19,709","17,765","16,643","19,592","16,276","17,397"
"                        Professional, scientific, and technical services","60","2,410","2,677","2,739","2,477","2,744","3,361","3,947","5,035","4,928","18,702","S","5,193","5,726","5,578","5,292","5,041","4,925","5,741","6,720","6,396","6,631"
"                        Management of companies and enterprises","64","11,149","11,103","9,558","S","9,105","S","S","S","S","S","S","S","S","S","S","S","S","S","S","S","S"
"                        Administrative and support and waste management and remediation services","65","1,569","1,126","2,692","S","S","S","S","S","S","S","S","S","S","S","S","S","S","S","S","S","S"
"                Educational services, health care, and social assistance","68","2,210","S","S","S","2,131","S","S","S","S","S","S","S","2,708","2,540","2,360","2,321","2,546","7,419","8,802","9,479","9,201"
"                        Educational services","69","3","S","S","S","S","S","S","S","S","S","S","S","S","S","S","S","S","S","S","S","S"
"                        Health care and social assistance","70","2,207","S","S","S","S","S","S","S","S","S","S","S","S","S","S","S","S","S","S","S","S"
"                Arts, entertainment, recreation, accommodation, and food services","75","5,162","5,657","6,375","6,965","6,806","6,974","7,219","7,876","7,042","7,039","7,585","8,218","8,162","8,337","9,425","10,058","10,404","11,637","13,271","9,589","13,268"
"                        Arts, entertainment, and recreation","76","403","477","697","839","178","11","S","13","7","228","603","950","744","252","96","94","157","128","135","76","116"
"                        Accommodation and food services","79","4,759","5,180","5,678","6,126","6,628","6,963","S","7,863","7,035","6,811","6,982","7,268","7,418","8,085","9,329","9,964","10,247","11,509","13,136","9,513","13,152"
"                Other services (except government and government enterprises)","82","11,377","12,305","12,304","11,761","11,612","12,190","13,049","14,512","15,766","14,722","14,946","12,692","12,587","12,689","13,425","14,654","11,838","12,069","11,745","13,551","13,557"
"Government and government enterprises","83","39,649","39,704","36,719","40,364","44,503","45,239","46,019","50,198","53,997","54,995","56,292","56,326","53,758","49,279","54,318","53,174","58,632","57,158","52,453","51,713","58,928"


