,,"2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021"
"All industry total","1","219,705","230,814","248,376","273,754","314,066","351,334","365,020","413,255","428,540","436,497","447,532","438,796","447,722","485,757","483,357","509,324","573,887","629,230","681,257","635,862","722,690"
"        Private industries","2","176,017","186,647","202,118","223,818","262,308","296,758","310,425","354,944","366,541","372,746","382,429","370,243","377,141","415,710","412,106","435,603","495,861","543,721","589,208","542,710","623,276"
"                Agriculture, forestry, fishing and hunting","3","3,457","2,895","1,950","286","1,131","4,826","4,993","4,943","4,642","4,699","910","1,597","1,059","701","1,955","621","563","1,867","4,607","3,409","4,073"
"                Mining, quarrying, and oil and gas extraction","6","13,118","11,702","14,460","24,842","37,808","41,924","43,941","67,017","67,428","65,881","69,450","61,391","62,329","72,733","38,907","33,031","43,965","42,558","44,376","39,291","44,099"
"                Utilities","10","S","2,123","2,131","2,355","2,395","2,626","1,984","3,073","2,689","2,851","2,990","2,898","S","3,794","4,496","3,833","S","8,549","11,431","17,395","18,277"
"                Construction","11","11,809","12,590","13,149","17,588","22,754","24,437","25,595","26,480","33,244","27,580","21,215","25,877","27,962","31,310","32,484","33,540","37,173","35,217","45,956","51,348","41,100"
"                Manufacturing","12","2,363","2,825","2,832","2,328","2,289","2,816","3,321","4,143","5,372","5,423","5,449","3,857","3,418","4,927","5,707","6,419","13,713","17,302","21,771","18,148","18,945"
"                        Durable goods manufacturing","13","555","500","1,015","943","S","S","S","S","S","S","S","S","S","2,227","2,013","2,232","2,393","2,949","5,498","4,534","4,547"
"                        Nondurable goods manufacturing","25","1,808","2,325","1,817","1,385","S","S","S","S","S","S","S","S","S","2,699","3,694","4,188","11,319","14,353","16,272","13,614","14,398"
"                Wholesale trade","34","2,938","S","S","4,139","5,051","5,442","7,001","7,273","5,805","5,688","5,810","5,665","6,531","6,291","6,225","6,848","S","7,920","8,422","7,945","9,249"
"                Retail trade","35","21,053","21,327","23,847","25,714","31,473","39,283","38,005","37,899","34,544","36,450","37,345","41,829","42,040","41,395","44,124","48,574","44,932","46,378","44,088","44,441","52,375"
"                Transportation and warehousing","36","4,392","S","S","S","S","S","S","6,179","6,477","16,342","15,961","11,449","12,012","12,759","13,235","14,082","14,324","19,161","19,464","23,075","24,928"
"                Information","45","S","3,232","3,833","4,371","5,338","7,142","6,920","7,125","5,423","4,499","4,374","4,226","S","4,653","5,864","6,570","5,950","5,665","6,090","6,330","6,554"
"                Finance, insurance, real estate, rental, and leasing","50","49,083","54,073","59,343","59,496","66,168","70,248","71,106","84,031","96,777","93,795","99,445","82,035","78,800","79,446","86,187","98,729","112,438","122,064","138,407","112,602","117,238"
"                        Finance and insurance","51","5,710","6,984","7,331","8,407","8,699","9,000","8,721","7,915","6,698","6,843","6,243","6,299","5,772","6,671","7,029","7,225","7,936","9,245","9,742","10,877","12,042"
"                        Real estate and rental and leasing","56","43,374","47,089","52,012","51,089","57,469","61,248","62,385","76,116","90,078","86,952","93,203","75,736","73,028","72,775","79,159","91,504","104,503","112,819","128,664","101,725","105,196"
"                Professional and business services","59","8,736","8,620","9,747","S","S","S","S","16,125","15,109","17,401","19,842","20,872","20,580","33,767","32,350","32,286","34,663","33,142","40,722","43,196","46,682"
"                        Professional, scientific, and technical services","60","5,272","5,116","6,028","8,698","8,244","8,175","10,331","11,127","10,096","11,307","13,644","14,141","14,077","13,988","S","S","S","S","S","17,272","19,798"
"                        Management of companies and enterprises","64","S","S","S","S","S","S","S","S","S","S","S","S","S","S","S","S","S","S","S","S","S"
"                        Administrative and support and waste management and remediation services","65","S","S","S","S","S","S","S","S","S","S","S","S","S","S","7,488","S","9,747","10,195","S","S","S"
"                Educational services, health care, and social assistance","68","9,382","10,628","11,314","13,099","15,664","16,449","16,322","17,310","17,915","18,059","20,211","20,737","21,044","23,856","26,868","28,282","29,904","32,968","35,490","36,063","39,578"
"                        Educational services","69","S","1,825","1,780","1,843","1,827","1,687","1,771","2,291","2,380","2,099","1,836","1,516","1,633","1,848","2,141","2,705","2,661","2,843","3,161","2,358","3,338"
"                        Health care and social assistance","70","S","8,803","9,534","11,256","13,837","14,762","14,550","15,019","15,535","15,961","18,375","19,221","19,411","22,008","24,727","25,577","27,243","30,125","32,329","33,705","36,240"
"                Arts, entertainment, recreation, accommodation, and food services","75","36,870","39,101","40,094","41,191","44,147","52,147","59,482","63,237","61,264","64,199","68,505","76,004","81,873","86,840","100,252","109,788","131,327","156,674","153,535","123,997","183,836"
"                        Arts, entertainment, and recreation","76","5,561","5,634","6,228","6,801","7,459","8,045","8,783","9,078","9,282","10,285","11,382","13,580","13,879","15,778","16,737","19,414","20,674","21,706","21,576","19,033","27,355"
"                        Accommodation and food services","79","31,309","33,467","33,866","34,390","36,687","44,102","50,698","54,159","51,982","53,914","57,123","62,424","67,993","71,062","83,516","90,374","110,652","134,968","131,959","104,964","156,481"
"                Other services (except government and government enterprises)","82","8,008","9,129","9,934","9,629","9,418","10,541","10,323","10,109","9,852","9,879","10,922","11,805","12,012","13,238","13,452","12,998","13,560","14,254","14,850","15,472","16,341"
"Government and government enterprises","83","43,688","44,167","46,257","49,935","51,758","54,576","54,595","58,311","61,999","63,752","65,103","68,553","70,581","70,047","71,250","73,720","78,026","85,509","92,049","93,152","99,415"


