,,"2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021"
"All industry total","1","766,530","831,750","869,395","938,786","1,035,534","1,197,925","1,202,539","1,190,674","1,179,399","1,180,744","1,267,600","1,189,465","1,231,563","1,314,983","1,345,789","1,432,839","1,554,096","1,761,500","1,944,390","2,047,401","2,314,250"
"        Private industries","2","592,545","653,022","687,280","738,658","826,349","973,923","965,135","936,338","923,927","914,862","990,054","916,323","961,648","1,037,467","1,061,294","1,132,872","1,234,832","1,424,479","1,587,014","1,668,354","1,903,437"
"                Agriculture, forestry, fishing and hunting","3","26,223","60,405","71,373","71,382","73,765","57,200","51,195","44,613","27,913","9,518","53,411","29,005","53,763","49,697","50,121","37,791","24,954","83,608","102,711","64,383","70,530"
"                Mining, quarrying, and oil and gas extraction","6","3,022","122","153","169","1,237","7,353","6,353","6,564","7,218","10,443","11,815","7,353","7,485","46,729","9,129","14,550","21,034","19,626","19,192","22,706","23,433"
"                Utilities","10","5,281","5,518","5,962","6,338","6,678","7,871","7,598","8,702","8,617","9,193","10,084","9,604","10,113","10,973","12,669","35,681","63,512","64,452","72,220","97,294","123,395"
"                Construction","11","41,660","46,237","52,517","57,207","74,011","92,055","96,168","72,925","56,742","49,732","31,715","32,737","46,927","59,887","75,009","79,714","91,471","108,009","130,204","150,144","195,429"
"                Manufacturing","12","104,535","101,362","104,334","114,179","127,467","192,135","146,850","141,042","197,177","189,728","202,199","155,652","137,827","147,333","171,554","176,831","210,815","223,875","238,732","259,746","282,152"
"                        Durable goods manufacturing","13","33,479","26,371","25,101","40,036","58,068","121,493","71,075","68,355","85,734","80,087","80,110","54,717","52,203","47,464","53,099","52,663","63,268","73,599","77,003","86,833","95,962"
"                        Nondurable goods manufacturing","25","71,056","74,991","79,233","74,143","69,400","70,642","75,776","72,687","111,442","109,641","122,089","100,935","85,624","99,869","118,455","124,168","147,546","150,276","161,729","172,913","186,190"
"                Wholesale trade","34","19,528","24,233","24,536","24,873","25,350","29,444","32,161","26,559","22,088","21,043","23,482","25,519","26,611","27,196","28,253","30,270","35,463","37,494","40,342","42,519","49,292"
"                Retail trade","35","66,875","68,608","81,122","95,789","99,136","105,579","111,452","106,260","99,604","99,365","96,880","98,487","103,561","107,034","117,453","130,561","133,147","144,897","155,978","170,641","196,516"
"                Transportation and warehousing","36","21,412","22,709","21,833","20,768","22,127","23,658","23,346","22,832","20,725","22,502","36,970","41,493","40,530","38,990","26,187","25,424","26,724","29,105","32,840","40,233","42,058"
"                Information","45","8,633","S","11,128","11,816","13,538","16,984","20,163","19,302","15,441","13,222","12,688","9,539","9,317","10,268","11,818","11,050","12,503","11,959","11,386","13,089","15,650"
"                Finance, insurance, real estate, rental, and leasing","50","149,937","158,509","163,580","169,657","210,303","245,093","261,941","264,337","250,333","267,542","276,879","258,118","265,293","269,909","277,814","281,426","292,451","341,774","383,720","405,981","441,391"
"                        Finance and insurance","51","32,007","39,572","40,447","42,891","48,524","63,991","63,335","55,888","48,309","51,341","59,662","64,960","63,448","77,066","80,742","83,763","83,567","94,533","105,828","114,087","123,480"
"                        Real estate and rental and leasing","56","117,930","118,937","123,133","126,766","161,780","181,103","198,605","208,449","202,024","216,200","217,217","193,158","201,845","192,844","197,073","197,663","208,884","247,241","277,891","291,893","317,911"
"                Professional and business services","59","49,593","50,826","42,513","51,421","49,710","57,066","59,565","67,169","61,955","64,649","65,778","64,255","65,884","67,703","70,865","76,645","76,795","84,207","96,522","102,931","119,669"
"                        Professional, scientific, and technical services","60","S","S","S","S","18,274","23,991","25,426","27,387","25,203","22,189","21,369","18,344","21,989","25,197","26,217","29,888","32,190","37,987","47,862","55,824","61,574"
"                        Management of companies and enterprises","64","S","S","S","S","10,738","12,184","11,592","14,472","12,850","14,635","15,660","17,876","17,202","14,637","13,978","15,977","17,151","15,600","13,847","11,228","13,260"
"                        Administrative and support and waste management and remediation services","65","23,796","24,817","19,445","18,742","20,697","20,891","22,547","25,310","23,902","27,825","28,749","28,036","26,693","27,870","30,671","30,780","27,455","30,620","34,813","35,878","44,835"
"                Educational services, health care, and social assistance","68","28,657","33,169","37,266","43,021","46,256","55,620","59,880","65,977","70,137","68,478","70,643","77,371","83,261","92,102","95,964","109,514","114,359","123,088","132,042","137,736","152,017"
"                        Educational services","69","1,428","1,350","1,202","1,781","2,051","2,273","2,526","3,439","4,497","4,138","4,254","4,601","5,045","5,925","6,203","7,444","7,883","8,575","9,470","9,927","11,151"
"                        Health care and social assistance","70","27,229","31,819","36,064","41,240","44,205","53,348","57,354","62,539","65,640","64,340","66,389","72,770","78,216","86,177","89,761","102,071","106,476","114,513","122,572","127,809","140,866"
"                Arts, entertainment, recreation, accommodation, and food services","75","38,193","38,267","38,027","37,777","41,350","44,328","49,160","48,352","43,435","44,144","46,711","50,921","57,309","57,350","63,773","69,756","73,933","91,237","108,269","87,373","112,351"
"                        Arts, entertainment, and recreation","76","7,897","8,278","8,837","8,764","8,322","8,498","9,508","8,641","7,607","7,473","7,493","8,380","11,960","9,302","10,450","12,110","11,860","14,831","17,867","14,633","16,842"
"                        Accommodation and food services","79","30,296","29,989","29,190","29,012","33,029","35,829","39,651","39,711","35,828","36,670","39,218","42,541","45,349","48,048","53,323","57,646","62,073","76,407","90,401","72,741","95,509"
"                Other services (except government and government enterprises)","82","28,997","S","32,938","34,262","35,421","39,537","39,302","41,704","42,543","45,303","50,799","56,269","53,766","52,295","50,684","53,659","57,670","61,147","62,858","73,577","79,552"
"Government and government enterprises","83","173,986","178,728","182,115","200,128","209,185","224,003","237,404","254,336","255,472","265,882","277,546","273,142","269,915","277,516","284,495","299,967","319,264","337,021","357,376","379,048","410,814"


