,,"2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021"
"All industry total","1","148,520","164,528","157,601","191,973","236,613","305,357","353,345","341,394","360,686","401,825","407,242","352,798","389,913","401,252","434,358","412,464","412,889","497,253","539,386","549,743","699,353"
"        Private industries","2","123,069","138,758","130,669","163,468","205,410","270,629","316,927","302,613","321,437","362,299","367,002","312,616","349,827","360,299","391,741","367,240","364,472","446,059","487,159","496,223","641,898"
"                Agriculture, forestry, fishing and hunting","3","2,429","1,595","892","10,841","14,081","19,549","8,788","2,876","6,296","4,625","7,776","2,976","7,780","10,050","16,087","3,318","10,485","30,217","10,182","1,650","34,629"
"                Mining, quarrying, and oil and gas extraction","6","3,181","3,319","4,209","5,956","11,149","17,685","21,353","18,844","16,648","25,604","28,427","17,349","19,336","26,040","25,743","28,795","13,566","6,254","10,131","14,472","25,335"
"                Utilities","10","0","0","0","1,180","6,471","42,846","72,594","58,016","59,692","68,787","71,253","70,493","75,938","80,811","80,842","61,434","52,564","97,133","S","124,148","154,027"
"                Construction","11","7,243","18,371","10,106","19,625","26,558","27,453","39,249","39,688","37,405","21,143","15,650","17,597","27,693","20,325","32,111","32,551","24,789","29,528","25,488","28,952","35,337"
"                Manufacturing","12","21,700","25,206","24,844","34,584","38,078","43,334","46,078","46,660","67,460","103,607","107,235","68,193","71,005","80,921","88,215","86,613","91,128","99,372","121,297","135,773","180,165"
"                        Durable goods manufacturing","13","S","S","S","S","S","S","S","35,396","53,638","85,293","87,627","48,227","51,185","50,763","55,108","56,979","59,009","57,495","78,810","88,836","131,739"
"                        Nondurable goods manufacturing","25","S","S","S","S","S","S","S","11,265","13,822","18,314","19,608","19,966","19,820","30,159","33,107","29,634","32,119","41,877","42,487","46,937","48,427"
"                Wholesale trade","34","3,044","2,924","2,647","2,112","2,325","2,701","2,731","2,803","2,605","3,167","3,419","3,878","4,031","4,585","5,604","6,775","8,135","8,787","7,488","5,684","6,101"
"                Retail trade","35","12,732","12,955","14,625","18,694","16,783","16,708","16,323","15,919","14,973","13,254","12,502","12,587","11,879","11,361","10,920","11,815","13,712","15,839","17,929","20,035","23,571"
"                Transportation and warehousing","36","13,969","14,176","12,753","S","S","S","S","S","S","S","S","S","S","S","S","S","S","S","S","S","S"
"                Information","45","14","17","51","148","611","S","S","S","S","S","S","S","S","S","S","S","S","S","S","4,162","4,416"
"                Finance, insurance, real estate, rental, and leasing","50","25,417","26,775","26,339","26,633","32,442","35,326","41,480","43,363","42,487","45,143","45,253","35,659","36,544","36,071","36,315","36,226","36,831","43,428","49,560","52,164","58,450"
"                        Finance and insurance","51","3,710","4,305","S","S","4,253","4,788","5,422","4,704","4,000","3,374","3,475","3,916","4,185","5,001","S","S","S","6,258","7,051","9,770","11,974"
"                        Real estate and rental and leasing","56","21,707","22,471","S","S","28,189","30,538","36,058","38,659","38,488","41,769","41,778","31,743","32,359","31,070","S","S","S","37,170","42,510","42,393","46,476"
"                Professional and business services","59","15,651","10,685","10,265","10,472","20,071","21,500","22,139","25,130","23,536","26,376","28,545","28,387","31,847","28,861","26,771","28,874","28,796","29,040","35,451","S","S"
"                        Professional, scientific, and technical services","60","9,077","7,950","S","S","S","S","S","10,335","9,726","9,837","10,986","11,554","14,934","14,034","13,163","12,733","12,623","14,798","16,195","S","S"
"                        Management of companies and enterprises","64","S","S","0","0","8,583","9,568","8,718","S","S","12,847","12,873","14,370","14,094","S","10,528","12,047","12,700","10,640","14,281","S","S"
"                        Administrative and support and waste management and remediation services","65","S","S","S","S","S","S","S","S","S","3,692","4,686","2,463","2,819","S","3,081","4,095","3,472","3,602","4,975","6,438","7,343"
"                Educational services, health care, and social assistance","68","4,698","8,871","10,668","S","12,906","14,551","14,830","16,304","18,785","18,174","18,456","22,969","25,113","25,605","28,438","29,318","S","S","S","S","S"
"                        Educational services","69","5","5","4","11","S","S","S","S","S","S","S","S","S","S","S","S","S","S","S","S","S"
"                        Health care and social assistance","70","4,693","8,866","10,664","S","S","S","S","S","S","S","S","S","S","S","S","S","S","S","S","S","S"
"                Arts, entertainment, recreation, accommodation, and food services","75","7,354","7,188","6,536","6,632","S","6,451","7,242","7,750","7,542","6,729","6,571","6,378","6,823","7,186","7,368","S","8,943","10,154","S","9,298","10,937"
"                        Arts, entertainment, and recreation","76","S","S","S","S","S","S","55","S","S","S","S","S","S","S","S","S","S","S","S","432","753"
"                        Accommodation and food services","79","S","S","S","S","S","S","7,188","S","S","S","S","S","S","S","S","S","S","S","S","8,865","10,184"
"                Other services (except government and government enterprises)","82","5,636","6,675","6,734","6,509","6,100","S","S","S","S","S","S","S","S","S","S","S","S","S","S","14,804","15,829"
"Government and government enterprises","83","25,451","25,770","26,931","28,506","31,202","34,728","36,419","38,781","39,249","39,526","40,240","40,181","40,086","40,952","42,617","45,224","48,416","51,194","52,227","53,520","57,454"


