,,"2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021"
"All industry total","1","528,080","539,838","523,381","601,932","599,890","642,244","701,620","712,944","732,933","756,229","855,463","743,656","865,702","862,298","876,578","804,215","848,512","853,025","913,968","919,435","1,046,927"
"        Private industries","2","475,592","487,261","470,037","543,974","536,631","578,418","639,187","647,605","666,491","690,308","786,106","675,511","797,778","797,295","809,298","734,427","773,468","783,592","846,581","851,752","970,761"
"                Agriculture, forestry, fishing and hunting","3","44,939","51,701","39,387","47,074","41,269","37,162","85,384","69,655","38,950","20,322","80,566","62,436","90,181","76,973","82,748","29,880","17,765","35,291","71,510","53,981","73,977"
"                Mining, quarrying, and oil and gas extraction","6","11,425","8,912","9,223","13,179","21,517","24,326","26,607","29,631","35,060","42,415","48,771","35,814","40,043","56,419","39,168","40,769","56,524","53,293","55,309","56,405","56,152"
"                Utilities","10","286,821","270,300","262,959","311,090","299,285","336,307","330,161","336,538","366,094","399,295","430,678","365,818","446,303","443,426","432,255","397,716","411,355","400,970","406,653","417,789","486,947"
"                Construction","11","2,536","15,045","7,273","5,071","7,895","5,936","6,083","5,667","8,247","14,468","10,522","9,340","11,781","7,821","9,194","12,839","14,262","12,213","11,469","12,028","14,219"
"                Manufacturing","12","7,598","9,231","10,447","12,005","11,534","12,398","15,919","13,726","16,328","20,427","23,526","21,269","18,097","20,715","21,608","21,489","26,159","26,417","25,730","27,985","29,000"
"                        Durable goods manufacturing","13","S","S","S","S","S","S","S","S","S","S","8,788","S","9,979","10,900","11,151","12,097","15,503","16,236","14,615","15,445","15,215"
"                        Nondurable goods manufacturing","25","S","S","S","S","S","S","S","S","S","S","14,738","S","8,118","9,815","10,457","9,391","10,656","10,181","11,114","12,540","13,785"
"                Wholesale trade","34","5,914","6,089","5,686","5,864","6,076","6,100","S","S","S","S","S","S","S","S","S","S","S","S","S","S","S"
"                Retail trade","35","22,628","23,369","26,676","25,269","22,981","21,883","21,267","20,679","20,310","20,349","20,638","21,465","22,642","21,719","24,091","26,244","28,746","32,346","34,436","36,231","41,055"
"                Transportation and warehousing","36","S","S","S","S","S","S","S","30,402","42,525","25,938","21,774","23,988","28,934","29,504","49,351","39,799","36,692","29,003","36,497","41,730","42,338"
"                Information","45","2,770","2,511","2,951","2,878","3,968","5,337","5,224","4,900","4,982","4,405","3,585","2,501","2,534","3,229","3,454","2,263","1,962","1,979","2,372","2,317","2,380"
"                Finance, insurance, real estate, rental, and leasing","50","39,102","41,588","45,761","46,313","52,236","55,210","62,548","65,687","64,215","69,733","70,373","49,189","49,966","48,604","49,447","53,080","55,590","65,239","S","70,285","76,805"
"                        Finance and insurance","51","S","S","S","S","S","8,874","7,695","S","S","3,909","4,258","4,441","4,166","S","4,731","S","S","S","S","8,871","9,835"
"                        Real estate and rental and leasing","56","S","S","S","S","S","46,336","54,853","S","S","65,824","66,115","44,748","45,800","S","44,716","S","S","S","61,775","61,414","66,970"
"                Professional and business services","59","18,004","S","S","29,800","22,214","25,054","25,568","30,140","28,625","31,316","S","37,270","39,450","38,537","37,921","41,758","43,617","46,290","48,398","47,307","50,628"
"                        Professional, scientific, and technical services","60","S","S","S","S","S","S","S","S","S","S","S","S","S","S","S","S","S","S","S","S","S"
"                        Management of companies and enterprises","64","S","S","S","S","S","S","S","S","S","S","S","S","S","S","S","S","S","S","S","S","S"
"                        Administrative and support and waste management and remediation services","65","S","5,588","6,266","8,254","8,450","9,576","10,575","12,429","12,367","11,982","12,280","16,158","17,920","18,884","19,788","21,848","23,186","27,048","28,778","31,762","34,129"
"                Educational services, health care, and social assistance","68","8,070","8,782","10,442","12,438","14,021","13,010","14,960","S","S","16,376","18,143","S","S","S","S","S","S","28,771","30,056","S","S"
"                        Educational services","69","0","1","12","33","43","S","S","S","S","S","S","S","S","S","S","S","S","S","S","S","S"
"                        Health care and social assistance","70","8,070","8,781","10,429","12,405","13,978","S","S","S","S","S","S","S","S","S","S","S","S","S","S","S","S"
"                Arts, entertainment, recreation, accommodation, and food services","75","S","6,205","5,798","S","S","S","7,205","7,445","6,910","S","7,512","8,154","8,257","8,427","9,427","9,548","11,372","S","12,723","10,708","12,525"
"                        Arts, entertainment, and recreation","76","S","480","501","S","S","S","S","474","411","S","830","1,243","1,115","617","269","303","363","S","S","474","534"
"                        Accommodation and food services","79","S","5,724","5,297","S","S","S","S","6,971","6,499","S","6,681","6,911","7,143","7,811","9,158","9,245","11,009","S","S","10,234","11,991"
"                Other services (except government and government enterprises)","82","8,369","9,045","10,452","12,485","10,649","10,482","10,385","11,269","11,274","10,996","10,488","11,383","11,640","11,719","12,001","11,952","13,003","12,597","13,255","15,226","15,915"
"Government and government enterprises","83","52,488","52,576","53,344","57,959","63,259","63,826","62,433","65,339","66,441","65,920","69,357","68,145","67,924","65,004","67,280","69,788","75,044","69,433","67,387","67,682","76,166"


