,,"2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021"
"All industry total","1","116,825","121,830","128,641","131,730","155,971","170,599","191,563","183,733","189,402","215,759","210,798","229,606","232,715","256,237","258,281","265,385","291,875","321,816","341,017","367,426","400,576"
"        Private industries","2","99,782","104,460","111,087","113,324","136,189","149,563","169,009","160,071","165,386","190,439","185,171","204,256","205,343","228,038","229,472","234,916","258,521","287,411","303,696","326,375","356,019"
"                Agriculture, forestry, fishing and hunting","3","5,594","6,569","7,570","2,655","5,133","9,405","14,391","14,655","12,088","18,921","16,011","17,996","11,608","8,501","3,264","3,287","5,828","5,661","1,717","1,528","2,759"
"                Mining, quarrying, and oil and gas extraction","6","283","245","384","288","423","466","401","769","1,068","1,668","2,947","2,500","3,376","8,432","4,796","3,949","5,751","4,372","16,586","16,798","17,908"
"                Utilities","10","217","261","345","442","558","722","406","731","831","817","1,282","888","1,020","S","S","1,628","2,921","4,547","S","10,770","10,942"
"                Construction","11","13,923","11,401","12,049","17,246","18,886","22,960","35,596","29,466","22,061","29,362","25,871","29,200","32,507","40,371","37,827","44,780","46,068","58,938","57,481","64,029","63,917"
"                Manufacturing","12","13,819","14,818","15,331","19,254","19,204","19,208","21,540","20,770","20,547","24,473","22,433","26,004","24,053","24,781","26,082","26,156","30,631","33,100","27,236","26,139","26,247"
"                        Durable goods manufacturing","13","12,538","S","S","17,530","S","S","S","S","S","S","S","S","21,138","22,358","23,884","24,282","28,711","30,874","24,597","23,039","23,111"
"                        Nondurable goods manufacturing","25","1,280","S","S","1,725","S","S","S","S","S","S","S","S","2,914","2,423","2,199","1,874","1,921","2,226","2,639","3,099","3,136"
"                Wholesale trade","34","S","16,317","18,064","20,131","20,773","19,840","18,724","18,396","16,412","16,743","19,441","24,235","26,508","27,376","27,403","24,609","26,677","31,506","40,627","44,961","54,464"
"                Retail trade","35","5,912","6,395","6,363","6,526","7,855","S","9,010","8,983","8,332","8,043","8,920","10,137","10,819","10,800","11,789","11,923","13,985","17,560","19,343","19,411","23,466"
"                Transportation and warehousing","36","S","314","702","673","1,174","1,120","1,399","1,144","1,005","572","511","524","622","933","1,546","1,268","1,825","1,397","3,227","6,147","6,819"
"                Information","45","63","S","S","394","S","S","S","S","S","S","S","S","S","S","S","S","706","512","S","S","1,377"
"                Finance, insurance, real estate, rental, and leasing","50","21,639","22,305","24,165","25,571","31,862","34,517","33,686","39,803","47,546","50,382","48,777","51,611","51,067","59,486","67,625","65,527","67,336","68,328","66,301","70,166","71,061"
"                        Finance and insurance","51","S","3,706","4,565","5,464","5,629","7,901","8,049","7,848","9,541","12,278","6,193","11,945","9,241","13,622","17,098","16,216","16,981","17,002","14,470","19,353","20,436"
"                        Real estate and rental and leasing","56","S","18,599","19,600","20,107","26,233","26,616","25,636","31,955","38,005","38,104","42,584","39,666","41,826","45,864","50,527","49,311","50,355","51,326","51,830","50,814","50,625"
"                Professional and business services","59","14,427","15,368","14,962","8,721","18,771","19,977","19,163","9,360","19,208","21,532","20,136","S","22,992","S","24,403","S","33,210","34,793","36,911","S","42,194"
"                        Professional, scientific, and technical services","60","S","S","S","S","S","S","6,532","5,371","5,443","5,055","3,669","3,126","4,713","9,428","10,675","12,636","15,303","19,429","20,871","23,870","29,873"
"                        Management of companies and enterprises","64","S","S","S","S","S","S","S","S","S","S","S","S","S","S","S","S","S","S","S","S","S"
"                        Administrative and support and waste management and remediation services","65","973","1,366","2,088","3,045","2,925","1,962","S","S","S","S","S","S","S","S","S","S","S","S","S","S","S"
"                Educational services, health care, and social assistance","68","S","2,067","2,532","2,830","3,242","3,935","4,736","S","5,075","5,759","S","5,763","5,785","6,280","6,240","7,253","7,364","10,013","9,948","9,396","12,260"
"                        Educational services","69","0","1","S","S","S","S","S","S","S","S","S","S","S","S","S","371","346","527","575","516","1,063"
"                        Health care and social assistance","70","S","2,066","S","S","S","S","S","S","S","S","S","S","S","S","S","6,882","7,018","9,486","9,373","8,880","11,197"
"                Arts, entertainment, recreation, accommodation, and food services","75","2,295","1,983","2,097","2,167","2,293","2,705","2,932","3,229","3,384","3,524","4,036","4,685","4,755","4,943","4,912","5,032","4,932","5,535","5,792","5,818","8,145"
"                        Arts, entertainment, and recreation","76","496","432","426","394","315","310","365","S","S","S","947","1,304","1,435","1,280","1,108","1,142","1,130","1,647","1,582","1,909","3,369"
"                        Accommodation and food services","79","1,799","1,551","1,671","1,773","1,979","2,395","2,567","S","S","S","3,089","3,381","3,320","3,664","3,804","3,890","3,802","3,889","4,211","3,909","4,776"
"                Other services (except government and government enterprises)","82","S","S","S","6,426","S","S","S","S","S","S","S","S","S","9,920","11,026","S","11,288","11,147","S","S","14,460"
"Government and government enterprises","83","17,043","17,371","17,554","18,407","19,783","21,036","22,555","23,662","24,016","25,321","25,627","25,350","27,373","28,198","28,810","30,469","33,355","34,404","37,321","41,051","44,557"


