,,"2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021"
"All industry total","1","70,817","54,029","49,460","56,400","64,714","66,392","66,076","84,754","76,981","78,770","85,824","78,143","115,670","131,063","141,319","139,152","141,644","148,333","149,971","150,009","160,920"
"        Private industries","2","62,584","45,546","40,645","47,013","54,756","56,110","55,426","73,210","65,276","66,597","73,793","66,047","102,606","117,425","127,393","125,258","127,775","134,852","135,790","135,191","145,044"
"                Agriculture, forestry, fishing and hunting","3","S","S","S","S","S","S","S","S","S","2,682","S","S","S","S","41,384","34,887","S","S","S","S","26,217"
"                Mining, quarrying, and oil and gas extraction","6","0","0","0","103","181","236","361","5,032","1,948","843","504","452","595","505","439","500","760","1,129","1,532","1,611","1,768"
"                Utilities","10","263","280","276","S","S","211","230","304","372","329","331","350","349","364","379","S","466","1,753","4,307","8,278","7,330"
"                Construction","11","1,573","1,720","1,904","3,679","3,415","4,539","5,993","4,535","2,470","S","3,649","4,008","4,746","4,615","S","S","8,385","8,822","11,890","11,732","13,370"
"                Manufacturing","12","S","S","S","S","S","S","S","S","S","S","S","S","S","S","S","S","S","S","S","S","1,270"
"                        Durable goods manufacturing","13","S","S","S","S","S","S","S","S","S","S","S","S","S","S","S","S","S","S","S","S","S"
"                        Nondurable goods manufacturing","25","S","236","S","S","S","S","4","20","29","S","25","36","24","75","56","67","94","111","169","S","S"
"                Wholesale trade","34","S","S","S","S","S","S","S","2","0","0","0","16","29","59","73","S","S","S","238","226","S"
"                Retail trade","35","1,582","1,603","1,457","1,931","1,992","1,927","2,006","1,945","2,377","2,256","2,311","2,336","2,535","2,627","2,937","3,872","3,849","4,635","4,377","4,648","6,258"
"                Transportation and warehousing","36","S","S","S","571","1,089","892","1,436","S","S","S","S","S","S","S","S","908","1,223","S","1,976","2,249","S"
"                Information","45","0","0","S","0","295","453","506","309","313","169","178","56","163","141","109","158","S","159","88","S","S"
"                Finance, insurance, real estate, rental, and leasing","50","33,705","23,263","23,076","21,700","27,825","29,195","32,738","32,619","30,779","34,452","34,676","40,456","42,429","47,271","50,283","50,052","53,834","56,426","S","54,536","57,512"
"                        Finance and insurance","51","S","S","S","S","S","S","S","S","S","S","S","S","S","S","S","S","S","S","S","S","S"
"                        Real estate and rental and leasing","56","S","S","S","S","S","S","S","S","S","S","S","S","S","S","S","S","S","S","52,750","S","S"
"                Professional and business services","59","S","S","S","314","479","S","S","S","S","S","S","S","S","S","S","14,759","15,453","12,988","13,051","9,103","10,009"
"                        Professional, scientific, and technical services","60","4","4","3","2","7","S","S","S","S","S","S","S","S","S","S","S","S","S","S","S","S"
"                        Management of companies and enterprises","64","10,476","10,488","0","0","0","S","S","S","10,034","S","S","0","S","S","S","S","S","S","S","S","S"
"                        Administrative and support and waste management and remediation services","65","S","S","S","312","472","528","825","860","S","354","418","S","613","855","1,005","2,150","2,475","2,159","2,858","2,737","3,282"
"                Educational services, health care, and social assistance","68","S","918","1,229","1,880","1,846","2,128","2,203","2,763","2,562","2,367","1,347","1,167","1,339","1,379","1,756","1,979","S","884","848","S","S"
"                        Educational services","69","S","S","S","S","S","S","S","S","S","S","S","S","S","S","S","S","S","S","S","S","329"
"                        Health care and social assistance","70","S","S","S","S","S","S","S","S","S","S","S","S","S","S","S","S","1,140","S","S","S","S"
"                Arts, entertainment, recreation, accommodation, and food services","75","2,379","S","2,584","3,241","S","S","5,749","5,856","4,541","S","4,565","5,025","5,748","6,077","7,304","6,535","7,920","9,402","9,467","9,146","11,983"
"                        Arts, entertainment, and recreation","76","S","S","S","S","S","S","S","S","S","S","S","S","S","S","S","S","654","954","1,254","1,718","2,071"
"                        Accommodation and food services","79","S","S","S","S","S","S","S","S","S","S","S","S","S","S","S","S","7,267","8,448","8,213","7,428","9,912"
"                Other services (except government and government enterprises)","82","2,228","2,346","2,406","2,325","2,138","2,223","2,386","2,325","2,586","2,641","2,523","2,717","2,817","3,069","3,602","4,311","4,591","S","S","4,780","5,092"
"Government and government enterprises","83","8,234","8,483","8,815","9,387","9,958","10,282","10,650","11,544","11,705","12,173","12,031","12,097","13,064","13,638","13,927","13,894","13,869","13,481","14,180","14,818","15,876"


