,,"2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021"
"All industry total","1","38,740,910","40,294,301","41,318,399","45,110,921","49,391,924","55,319,190","59,384,408","59,696,118","57,568,914","59,565,237","63,723,067","67,246,167","69,628,823","73,153,621","77,540,367","82,813,719","87,907,426","96,667,230","102,542,795","104,508,602","115,948,610"
"        Private industries","2","33,901,496","35,261,878","36,102,105","39,613,304","43,491,062","48,982,122","52,710,551","52,562,202","50,315,414","52,112,814","55,983,686","59,503,276","61,654,447","64,742,845","68,778,283","73,581,645","78,179,343","86,598,433","92,024,329","93,546,357","104,406,624"
"                Agriculture, forestry, fishing and hunting","3","26,774","7,726","4,151","4,239","6,588","6,795","17,271","12,434","10,226","6,000","15,104","8,676","6,089","5,240","7,052","S","21,821","26,604","19,275","22,214","22,924"
"                Mining, quarrying, and oil and gas extraction","6","285,384","231,710","236,419","320,140","511,770","718,568","796,399","916,809","1,004,738","1,267,761","1,423,881","1,233,739","1,220,412","1,351,255","939,691","924,851","1,198,195","1,367,748","1,424,868","1,478,216","1,553,973"
"                Utilities","10","238,877","259,711","156,807","166,415","177,249","223,905","213,041","234,083","236,700","241,204","229,193","225,486","246,215","258,267","290,237","S","343,690","469,841","618,524","820,455","816,140"
"                Construction","11","2,178,857","2,007,047","2,114,942","2,376,907","2,765,585","3,322,281","3,686,842","3,358,444","2,800,904","2,623,534","2,770,359","3,115,006","3,077,756","3,532,836","4,058,417","4,364,469","4,627,698","5,102,741","5,835,548","6,357,325","6,648,940"
"                Manufacturing","12","3,413,196","3,658,457","4,097,066","4,282,999","4,712,424","5,413,275","6,136,589","6,143,730","6,970,555","7,653,718","8,335,102","7,553,651","7,428,470","7,362,439","7,711,611","7,318,706","8,249,040","9,221,134","9,515,053","8,539,068","10,169,635"
"                        Durable goods manufacturing","13","2,180,024","2,460,254","2,732,723","2,699,430","3,031,850","3,473,953","4,154,585","4,271,497","4,612,760","5,002,303","5,302,861","5,039,997","4,719,288","4,618,308","4,974,520","4,768,804","4,927,200","5,220,896","5,355,798","5,367,172","5,817,579"
"                        Nondurable goods manufacturing","25","1,233,172","1,198,202","1,364,342","1,583,569","1,680,574","1,939,322","1,982,005","1,872,233","2,357,795","2,651,415","3,032,241","2,513,654","2,709,183","2,744,131","2,737,092","2,549,902","3,321,841","4,000,238","4,159,256","3,171,896","4,352,056"
"                Wholesale trade","34","2,708,400","2,667,631","2,751,967","3,023,859","3,415,436","3,722,389","4,048,489","4,257,409","3,999,668","4,082,987","4,260,790","4,587,185","4,762,906","4,932,488","5,130,111","5,402,622","5,641,524","5,919,381","6,329,899","6,749,677","7,793,607"
"                Retail trade","35","2,803,671","2,840,682","2,965,934","3,194,248","3,459,706","3,865,203","4,194,246","4,024,742","3,964,362","4,179,114","4,460,967","5,049,610","5,064,175","4,941,094","5,101,588","5,642,843","5,818,643","6,178,867","6,382,436","6,673,788","7,579,767"
"                Transportation and warehousing","36","1,673,847","1,730,797","1,764,274","2,037,624","2,246,203","2,399,876","2,591,076","2,287,713","2,254,552","2,534,645","2,731,274","2,852,959","2,969,837","3,090,353","3,622,658","3,880,184","4,011,149","4,205,508","4,744,947","3,607,435","4,255,957"
"                Information","45","1,823,896","2,051,831","2,037,079","2,193,798","2,410,527","2,687,070","2,525,535","2,725,817","2,504,595","2,497,580","2,526,063","2,478,116","2,784,976","2,954,935","3,319,997","3,821,064","4,199,868","4,544,721","5,032,630","5,416,684","6,108,103"
"                Finance, insurance, real estate, rental, and leasing","50","9,514,597","10,310,155","10,416,401","12,010,575","12,930,499","14,536,874","15,485,468","14,778,826","12,861,879","12,938,100","14,459,166","16,539,162","16,893,867","18,151,870","19,418,183","21,583,638","22,647,658","26,489,783","27,473,639","29,046,763","31,459,591"
"                        Finance and insurance","51","5,462,251","6,182,636","6,244,593","7,553,463","7,689,685","8,862,665","9,204,117","7,749,028","6,412,697","6,268,072","7,475,046","9,082,652","9,091,041","10,262,361","11,214,990","12,408,450","12,976,847","15,494,326","16,562,326","17,396,592","19,014,697"
"                        Real estate and rental and leasing","56","4,052,347","4,127,519","4,171,808","4,457,113","5,240,815","5,674,208","6,281,351","7,029,798","6,449,182","6,670,028","6,984,120","7,456,510","7,802,826","7,889,509","8,203,193","9,175,188","9,670,810","10,995,457","10,911,313","11,650,171","12,444,894"
"                Professional and business services","59","4,829,274","4,672,431","4,740,966","4,924,253","5,474,435","6,202,235","6,826,525","7,234,342","6,887,980","7,144,205","7,524,944","8,160,464","9,051,255","9,734,172","10,187,165","10,653,970","11,149,563","12,184,734","13,084,811","13,666,170","15,282,107"
"                        Professional, scientific, and technical services","60","2,464,845","2,462,773","2,549,735","2,698,636","3,030,202","3,418,771","3,749,870","4,150,143","3,992,493","4,091,004","4,341,555","4,687,199","5,311,825","5,762,565","6,038,892","6,235,496","6,442,193","7,339,356","7,918,821","8,377,183","9,667,180"
"                        Management of companies and enterprises","64","1,022,337","889,038","919,425","957,676","1,011,398","1,131,570","1,226,021","1,249,998","1,243,127","1,370,587","1,368,174","1,530,603","1,582,080","1,587,127","1,587,919","1,646,858","1,711,905","1,753,896","1,778,548","1,942,355","1,979,874"
"                        Administrative and support and waste management and remediation services","65","1,342,092","1,320,619","1,271,807","1,267,941","1,432,835","1,651,894","1,850,634","1,834,200","1,652,361","1,682,614","1,815,215","1,942,662","2,157,350","2,384,480","2,560,353","2,771,616","2,995,464","3,091,482","3,387,442","3,346,632","3,635,054"
"                Educational services, health care, and social assistance","68","2,058,865","2,188,432","2,338,186","2,546,522","2,749,859","3,012,563","3,167,231","3,516,013","3,814,620","3,907,411","4,115,655","4,286,644","4,541,186","4,584,085","4,857,120","5,289,732","5,507,927","5,763,707","6,145,000","6,267,032","6,916,207"
"                        Educational services","69","242,954","251,007","264,733","298,723","328,638","359,046","388,862","504,296","570,817","635,684","689,812","714,033","763,261","774,703","841,303","932,252","964,750","1,048,056","1,199,716","1,235,121","1,471,464"
"                        Health care and social assistance","70","1,815,910","1,937,425","2,073,453","2,247,799","2,421,221","2,653,518","2,778,368","3,011,717","3,243,803","3,271,728","3,425,844","3,572,611","3,777,925","3,809,381","4,015,817","4,357,480","4,543,177","4,715,651","4,945,284","5,031,911","5,444,743"
"                Arts, entertainment, recreation, accommodation, and food services","75","1,246,601","1,445,768","1,284,891","1,286,645","1,359,566","1,534,544","1,631,144","1,630,130","1,556,135","1,580,495","1,631,770","1,777,834","1,886,480","1,991,181","2,199,628","2,401,676","2,654,601","2,895,819","3,113,364","2,519,377","3,229,163"
"                        Arts, entertainment, and recreation","76","270,536","399,635","270,177","277,188","294,045","327,187","339,989","368,247","390,874","376,995","362,043","408,499","447,244","456,070","489,035","591,758","695,974","756,334","770,790","584,732","756,057"
"                        Accommodation and food services","79","976,065","1,046,133","1,014,713","1,009,457","1,065,521","1,207,357","1,291,155","1,261,883","1,165,262","1,203,500","1,269,727","1,369,336","1,439,236","1,535,111","1,710,593","1,809,918","1,958,628","2,139,485","2,342,574","1,934,644","2,473,106"
"                Other services (except government and government enterprises)","82","1,099,256","1,189,500","1,193,023","1,245,079","1,271,215","1,336,545","1,390,694","1,441,710","1,448,500","1,456,059","1,499,416","1,634,745","1,720,824","1,852,630","1,934,825","S","2,107,968","2,227,845","2,304,334","2,382,152","2,570,509"
