,,"2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021"
"All industry total","1","275,939","283,579","296,423","313,844","386,688","417,362","480,054","509,281","502,689","559,636","586,466","527,623","540,861","521,099","438,578","442,936","475,307","478,600","499,180","456,229","542,515"
"        Private industries","2","198,460","204,428","214,727","223,485","295,132","325,623","382,159","408,147","403,503","457,816","483,578","427,542","438,110","416,421","329,271","329,243","357,803","364,829","383,897","339,919","421,060"
"                Agriculture, forestry, fishing and hunting","3","3,761","3,030","450","2,944","7,889","670","9,120","9,220","5,636","6,391","1,257","3,711","3,300","1,168","937","5,240","2,485","2,488","4,924","14,784","1,669"
"                Mining, quarrying, and oil and gas extraction","6","53,644","50,896","68,562","84,008","120,302","152,169","182,485","179,872","173,418","234,154","263,026","231,985","212,254","208,493","113,384","101,743","114,912","107,929","98,171","59,829","131,786"
"                Utilities","10","594","712","825","877","712","S","S","S","S","824","833","791","984","1,413","1,809","5,442","8,693","10,381","S","20,252","21,478"
"                Construction","11","7,742","11,312","9,768","8,703","14,981","13,807","16,001","13,147","11,130","20,748","16,253","14,791","36,830","16,743","16,669","15,136","17,082","17,868","19,469","14,854","15,013"
"                Manufacturing","12","20,329","16,391","11,134","8,042","7,527","5,330","3,169","5,542","7,916","5,584","4,864","5,709","9,269","7,356","6,403","5,632","6,492","8,202","12,952","13,146","13,875"
"                        Durable goods manufacturing","13","2,324","2,022","S","S","1,522","S","S","S","3,077","2,218","S","S","6,560","4,369","S","S","S","S","S","2,980","3,166"
"                        Nondurable goods manufacturing","25","18,005","14,369","S","S","6,006","S","S","S","4,839","3,366","S","S","2,709","2,987","S","S","S","S","S","10,166","10,708"
"                Wholesale trade","34","5,058","4,774","4,640","4,928","S","S","S","S","S","S","S","5,005","4,396","S","S","S","S","S","2,584","S","S"
"                Retail trade","35","11,397","8,969","8,134","9,104","8,432","8,993","9,258","10,660","11,027","11,270","11,168","10,834","11,914","13,306","13,425","12,921","11,487","11,985","12,578","11,905","13,313"
"                Transportation and warehousing","36","3,143","3,321","3,031","2,970","3,478","3,595","3,622","3,583","3,333","2,473","3,369","S","S","4,535","6,056","S","S","4,816","5,989","8,421","8,344"
"                Information","45","S","503","548","796","2,134","10,458","9,521","17,184","8,071","S","S","S","S","S","S","S","S","S","S","S","S"
"                Finance, insurance, real estate, rental, and leasing","50","43,244","48,783","51,582","49,595","62,215","63,448","62,336","78,589","91,188","89,934","94,038","65,100","67,886","69,231","71,935","75,317","82,414","75,432","81,381","82,572","82,390"
"                        Finance and insurance","51","S","4,512","4,813","S","4,734","4,820","3,983","3,088","2,467","3,334","3,133","3,706","3,235","3,508","3,776","3,828","4,541","5,219","5,717","7,151","8,927"
"                        Real estate and rental and leasing","56","S","44,271","46,769","S","57,480","58,628","58,354","75,501","88,720","86,599","90,905","61,395","64,651","65,723","68,158","71,489","77,873","70,214","75,664","75,421","73,462"
"                Professional and business services","59","S","14,444","12,879","3,863","S","5,637","16,007","20,710","21,472","11,526","11,557","12,480","6,093","S","S","5,307","6,425","S","10,497","10,845","12,448"
"                        Professional, scientific, and technical services","60","S","S","S","S","S","S","S","S","S","S","S","S","S","2,731","S","3,316","S","4,744","S","S","S"
"                        Management of companies and enterprises","64","10,487","S","S","S","S","S","S","S","S","S","S","S","S","S","0","0","S","S","S","S","S"
"                        Administrative and support and waste management and remediation services","65","1,374","1,588","1,586","1,299","1,650","2,307","4,644","7,320","8,996","7,553","7,455","9,681","2,916","2,317","2,086","1,990","2,259","2,481","2,638","2,585","3,252"
"                Educational services, health care, and social assistance","68","8,882","10,063","11,313","13,611","16,396","19,575","21,094","22,391","27,183","29,288","34,114","36,500","43,514","45,602","46,901","49,511","51,719","52,885","54,249","54,887","61,040"
"                        Educational services","69","S","S","S","2,437","2,286","2,520","2,807","S","S","S","S","S","4,286","5,139","5,230","6,037","5,744","S","S","S","S"
"                        Health care and social assistance","70","S","S","S","11,173","14,110","17,055","18,287","S","S","S","S","S","39,228","40,463","41,671","43,474","45,975","S","S","S","S"
"                Arts, entertainment, recreation, accommodation, and food services","75","16,994","20,381","21,256","23,302","23,058","25,783","32,262","30,044","26,083","25,081","25,567","24,915","25,448","25,199","28,028","31,677","36,841","46,914","49,518","28,115","39,097"
"                        Arts, entertainment, and recreation","76","S","S","S","S","S","S","S","4,995","2,456","1,722","1,743","S","S","S","S","S","S","S","S","400","S"
"                        Accommodation and food services","79","S","S","S","S","S","S","S","25,049","23,627","23,359","23,824","S","S","S","S","S","S","S","S","27,715","S"
"                Other services (except government and government enterprises)","82","9,702","10,850","10,607","10,742","9,792","10,241","11,039","11,987","12,245","11,917","11,992","12,832","S","13,561","13,227","S","S","15,146","15,394","S","17,624"
"Government and government enterprises","83","77,478","79,151","81,696","90,359","91,556","91,739","97,895","101,134","99,186","101,819","102,888","100,082","102,751","104,677","109,308","113,692","117,504","113,771","115,283","116,311","121,456"


