,,"2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021"
"All industry total","1","378,585","403,027","389,365","404,853","459,163","537,323","558,745","638,328","596,186","662,150","630,044","637,650","636,375","642,570","745,323","762,211","793,244","879,499","853,980","912,953","1,024,051"
"        Private industries","2","275,924","298,336","282,104","289,915","337,071","408,222","425,603","495,929","452,514","514,752","480,585","489,624","491,018","492,149","590,729","598,142","623,293","683,548","646,663","701,361","802,460"
"                Agriculture, forestry, fishing and hunting","3","45,457","49,517","9,494","2,624","9,819","36,430","13,573","59,926","21,779","92,457","74,797","82,410","95,259","111,313","182,602","157,615","153,918","161,765","71,484","91,238","130,329"
"                Mining, quarrying, and oil and gas extraction","6","603","1,050","1,231","1,091","13,879","14,218","12,872","17,262","10,970","10,720","12,748","12,515","12,865","7,514","5,872","5,771","6,819","6,481","4,039","4,091","10,341"
"                Utilities","10","S","991","403","426","713","745","604","1,057","1,050","1,020","1,202","1,398","1,442","1,921","2,384","2,208","S","5,233","7,520","12,293","12,780"
"                Construction","11","21,339","26,390","24,167","17,995","22,581","31,602","40,503","28,379","35,325","36,304","23,867","29,485","27,773","27,842","32,568","35,433","36,129","37,064","37,943","42,889","53,525"
"                Manufacturing","12","33,702","38,420","42,504","36,780","36,294","37,640","46,041","51,011","54,986","56,436","50,348","49,926","51,402","55,986","66,515","74,048","86,335","97,218","121,461","132,949","147,141"
"                        Durable goods manufacturing","13","S","S","S","S","S","S","S","S","S","S","S","S","29,209","31,994","39,629","47,001","53,133","61,336","66,185","67,198","70,002"
"                        Nondurable goods manufacturing","25","S","S","S","S","S","S","S","S","S","S","S","S","22,194","23,992","26,886","27,047","33,201","35,882","55,277","65,751","77,139"
"                Wholesale trade","34","S","3,893","3,750","4,395","S","S","S","S","S","6,043","6,536","6,107","5,907","5,806","5,969","6,460","S","7,738","9,802","10,474","12,091"
"                Retail trade","35","26,623","27,149","28,512","29,723","29,550","32,677","35,879","37,335","36,007","31,895","30,944","31,798","32,146","32,121","34,578","36,405","37,405","40,716","42,019","46,326","53,919"
"                Transportation and warehousing","36","9,593","S","S","S","9,781","11,866","11,341","9,780","8,616","8,031","8,360","9,952","12,876","14,457","17,033","15,540","15,161","13,625","14,024","14,055","15,912"
"                Information","45","18,584","19,941","24,986","37,130","50,415","68,209","71,975","77,661","62,872","47,674","37,936","31,388","30,264","27,919","28,387","35,026","40,026","54,659","69,163","62,352","62,345"
"                Finance, insurance, real estate, rental, and leasing","50","69,250","76,106","78,635","79,966","94,508","99,803","113,568","122,904","130,440","136,397","141,380","134,242","119,847","102,559","104,436","109,029","111,466","125,795","135,792","159,413","169,632"
"                        Finance and insurance","51","12,709","15,253","15,878","15,235","14,620","16,273","15,833","12,750","9,523","10,030","11,233","12,586","11,713","11,199","11,624","11,784","12,748","13,249","13,473","26,735","26,178"
"                        Real estate and rental and leasing","56","56,540","60,852","62,757","64,732","79,888","83,530","97,735","110,154","120,917","126,367","130,147","121,657","108,133","91,361","92,812","97,244","98,719","112,546","122,318","132,678","143,454"
"                Professional and business services","59","9,139","S","S","S","S","S","S","S","S","21,936","21,838","24,517","25,105","25,462","27,582","30,372","31,452","33,034","29,793","26,516","30,610"
"                        Professional, scientific, and technical services","60","3,366","4,038","4,591","5,065","6,443","6,250","6,649","6,686","S","S","S","S","S","S","6,524","S","S","14,546","11,901","11,639","13,622"
"                        Management of companies and enterprises","64","S","S","S","S","S","S","S","S","S","S","S","S","S","S","11,436","S","S","10,954","S","7,489","7,807"
"                        Administrative and support and waste management and remediation services","65","S","S","S","S","S","S","S","S","3,486","4,038","3,494","4,262","4,769","6,183","9,622","10,244","8,682","7,534","S","7,387","9,181"
"                Educational services, health care, and social assistance","68","15,550","16,749","18,481","20,843","22,223","26,111","28,916","33,488","35,645","36,838","40,080","42,910","44,750","44,562","45,989","50,904","51,880","54,796","56,670","53,471","55,003"
"                        Educational services","69","S","S","S","S","S","S","S","S","S","S","10,748","12,430","13,295","13,378","13,576","15,784","15,368","16,032","17,470","S","S"
"                        Health care and social assistance","70","S","S","S","S","S","S","S","S","S","S","29,333","30,479","31,455","31,185","32,413","35,120","36,512","38,764","39,200","S","S"
"                Arts, entertainment, recreation, accommodation, and food services","75","6,629","6,832","7,356","7,341","7,157","7,042","7,079","7,439","7,693","7,831","9,263","10,486","9,512","10,991","12,138","13,469","16,960","18,484","19,883","13,989","16,367"
"                        Arts, entertainment, and recreation","76","787","875","688","794","763","743","827","1,011","1,068","1,285","1,837","2,061","1,232","1,437","1,240","1,148","1,385","1,431","1,555","1,482","1,643"
"                        Accommodation and food services","79","5,842","5,957","6,668","6,547","6,393","6,299","6,252","6,428","6,625","6,547","7,426","8,425","8,280","9,554","10,898","12,321","15,575","17,053","18,328","12,507","14,724"
"                Other services (except government and government enterprises)","82","14,830","16,682","17,792","18,686","18,342","18,305","18,598","21,185","22,514","21,170","21,286","22,491","21,871","23,696","24,676","25,863","25,808","26,939","27,072","31,308","32,464"
"Government and government enterprises","83","102,661","104,691","107,261","114,939","122,091","129,101","133,142","142,398","143,673","147,397","149,459","148,026","145,357","150,421","154,594","164,069","169,951","195,951","207,317","211,592","221,591"


