,,"2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021"
"All industry total","1","8,855,095","9,151,139","9,662,439","10,562,331","11,680,201","13,013,757","14,541,604","15,091,775","15,312,641","15,822,407","16,643,126","17,154,725","18,265,937","19,356,426","21,276,559","23,025,340","24,515,530","27,340,053","30,392,713","32,417,981","36,166,707"
"        Private industries","2","7,752,436","7,996,969","8,462,019","9,292,801","10,312,542","11,557,526","13,003,623","13,426,075","13,620,240","14,056,415","14,820,547","15,331,656","16,369,807","17,422,265","19,327,110","20,953,727","22,348,214","25,137,312","28,078,949","29,908,016","33,485,990"
"                Agriculture, forestry, fishing and hunting","3","25,310","6,006","36,275","53,555","42,520","34,570","40,700","25,096","37,849","71,987","131,608","184,643","119,339","118,351","78,512","S","30,771","26,390","13,941","14,169","17,063"
"                Mining, quarrying, and oil and gas extraction","6","5,599","4,161","4,141","6,279","18,505","8,879","9,580","9,598","9,622","8,499","16,499","22,768","19,495","23,418","16,190","16,297","27,400","31,176","37,210","35,118","67,244"
"                Utilities","10","21,182","21,351","20,697","22,337","27,726","35,942","72,199","99,237","96,896","112,356","99,503","139,611","125,882","187,296","219,098","S","210,416","284,073","343,921","464,023","548,563"
"                Construction","11","532,161","540,350","527,341","688,642","814,560","1,096,366","1,292,986","1,036,794","690,744","621,548","666,470","995,070","1,221,327","1,444,542","1,728,340","2,141,866","2,426,497","2,789,137","3,036,784","3,580,404","3,794,008"
"                Manufacturing","12","1,154,474","1,136,443","1,136,291","1,171,370","1,245,014","1,535,348","1,905,975","1,931,039","2,553,541","2,760,677","2,690,627","2,184,811","2,077,883","2,083,205","2,356,292","2,308,806","2,521,175","2,836,805","3,201,618","3,336,175","3,670,922"
"                        Durable goods manufacturing","13","S","665,718","660,303","707,092","792,461","1,023,248","1,368,591","1,374,429","1,731,421","2,009,033","1,980,319","1,534,843","1,483,726","1,387,154","1,545,874","1,484,153","1,627,621","1,913,504","2,109,454","2,121,567","2,279,430"
"                        Nondurable goods manufacturing","25","S","470,724","475,989","464,278","452,553","512,100","537,384","556,610","822,119","751,643","710,309","649,968","594,157","696,051","810,417","824,653","893,554","923,301","1,092,165","1,214,608","1,391,492"
"                Wholesale trade","34","335,691","324,445","336,741","438,759","562,761","646,833","S","690,105","633,830","673,691","718,084","745,611","854,011","920,644","1,084,709","1,188,573","1,302,749","1,474,372","1,426,741","1,284,547","1,477,098"
"                Retail trade","35","751,141","778,192","864,969","974,364","990,444","1,075,689","1,123,748","1,098,645","1,082,560","1,083,421","1,130,828","1,194,629","1,374,061","1,617,195","1,946,621","2,122,811","2,197,972","2,415,348","2,518,452","2,755,866","3,276,019"
"                Transportation and warehousing","36","109,163","104,189","100,716","102,242","119,798","138,200","142,192","126,820","151,777","180,636","161,445","156,583","156,155","160,108","187,561","200,220","218,154","237,293","260,111","269,948","330,832"
"                Information","45","813,056","943,471","1,063,637","1,182,865","1,313,877","1,257,237","1,472,504","1,641,771","1,566,768","1,671,029","1,940,399","2,029,517","2,219,838","2,358,505","2,534,140","2,805,105","2,822,935","3,148,431","3,518,896","3,961,597","4,713,710"
"                Finance, insurance, real estate, rental, and leasing","50","1,508,253","1,537,579","1,615,760","1,704,829","1,977,148","2,100,492","2,312,303","2,505,872","2,487,278","2,485,084","2,640,581","2,764,148","2,944,475","2,901,219","3,176,240","3,463,154","3,783,383","3,999,038","4,668,323","4,998,443","5,620,611"
"                        Finance and insurance","51","307,941","357,089","380,713","387,620","394,044","460,979","466,981","377,782","362,208","366,931","389,356","529,165","504,106","521,840","607,154","667,558","727,108","807,108","868,602","1,038,489","1,395,962"
"                        Real estate and rental and leasing","56","1,200,311","1,180,490","1,235,047","1,317,209","1,583,104","1,639,513","1,845,322","2,128,090","2,125,070","2,118,153","2,251,224","2,234,983","2,440,369","2,379,379","2,569,086","2,795,596","3,056,275","3,191,930","3,799,722","3,959,954","4,224,648"
"                Professional and business services","59","828,128","816,235","876,319","963,765","1,091,651","1,297,489","1,445,953","1,654,108","1,556,898","1,544,714","1,682,765","1,805,409","2,024,789","2,205,251","2,408,703","2,557,896","2,782,564","3,515,100","4,330,663","4,380,875","4,581,695"
"                        Professional, scientific, and technical services","60","525,381","517,178","570,004","591,466","665,972","794,513","917,867","1,070,903","1,016,741","1,000,937","1,163,732","1,247,358","1,447,079","1,548,636","1,679,319","1,795,860","1,991,500","2,542,243","3,229,796","3,196,672","3,195,443"
"                        Management of companies and enterprises","64","65,629","69,330","63,843","71,456","82,375","119,341","96,025","105,689","110,828","83,934","85,767","84,474","92,258","95,296","101,931","113,754","111,469","178,000","192,881","205,809","218,492"
"                        Administrative and support and waste management and remediation services","65","237,118","229,727","242,472","300,843","343,303","383,635","432,061","477,516","429,330","459,843","433,266","473,577","485,452","561,319","627,453","648,281","679,595","794,857","907,986","978,394","1,167,759"
