,,"2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021"
"All industry total","1","1,986,921","2,132,802","2,333,790","2,620,738","3,030,806","3,469,718","3,713,783","3,638,577","3,371,977","3,376,773","3,461,790","3,807,516","4,214,219","4,451,353","4,851,180","5,403,722","6,040,338","6,623,047","7,065,084","7,487,167","8,338,042"
"        Private industries","2","1,743,642","1,880,051","2,062,358","2,323,776","2,695,451","3,094,736","3,309,857","3,193,408","2,893,192","2,890,525","2,962,226","3,307,538","3,705,465","3,915,292","4,299,844","4,819,751","5,423,669","5,960,862","6,366,963","6,747,081","7,535,649"
"                Agriculture, forestry, fishing and hunting","3","S","6,226","5,118","1,233","1,838","9,334","13,471","S","S","S","1,535","S","S","S","S","7,099","S","S","S","2,141","2,448"
"                Mining, quarrying, and oil and gas extraction","6","13,268","8,413","5,704","8,711","16,536","36,897","39,127","35,678","39,176","37,267","37,112","S","30,148","44,289","32,312","38,016","56,837","100,007","108,272","136,050","197,897"
"                Utilities","10","S","4,400","4,572","5,506","6,433","8,204","7,654","S","S","S","13,531","S","S","S","S","23,275","S","S","S","65,356","69,450"
"                Construction","11","191,373","203,651","241,634","299,438","382,250","475,274","508,302","356,917","208,651","164,502","165,400","207,570","308,454","350,396","402,063","525,422","681,564","718,494","735,882","903,019","988,256"
"                Manufacturing","12","105,021","116,297","141,532","152,162","172,368","190,376","215,919","202,010","176,092","174,962","187,313","221,703","222,248","240,810","276,434","267,044","304,773","342,825","357,059","372,802","408,023"
"                        Durable goods manufacturing","13","78,687","86,650","108,560","125,676","148,685","168,345","190,668","178,595","147,413","145,413","153,839","176,937","173,381","185,220","216,469","210,239","232,804","262,471","264,060","269,544","291,642"
"                        Nondurable goods manufacturing","25","26,334","29,648","32,972","26,486","23,682","22,031","25,251","23,416","28,679","29,549","33,474","44,766","48,867","55,590","59,965","56,805","71,969","80,354","93,000","103,257","116,381"
"                Wholesale trade","34","53,852","56,455","59,738","66,297","74,727","88,052","99,954","105,022","95,602","99,791","110,860","123,268","141,521","148,372","161,091","188,060","213,429","213,616","208,596","219,476","263,149"
"                Retail trade","35","259,877","271,929","297,870","356,341","382,804","417,858","421,294","384,851","352,577","339,390","334,299","348,646","385,492","406,986","444,690","498,388","524,994","580,471","624,536","666,744","802,630"
"                Transportation and warehousing","36","122,429","137,944","145,374","147,659","174,899","181,592","179,548","173,492","174,536","174,422","185,541","185,355","203,328","244,188","263,288","276,398","313,679","376,232","382,150","329,769","366,533"
"                Information","45","S","59,576","72,407","84,872","92,731","102,950","S","S","S","S","101,340","115,576","138,182","139,011","156,179","S","199,905","206,667","207,012","203,542","218,652"
"                Finance, insurance, real estate, rental, and leasing","50","448,330","466,346","494,527","531,201","646,271","707,874","755,396","735,637","675,355","728,877","730,681","902,254","1,001,467","969,888","1,085,132","1,226,157","1,408,264","1,512,024","1,693,909","1,776,532","1,851,701"
"                        Finance and insurance","51","81,165","97,772","106,822","127,355","142,938","166,340","155,878","119,182","98,950","100,989","102,461","114,130","119,854","125,569","138,788","163,129","197,798","219,458","235,515","319,654","316,758"
"                        Real estate and rental and leasing","56","367,165","368,574","387,705","403,846","503,333","541,533","599,518","616,455","576,405","627,888","628,221","788,125","881,613","844,319","946,344","1,063,028","1,210,466","1,292,565","1,458,394","1,456,877","1,534,944"
