,,"2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021"
"All industry total","1","5,307,640","5,533,768","5,783,911","6,080,551","6,778,567","7,477,444","7,914,347","7,919,138","8,043,021","8,158,123","8,331,232","8,388,749","8,416,097","8,912,699","9,411,331","9,897,056","10,619,369","11,279,838","12,003,388","12,676,880","14,206,181"
"        Private industries","2","4,237,895","4,399,890","4,628,768","4,913,058","5,521,091","6,152,337","6,539,759","6,452,351","6,570,444","6,636,846","6,791,099","6,855,458","6,881,420","7,343,865","7,828,526","8,286,239","8,940,219","9,526,125","10,169,577","10,686,431","12,064,908"
"                Agriculture, forestry, fishing and hunting","3","S","6,847","7,493","1,877","7,984","24,441","12,935","6,762","11,463","5,414","46,155","29,554","43,299","42,007","35,063","29,575","27,962","31,531","46,940","45,272","41,452"
"                Mining, quarrying, and oil and gas extraction","6","0","0","475","5,896","13,401","20,654","28,830","30,809","7,722","8,537","4,213","2,384","457","3,929","4,553","5,923","5,892","7,218","14,809","15,096","21,624"
"                Utilities","10","S","22,500","22,493","23,806","23,972","27,712","25,075","29,386","29,278","30,122","30,718","26,670","26,756","28,010","28,299","29,145","30,954","32,895","38,467","48,158","44,776"
"                Construction","11","243,788","249,072","264,872","277,654","313,320","418,954","534,632","479,624","357,436","339,491","310,180","333,914","371,605","448,582","505,817","544,423","630,862","673,566","721,334","814,453","832,761"
"                Manufacturing","12","1,132,157","1,083,318","1,171,578","1,309,720","1,308,738","1,397,132","1,513,923","1,459,401","1,956,523","1,868,704","1,848,278","1,733,778","1,615,659","1,640,995","1,971,580","2,056,975","2,276,760","2,448,731","2,538,802","2,664,684","3,293,360"
"                        Durable goods manufacturing","13","852,946","797,305","900,470","1,056,065","1,084,490","1,173,780","1,263,654","1,180,805","1,502,092","1,403,140","1,350,231","1,289,493","1,279,660","1,265,968","1,534,521","1,579,859","1,737,435","1,974,308","1,947,193","1,978,566","2,515,314"
"                        Nondurable goods manufacturing","25","279,212","286,013","271,108","253,654","224,248","223,351","250,268","278,596","454,431","465,564","498,047","444,285","335,999","375,027","437,058","477,116","539,325","474,423","591,609","686,118","778,046"
"                Wholesale trade","34","225,164","225,984","214,343","237,538","255,690","289,373","317,120","331,606","316,269","323,639","338,741","358,787","399,709","451,568","489,633","543,710","648,416","695,879","739,601","777,561","900,015"
