county,year,precipitation,maximum_temperature,palmer_modified_drought_index_(pmdi),average_temperature,palmer_z-index,minimum_temperature,palmer_hydrological_drought_index_(phdi),palmer_drought_severity_index_(pdsi),heating_degree_days,cooling_degree_days
cache county,1990,23.68,54.9,-2.35,43.7,-1.07,32.5,-2.35,-2.35,7983,239
cache county,1991,28.53,52.7,0.75,42.2,-1.46,31.8,-0.49,-0.49,8493,215
cache county,1992,21.11,55.4,-1.52,44.2,0.37,33.1,0.30,0.30,7724,178
cache county,1993,31.15,50.9,0.95,40.6,-1.60,30.2,-0.90,-0.90,8914,24
cache county,1994,25.45,56.1,-0.11,45.0,-0.28,33.9,0.94,0.94,7574,325
cache county,1995,33.94,54.8,0.53,44.2,0.40,33.6,1.69,1.69,7725,149
cache county,1996,36.67,54.8,2.94,44.0,7.02,33.3,2.94,2.94,7855,227
cache county,1997,31.68,53.4,1.45,43.0,-1.16,32.6,2.37,2.37,8160,157
cache county,1998,37.84,53.9,1.75,43.9,-1.59,33.8,2.85,2.85,7952,260
cache county,1999,26.62,55.6,-3.04,44.2,-3.04,32.8,-3.04,-3.04,7740,181
cache county,2000,26.14,55.9,-2.39,45.0,-0.86,34.2,-2.43,-2.43,7585,333
cache county,2001,22.81,55.8,-1.82,44.5,1.32,33.2,-2.62,-2.62,7787,343
cache county,2002,21.67,53.7,-2.31,42.8,-1.30,31.8,-2.56,-2.56,8367,300
cache county,2003,24.24,56.4,-1.01,45.8,2.14,35.1,-1.99,-1.99,7368,399
cache county,2004,30.06,53.8,2.27,43.2,0.84,32.7,2.27,2.27,8054,157
cache county,2005,37.59,54.2,2.49,43.6,2.65,32.9,2.67,2.67,7996,225
cache county,2006,30.36,55.4,-0.49,44.4,-1.44,33.4,-0.49,-0.49,7771,293
cache county,2007,20.99,56.9,-2.91,45.3,-0.38,33.6,-2.91,-2.91,7558,389
cache county,2008,25.77,53.9,-1.75,42.7,0.05,31.5,0.02,0.02,8332,240
cache county,2009,29.85,53.8,-1.22,42.9,-1.42,32.0,-1.22,-1.22,8198,165
cache county,2010,31.62,53.9,2.72,43.3,5.27,32.6,2.72,2.72,8067,178
cache county,2011,33.21,53.1,0.07,42.7,-2.87,32.2,-1.21,-1.21,8346,231
cache county,2012,23.24,57.9,-1.92,46.5,1.45,35.0,-2.56,-2.56,7088,356
cache county,2013,18.83,54.0,-3.66,43.0,-1.31,31.9,-3.66,-3.66,8350,342
cache county,2014,31.18,56.2,-0.69,45.3,-0.55,34.5,-0.93,-0.93,7354,208
cache county,2015,26.51,57.6,-0.83,46.6,0.13,35.6,0.04,0.04,6944,246
cache county,2016,34.65,56.5,2.27,45.4,2.97,34.3,2.27,2.27,7383,265
cache county,2017,38.19,55.8,-1.87,44.9,-1.61,34.0,-1.90,-1.90,7630,323
cache county,2018,22.40,56.4,-2.31,45.3,-1.30,34.2,0.05,0.05,7481,327
cache county,2019,34.39,53.4,0.80,42.8,-0.22,32.3,-0.19,-0.19,8285,227
cache county,2020,19.90,56.4,-2.69,44.9,-2.74,33.4,-2.69,-2.69,7576,287
cache county,2021,24.90,57.0,-0.37,45.9,1.56,34.9,-1.86,-1.86,7330,410
cache county,2022,24.49,55.1,0.03,43.7,1.35,32.4,0.61,0.61,8069,361
cache county,2023,36.78,53.7,0.80,43.4,-0.50,33.0,1.53,1.53,8122,280
sanpete county,1990,17.62,56.2,-2.19,44.0,-0.95,31.7,-2.19,-2.19,7810,175
sanpete county,1991,18.04,55.0,-0.63,43.0,-1.89,30.9,-0.63,-0.63,8176,144
sanpete county,1992,17.83,56.9,-0.70,44.6,0.14,32.4,-1.12,0.13,7538,120
sanpete county,1993,21.88,54.2,0.19,42.3,-1.17,30.5,0.91,-0.39,8272,43
sanpete county,1994,17.99,57.4,0.87,44.9,-0.50,32.5,1.21,1.21,7572,296
sanpete county,1995,23.30,56.5,0.19,44.4,-0.62,32.3,1.83,-1.20,7629,118
sanpete county,1996,21.94,57.2,1.46,44.7,1.44,32.2,1.46,1.46,7605,218
sanpete county,1997,23.42,55.5,1.95,43.4,-0.77,31.3,2.46,2.46,7950,108
sanpete county,1998,23.55,55.2,2.62,43.5,-0.98,31.8,3.12,3.12,7972,169
sanpete county,1999,18.82,57.1,-1.74,44.5,-1.73,31.9,0.79,-1.99,7581,111
sanpete county,2000,20.16,57.4,-0.67,45.4,-0.80,33.4,-1.19,-1.19,7367,243
sanpete county,2001,17.59,57.6,-1.04,45.2,-0.46,32.8,-1.54,-1.54,7414,232
sanpete county,2002,14.75,56.9,0.19,43.9,-0.07,30.9,-1.75,-0.02,7958,281
sanpete county,2003,18.02,57.9,0.39,45.6,1.51,33.2,-0.99,0.83,7315,280
sanpete county,2004,19.94,56.0,1.84,43.9,0.39,31.7,1.84,1.84,7785,110
sanpete county,2005,22.53,57.1,1.94,44.8,0.78,32.5,2.18,2.18,7495,154
sanpete county,2006,21.30,56.8,0.70,44.2,-0.53,31.6,1.12,-0.18,7755,194
sanpete county,2007,17.03,57.9,-0.15,45.0,1.73,32.2,-1.05,0.58,7538,276
sanpete county,2008,17.89,55.6,-0.98,42.9,-0.04,30.3,-1.05,-0.01,8203,181
sanpete county,2009,18.14,56.1,-1.13,43.5,0.12,30.8,-1.27,-1.27,7968,142
sanpete county,2010,24.15,55.7,3.39,43.7,7.00,31.6,3.39,3.39,7898,149
sanpete county,2011,20.37,54.9,1.08,42.7,-1.86,30.4,2.14,-0.72,8255,150
sanpete county,2012,16.75,58.7,-2.00,45.9,0.76,33.1,-2.38,-2.38,7151,212
sanpete county,2013,17.22,55.4,-0.97,43.0,-1.44,30.6,-1.48,-1.48,8199,207
sanpete county,2014,19.93,58.0,0.41,45.7,1.23,33.4,-0.39,-0.39,7197,176
sanpete county,2015,16.79,59.0,0.02,46.4,1.18,33.9,-0.90,-0.90,6960,209
sanpete county,2016,17.63,58.3,-0.44,45.8,1.59,33.2,-1.24,0.53,7242,243
sanpete county,2017,18.13,59.2,-2.96,46.4,-2.84,33.7,-2.96,-2.96,7029,273
sanpete county,2018,15.97,58.6,-1.96,46.0,-0.25,33.5,-3.51,1.11,7260,370
sanpete county,2019,21.47,55.9,-1.31,43.6,-0.50,31.3,-1.31,-1.31,7984,211
