,year,countyansi,pop,wheatprice,wheatprice_l1,wheatprice_l2,precipitation,maximum_temperature,palmer_modified_drought_index_pm,average_temperature,palmer_zindex,minimum_temperature,palmer_hydrological_drought_inde,palmer_drought_severity_index_pd,heating_degree_days,cooling_degree_days,precipitation_l1,precipitation_l2,allindustrytotal,privateindustries,agricultureforestryfishingandhun,miningquarryingandoilandgasextra,utilities,construction,manufacturing,durablegoodsmanufacturing,nondurablegoodsmanufacturing,wholesaletrade,retailtrade,transportationandwarehousing,information,financeinsurancerealestaterental,financeandinsurance,realestateandrentalandleasing,professionalandbusinessservices,professionalscientificandtechnic,managementofcompaniesandenterpri,administrativeandsupportandwaste,educationalserviceshealthcareand,educationalservices,healthcareandsocialassistance,artsentertainmentrecreationaccom,artsentertainmentandrecreation,accommodationandfoodservices,otherservicesexceptgovernmentand,governmentandgovernmententerpris,county1,county2,county3,county4,county5,county6,county7,county8,county9,county10,county11,county12,county13,county14,county15,county16,county17,county18,county19,county20,county21,county22,county23,county24,county25,county26,year1,year2,year3,year4,logwheatprod,county
0,2002,1,6058,4.6500001,3.3,3.25,7.8000002,64.400002,-3.04,49.700001,-0.72000003,35.0,-3.4300001,-3.4300001,6238,699,7.46,9.75,163172,134415,51465,3010,6392,4909,6030,1842,4188,1341,8932,11316,0,25097,3424,22668,419,479,0,310,1838,9,1829,8667,2046,18288,5000,28757,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,11.172348144827007,beaver
1,2007,1,6266,8.3000002,4.8499999,3.8,9.8400002,64.599998,-1.04,50.0,3.27,35.400002,-2.3699999,-2.3699999,6206,744,21.93,11.28,210854,173929,36331,14888,6529,7433,8433,3506,4927,1581,11596,23754,72,37112,4428,32685,2239,682,8726,432,2492,54,2438,9340,2712,23600,5393,36925,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,11.59995131151092,beaver
2,2017,1,6402,5.1999998,4.3000002,5.1799998,11.37,65.400002,-2.1900001,51.299999,-2.03,37.200001,-2.1900001,-2.1900001,5701,734,22.92,13.17,384785,334616,70557,44341,78132,11154,19217,2685,16532,3578,17797,25814,1020,33543,5651,44815,4780,1503,12249,841,4831,669,4566,14756,4766,39303,7650,50169,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,11.9564380617691,beaver
3,2022,1,7327,9.1499996,7.0999999,5.4299998,10.76,64.5,0.34999999,50.0,0.80000001,35.5,-1.35,1.17,6260,839,11.84,9.4899998,479215,423535,63101,36635,65286,15255,19925,5074,15765,3209,21114,39372,842,54026,6679,56246,6985,1974,12852,1174,6606,348,6331,21385,6318,50721,9547,57886,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.07742740685545,beaver
4,2002,7,20114,4.6500001,3.3,3.25,9.8400002,58.0,-0.95999998,44.799999,-0.37,31.6,-2.9400001,-2.9400001,7763,422,7.0700002,8.3000002,674339,571353,1364,151570,41143,22331,20880,16534,5401,32930,43410,55336,8664,93059,19215,73844,26764,8315,3521,14927,33121,36,1713,16709,1635,15074,24071,102986,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,7.146183030347093,carbon
5,2007,7,20554,8.3000002,4.8499999,3.8,11.9,59.200001,-1.36,46.099998,2.04,32.900002,-2.24,0.68000001,7328,444,10.47,9.8400002,1108057,983501,2182,402957,48554,27907,47814,22400,25414,46184,53938,99312,11559,122758,19203,103555,33027,8953,5888,11450,45138,63,2375,18221,1729,16492,23949,124557,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,8.171250798972313,carbon
6,2017,7,20171,5.1999998,4.3000002,5.1799998,13.67,59.400002,-2.73,46.799999,-2.21,34.200001,-2.73,-2.73,6998,369,14.02,10.38,1028820,894028,2861,352485,29313,30727,33955,27861,6094,39018,53747,34311,4550,153715,12175,141540,38586,15247,2681,20658,73439,197,4566,17711,1751,15960,29609,134792,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,8.490489365505962,carbon
7,2022,7,20571,9.1499996,7.0999999,5.4299998,11.84,58.700001,-1.7,45.599998,1.16,32.5,-2.24,0.38999999,7458,417,9.4899998,22.190001,1737126,1577953,2370,635309,135560,54854,61544,41821,16833,76054,82486,100771,11700,207103,22139,190496,92102,25896,6801,35580,105956,348,6331,31077,3436,27799,40726,176910,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.886964027822103,carbon
8,2002,13,14969,4.6500001,3.3,3.25,12.46,54.400002,-2.1300001,41.5,-0.94,28.5,-3.4300001,-3.4300001,8735,188,16.15,9.29,375814,304472,6282,66757,1812,33547,6271,5129,1141,7721,23329,19396,18165,72057,10218,61839,7682,3280,12485,2821,18071,157,17915,8779,256,6682,14603,71343,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,10.918906127354477,duchesne
9,2012,13,18999,9.5900002,8.2600002,7.4299998,12.35,56.799999,-3.53,44.0,0.13,31.200001,-3.6400001,-3.6400001,7765,150,8.9300003,8.0,1271763,1155396,15810,589854,2467,75454,34566,32779,1787,35011,42070,91819,32515,139811,11211,128600,36595,10941,13744,5495,22421,328,29985,12200,1136,11065,24803,116367,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,12.049573034361584,duchesne
