CountyYear,Pop,All industry total,Private industries,"                Agriculture, forestry, fishing and hunting","                Mining, quarrying, and oil and gas extraction",Utilities,Construction,Manufacturing,Durable goods manufacturing,Nondurable goods manufacturing,Wholesale trade,Retail trade,Transportation and warehousing,Information,"                Finance, insurance, real estate, rental, and leasing",Finance and insurance,Real estate and rental and leasing,Professional and business services,"                        Professional, scientific, and technical services",Management of companies and enterprises,Administrative and support and waste management and remediation services,"                Educational services, health care, and social assistance",Educational services,Health care and social assistance,"                Arts, entertainment, recreation, accommodation, and food services","                        Arts, entertainment, and recreation",Accommodation and food services,Other services (except government and government enterprises),Government and government enterprises
Utah2000,2244502,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Utah2001,2283715,"8,855,095","7,752,436","25,310","5,599","21,182","532,161","1,154,474",S,S,"335,691","751,141","109,163","813,056","1,508,253","307,941","1,200,311","828,128","525,381","65,629","237,118","1,117,969","532,808","585,161","231,186","46,941","184,245","319,124","1,102,659"
Utah2002,2324815,"9,151,139","7,996,969","6,006","4,161","21,351","540,350","1,136,443","665,718","470,724","324,445","778,192","104,189","943,471","1,537,579","357,089","1,180,490","816,235","517,178","69,330","229,727","1,185,245","544,963","640,282","240,455","38,572","201,883","358,848","1,154,170"
Utah2003,2360137,"9,662,439","8,462,019","36,275","4,141","20,697","527,341","1,136,291","660,303","475,989","336,741","864,969","100,716","1,063,637","1,615,760","380,713","1,235,047","876,319","570,004","63,843","242,472","1,246,841","577,739","669,101","248,935","41,875","207,060","383,354","1,200,420"
Utah2004,2401580,"10,562,331","9,292,801","53,555","6,279","22,337","688,642","1,171,370","707,092","464,278","438,759","974,364","102,242","1,182,865","1,704,829","387,620","1,317,209","963,765","591,466","71,456","300,843","1,313,322","626,330","686,991","262,983","44,539","218,444","407,488","1,269,530"
Utah2005,2457719,"11,680,201","10,312,542","42,520","18,505","27,726","814,560","1,245,014","792,461","452,553","562,761","990,444","119,798","1,313,877","1,977,148","394,044","1,583,104","1,091,651","665,972","82,375","343,303","1,420,735","679,047","741,688","281,342","48,000","233,342","406,462","1,367,658"
Utah2006,2525507,"13,013,757","11,557,526","34,570","8,879","35,942","1,096,366","1,535,348","1,023,248","512,100","646,833","1,075,689","138,200","1,257,237","2,100,492","460,979","1,639,513","1,297,489","794,513","119,341","383,635","1,580,116","762,057","818,059","318,836","48,587","270,248","431,529","1,456,231"
Utah2007,2597746,"14,541,604","13,003,623","40,700","9,580","72,199","1,292,986","1,905,975","1,368,591","537,384",S,"1,123,748","142,192","1,472,504","2,312,303","466,981","1,845,322","1,445,953","917,867","96,025","432,061","1,678,048","812,126","865,922","350,573","51,804","298,769",S,"1,537,981"
Utah2008,2663029,"15,091,775","13,426,075","25,096","9,598","99,237","1,036,794","1,931,039","1,374,429","556,610","690,105","1,098,645","126,820","1,641,771","2,505,872","377,782","2,128,090","1,654,108","1,070,903","105,689","477,516","1,776,596","827,206","949,390","360,144","57,344","302,801","470,248","1,665,700"
Utah2009,2723421,"15,312,641","13,620,240","37,849","9,622","96,896","690,744","2,553,541","1,731,421","822,119","633,830","1,082,560","151,777","1,566,768","2,487,278","362,208","2,125,070","1,556,898","1,016,741","110,828","429,330","1,916,812","885,411","1,031,401","342,707","62,797","279,910","492,959","1,692,401"
Utah2010,2775413,"15,822,407","14,056,415","71,987","8,499","112,356","621,548","2,760,677","2,009,033","751,643","673,691","1,083,421","180,636","1,671,029","2,485,084","366,931","2,118,153","1,544,714","1,000,937","83,934","459,843","1,992,303","914,686","1,077,617","356,466","66,374","290,092","494,004","1,765,992"
Utah2011,2814797,"16,643,126","14,820,547","131,608","16,499","99,503","666,470","2,690,627","1,980,319","710,309","718,084","1,130,828","161,445","1,940,399","2,640,581","389,356","2,251,224","1,682,765","1,163,732","85,767","433,266","2,049,100","916,313","1,132,786","375,415","70,998","304,417","517,223","1,822,579"
Utah2012,2854146,"17,154,725","15,331,656","184,643","22,768","139,611","995,070","2,184,811","1,534,843","649,968","745,611","1,194,629","156,583","2,029,517","2,764,148","529,165","2,234,983","1,805,409","1,247,358","84,474","473,577","2,131,522","944,325","1,187,197","417,168","83,822","333,346","560,166","1,823,068"
Utah2013,2898773,"18,265,937","16,369,807","119,339","19,495","125,882","1,221,327","2,077,883","1,483,726","594,157","854,011","1,374,061","156,155","2,219,838","2,944,475","504,106","2,440,369","2,024,789","1,447,079","92,258","485,452","2,202,673","957,278","1,245,395","445,649","89,414","356,236","584,231","1,896,130"
Utah2014,2938327,"19,356,426","17,422,265","118,351","23,418","187,296","1,444,542","2,083,205","1,387,154","696,051","920,644","1,617,195","160,108","2,358,505","2,901,219","521,840","2,379,379","2,205,251","1,548,636","95,296","561,319","2,285,924","1,009,085","1,276,839","486,743","102,353","384,390","629,864","1,934,161"
Utah2015,2983626,"21,276,559","19,327,110","78,512","16,190","219,098","1,728,340","2,356,292","1,545,874","810,417","1,084,709","1,946,621","187,561","2,534,140","3,176,240","607,154","2,569,086","2,408,703","1,679,319","101,931","627,453","2,374,855","1,018,137","1,356,718","555,460","119,063","436,397","660,390","1,949,449"
Utah2016,3044241,"23,025,340","20,953,727",S,"16,297",S,"2,141,866","2,308,806","1,484,153","824,653","1,188,573","2,122,811","200,220","2,805,105","3,463,154","667,558","2,795,596","2,557,896","1,795,860","113,754","648,281","2,564,718","1,046,350","1,518,369","597,223","125,963","471,260",S,"2,071,613"
Utah2017,3103540,"24,515,530","22,348,214","30,771","27,400","210,416","2,426,497","2,521,175","1,627,621","893,554","1,302,749","2,197,972","218,154","2,822,935","3,783,383","727,108","3,056,275","2,782,564","1,991,500","111,469","679,595","2,678,600","1,089,610","1,588,990","635,507","116,119","519,389","710,090","2,167,316"
Utah2018,3155153,"27,340,053","25,137,312","26,390","31,176","284,073","2,789,137","2,836,805","1,913,504","923,301","1,474,372","2,415,348","237,293","3,148,431","3,999,038","807,108","3,191,930","3,515,100","2,542,243","178,000","794,857","2,909,338","1,146,384","1,762,954","727,594","133,372","594,222","743,218","2,202,741"
Utah2019,3203383,"30,392,713","28,078,949","13,941","37,210","343,921","3,036,784","3,201,618","2,109,454","1,092,165","1,426,741","2,518,452","260,111","3,518,896","4,668,323","868,602","3,799,722","4,330,663","3,229,796","192,881","907,986","3,118,787","1,218,513","1,900,274","810,033","164,588","645,445","793,468","2,313,764"
Utah2020,3283785,"32,417,981","29,908,016","14,169","35,118","464,023","3,580,404","3,336,175","2,121,567","1,214,608","1,284,547","2,755,866","269,948","3,961,597","4,998,443","1,038,489","3,959,954","4,380,875","3,196,672","205,809","978,394","3,158,426","1,178,589","1,979,837","749,092","151,527","597,565","919,334","2,509,965"
Utah2021,3339113,"36,166,707","33,485,990","17,063","67,244","548,563","3,794,008","3,670,922","2,279,430","1,391,492","1,477,098","3,276,019","330,832","4,713,710","5,620,611","1,395,962","4,224,648","4,581,695","3,195,443","218,492","1,167,759","3,404,467","1,255,430","2,149,038","980,052","233,305","746,747","1,003,708","2,680,717"
Utah2022,3380800,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Beaver2000,5998,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Beaver2001,5999,"191,997","164,768","85,463","2,962","5,979","5,276","5,721","1,843","3,878","1,116","8,773","10,908",0,"23,703",S,S,385,S,0,S,"1,513",8,"1,505","8,326",S,S,"4,642","27,230"
Beaver2002,6058,"163,172","134,415","51,465","3,010","6,392","4,909","6,030","1,842","4,188","1,341","8,932","11,316",0,"25,097",S,S,419,S,0,S,"1,838",9,"1,829","8,667",S,S,"5,000","28,757"
Beaver2003,6039,"168,209","139,940","42,292","4,125","6,702","3,789","7,099","1,789","5,309",998,"9,829","23,669",0,"26,238",S,S,462,S,0,S,"2,140",2,"2,138","7,665",S,S,"4,933","28,270"
Beaver2004,6077,"242,371","212,499","99,425","6,165","6,828","3,163","6,873","2,438","4,435","1,247","12,134","34,830",58,"26,238",S,S,S,419,0,S,"2,507",100,"2,407",S,S,S,"4,905","29,873"
Beaver2005,6192,"259,145","227,052","99,232","9,622","6,510","4,018","7,010","2,332","4,677","1,107","11,480","40,561",286,"31,042","4,739","26,302",S,S,0,S,"2,412",87,"2,325","7,927",S,S,S,"32,094"
Beaver2006,6281,"179,917","145,635","17,549","10,948","7,340","5,667","6,008","2,644","3,363",S,"11,247","35,576",368,"32,807","5,135","27,672","1,068",S,0,S,S,76,S,"8,429",S,S,"5,258","34,283"
Beaver2007,6266,"210,854","173,929","36,331","14,888","6,529","7,433","8,433","3,506","4,927",S,"11,596","23,754",72,"37,112","4,428","32,685",S,S,"8,726",S,"2,492",54,"2,438","9,340",S,S,"5,393","36,925"
Beaver2008,6413,"218,005","179,170","26,192","22,399","8,807","7,375","7,615","2,637","4,978",S,"11,588","23,586",S,"39,356","3,642","35,714",S,770,"11,280",S,"2,996",39,"2,957","9,572",S,S,"5,550","38,835"
Beaver2009,6552,"262,750","222,467","36,914","45,119","10,035","17,440","9,668",S,S,S,"11,753","20,003",S,"39,306","2,944","36,362",S,790,"10,061",S,"3,629",40,"3,589","9,380",S,S,"5,869","40,283"
Beaver2010,6657,"303,867","261,522","91,114","16,019","22,721","7,739","9,344","1,471","7,873",S,"12,397","23,903",S,"42,747",S,S,S,846,"12,846",S,"3,444",70,"3,374","10,024",S,S,"5,824","42,345"
Beaver2011,6560,"281,137","238,094","51,350","12,171","29,744","14,056","8,519","1,287","7,232",S,"12,636","25,181",S,"43,944",S,S,S,734,"12,859",S,"3,792",S,S,"14,081",S,S,"6,260","43,043"
Beaver2012,6500,"294,477","252,353","41,378","39,658","36,558","7,339","10,526","1,186","9,341",S,"13,745","25,913",S,"31,169",S,S,"16,021",S,"14,245",S,"4,192",155,"4,037","15,405",S,S,"6,897","42,123"
Beaver2013,6454,"385,001","340,035","83,774","61,757","31,861","16,618","28,688","19,635","9,053","1,821","14,731","24,901",S,"31,212",S,S,S,733,"13,158",S,S,356,S,"16,469",S,S,S,"44,966"
Beaver2014,6428,"410,528","365,656","74,780","90,139","41,946","7,576","31,201","16,773","14,428","1,922","15,131","31,882","2,865","30,275",S,S,S,777,"11,406",S,"4,643",893,"3,750","13,585",S,S,S,"44,872"
Beaver2015,6351,"322,110","275,471","5,440","69,059","42,547","9,173","26,811","8,946","17,865","3,061","16,227","29,418","3,357","31,701",S,S,"13,027","1,907","10,566",554,"4,852","1,260","3,592","13,712",S,S,"7,086","46,640"
Beaver2016,6463,"296,919","249,209","11,294","34,345","64,260","9,534","18,978","3,067","15,911","3,165","17,161","28,437","2,053","32,716",S,S,"2,066","1,531",S,S,"4,846","1,089","3,757","12,913",S,S,"7,440","47,711"
Beaver2017,6402,"384,785","334,616","70,557","44,341","78,132","11,154","19,217","2,685","16,532","3,578","17,797","25,814","1,020","33,543",S,S,S,"1,503",S,S,S,669,S,"14,756",S,S,"7,650","50,169"
Beaver2018,6620,"350,978","298,699","20,105","49,776","71,766","12,600","20,023","3,656","16,367",S,"19,517","30,928",710,"38,209",S,S,S,"1,745",S,835,S,199,S,"16,521",S,S,"8,221","52,279"
Beaver2019,6725,"404,325","350,174","52,587","28,938","76,505","13,190","23,861","3,887","19,974",S,"19,486","33,996",337,S,S,"37,151","22,196","1,903",S,S,"4,145",179,"3,966","20,075",S,S,"8,182","54,151"
Beaver2020,7087,"395,011","339,417","42,016","14,521","93,510","15,469","17,379","2,677","14,701",S,"19,982","32,229",951,"45,208",S,S,S,"1,888",S,S,"3,876",95,"3,781","21,031",S,S,"9,573","55,594"
Beaver2021,7203,"489,057","429,561","103,539","12,044","107,660","15,047","19,095","2,955","16,140",S,"23,381","32,664","1,001","48,906","6,067","42,839","21,031",S,S,"1,572","4,088",112,"3,976","28,183",S,S,S,"59,496"
Beaver2022,7327,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Box2000,42882,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Box2001,43362,"1,394,211","1,272,705","55,269","2,371","2,382","50,448","734,661","718,783","15,879","38,067","66,437","41,694","10,183","140,089","26,939","113,151","47,540",S,S,"6,124","32,138",694,"31,444","20,953","1,535","19,418","30,473","121,506"
Box2002,44038,"1,462,261","1,339,432","50,550","2,465","2,527","47,829","800,410","782,434","17,976","28,688","67,265","49,353","13,457","145,604","30,380","115,223","41,072","12,217","22,094","6,760","34,490","1,008","33,481","21,113","1,602","19,511","34,609","122,828"
Box2003,44548,"1,462,595","1,335,976","74,156","3,152","2,401","48,052","760,605","744,298","16,307","23,187","70,572","61,092","16,285","150,501","30,627","119,874","29,098",S,S,"6,834","37,234","1,163","36,071","22,846","1,838","21,009","36,794","126,619"
Box2004,44666,"1,524,491","1,394,228","83,145","4,044","2,811","52,035","769,172","752,883","16,289","27,180","79,503","68,252","19,395","150,933","31,472","119,461","36,697",S,S,"10,670","39,041","1,287","37,754","24,573","1,961","22,612","37,446","130,263"
Box2005,45090,"1,633,771","1,491,435","80,570","2,921","3,846","64,687","831,368","809,475","21,893","34,160","76,801","77,786","16,607","168,857","26,761","142,096","32,685","12,305","9,554","10,825","39,906","1,304","38,602","25,462","1,721","23,742","35,781","142,335"
Box2006,45948,"1,937,602","1,787,843","58,664","3,929","4,603","67,450","1,136,553","1,111,915","24,638","40,375","81,536","72,047","13,866","166,913","28,805","138,108","33,623",S,S,"10,346","43,296","1,676","41,620","27,283","1,846","25,436","37,707","149,759"
Box2007,47193,"2,083,837","1,924,961","76,304","3,560","3,364","92,741","1,184,430","1,152,299","32,131","47,291","88,006","77,503","10,157","190,940","26,504","164,437","36,135","16,028","9,957","10,149","48,164","2,129","46,034","27,427","1,861","25,567","38,937","158,876"
Box2008,48437,"2,224,793","2,056,703","63,366","1,492","4,168","108,856","1,280,583","1,221,998","58,585","47,638","89,026","84,558","12,816","196,614","22,295","174,319","43,541","18,731","12,369","12,441","53,934","2,388","51,546","27,959","2,201","25,758","42,152","168,090"
Box2009,49372,"2,120,292","1,955,122","8,660","3,780","4,697","100,552","1,250,189","1,140,421","109,768","41,548","82,550","81,317","10,460","200,004","20,525","179,479","39,821","16,739","10,987","12,096","60,365","2,862","57,503","27,712","2,325","25,387","43,469","165,170"
Box2010,50178,"2,122,845","1,956,453","42,834","8,683","3,919","69,473","1,222,972","1,085,699","137,272","45,298","78,784","76,000","10,173","219,425","21,315","198,111","46,018","17,829","14,023","14,166","61,995","3,022","58,973","28,071","2,906","25,164","42,809","166,391"
Box2011,50242,"1,967,987","1,810,298","105,132","7,017","7,374","58,543","1,003,475","853,798","149,676","49,697","75,362","77,031","8,489","224,535","21,769","202,765","53,546",S,S,"17,066","66,012","3,797","62,215","29,642","3,761","25,881","44,443","157,689"
Box2012,50205,"1,798,877","1,649,794","83,926","2,970","4,250","63,414","833,825","671,358","162,467","56,084","77,513","83,412","8,025","228,048","26,408","201,640","59,201",S,S,"18,398","68,503","4,714","63,789","32,747","4,919","27,829","47,879","149,083"
Box2013,50730,"1,937,028","1,769,720","116,426","4,487","4,035","78,898","876,472","694,541","181,931","62,417","82,052","88,105",S,"225,209","23,523","201,686",S,S,S,"24,822","72,986","4,721","68,264","33,232","5,064","28,168","48,797","167,308"
Box2014,51309,"1,957,979","1,782,567","126,249","8,200","4,722","86,082","871,430","694,063","177,367","70,735","82,709","91,411","7,429","203,791","24,567","179,223","66,345",S,S,"25,285","77,063","4,596","72,467","34,728","5,399","29,329","51,674","175,412"
Box2015,51839,"2,138,892","1,962,343","82,541","2,451","5,410","109,070","1,002,019","813,329","188,690","75,926","91,740","94,030","13,915","243,053","24,925","218,128","70,304",S,S,"27,686","83,194","5,390","77,805","37,153","5,080","32,073","51,537","176,549"
Box2016,52995,"2,151,596","1,965,425","67,278","4,461","6,556","132,735","939,799","775,233","164,567","82,257","100,395","100,609","20,153","245,371","26,694","218,677","82,302",S,S,"31,298","90,405","5,005","85,400","40,619","5,573","35,046","52,485","186,171"
Box2017,53999,"2,251,685","2,057,539","95,235","7,270","11,331","128,272","981,169","825,972","155,197","78,834","104,769","105,576","25,219","247,894","29,605","218,290","84,316","34,332","13,088","36,896","89,430","4,468","84,963","43,365","5,919","37,446","54,858","194,146"
Box2018,54807,"2,321,680","2,122,018","5,439","6,689","10,354","142,239","1,035,951","898,590","137,361","74,691","115,148","109,913","26,965","302,486","32,813","269,674","92,876","38,240","10,415","44,221","97,149","5,051","92,098","48,685","6,390","42,295","53,432","199,662"
Box2019,55957,"2,468,850","2,257,399","95,337","9,042",S,"166,531","1,030,976","857,547","173,429","62,501","122,178","111,226","28,461","310,435","34,855","275,580",S,S,S,"42,967","105,608","5,971","99,637","51,680","6,367","45,313","55,111","211,451"
Box2020,57946,"2,574,007","2,348,149","101,777","10,042","18,145","194,680","1,043,335","879,226","164,110","63,116","121,273","121,225","29,082","339,526","46,117","293,408","88,120",S,S,"37,961","101,116","5,792","95,325","49,834","6,343","43,491","66,878","225,858"
Box2021,59693,"2,852,645","2,611,567","6,629","11,284","15,540","217,469","1,282,851","1,106,645","176,207","70,423","133,243","134,519","29,014","384,896","50,100","334,796","88,222",S,S,"39,065","105,059","6,400","98,659","59,938","8,402","51,536","72,480","241,078"
Box2022,61498,,,,,,,,,,,,,,,,,,,,,,,,,,,,
