year,county,wheatprod
2002,beaver,71136
2007,beaver,109093
2012,beaver,53666
2017,beaver,155817
2022,beaver,64694
2002,box elder,1921384
2007,box elder,2879582
2012,box elder,2798820
2017,box elder,2713276
2022,box elder,1857151
2002,cache,587516
2007,cache,954876
2012,cache,1107613
2017,cache,1054211
2022,cache,650344
2002,carbon,1269
2007,carbon,3538
2012,carbon,3814
2017,carbon,4868
2022,carbon,7237
2002,davis,257795
2007,davis,105008
2012,davis,116559
2017,davis,137569
2022,davis,27141
2002,duchesne,55210
2012,duchesne,171026
2022,duchesne,153420
2002,emery,547
2007,emery,1176
2012,emery,5390
2017,emery,2348
2022,emery,5248
2012,garfield,120
2022,garfield,437
2007,grand,3600
2012,grand,9000
2002,iron,16543
2007,iron,18606
2012,iron,11000
2017,iron,49060
2022,iron,9617
2002,juab,96464
2007,juab,114663
2012,juab,136879
2017,juab,115964
2022,juab,38742
2002,millard,38623
2007,millard,143336
2012,millard,421383
2017,millard,567576
2022,millard,230433
2002,morgan,1645
2007,morgan,14917
2017,morgan,5411
2017,piute,184245
2022,piute,134501
2007,rich,3540
2002,salt lake,109806
2007,salt lake,101160
2012,salt lake,75523
2017,salt lake,136428
2022,salt lake,10284
2002,san juan,291298
2007,san juan,460785
2012,san juan,392159
2017,san juan,771856
2022,san juan,744277
2002,sanpete,7735
2007,sanpete,4018
2012,sanpete,31016
2017,sanpete,60589
2022,sanpete,68221
2007,sevier,19718
2012,sevier,38126
2017,sevier,67370
2022,sevier,27063
2002,summit,96442
2012,summit,179380
2017,summit,418829
2002,tooele,48367
2007,tooele,67177
2012,tooele,86268
2017,tooele,87249
2022,tooele,55671
2002,uintah,7215
2007,uintah,24199
2012,uintah,44968
2017,uintah,25783
2022,uintah,49920
2002,utah,368708
2007,utah,726429
2012,utah,430017
2017,utah,500481
2022,utah,406171
2007,wasatch,156898
2017,wasatch,476733
2002,washington,22712
2012,washington,11978
2017,washington,22034
2007,wayne,109228
2002,weber,98023
2007,weber,166724
2012,weber,255650
2017,weber,98200
2022,weber,42052
