year,county,wheatprod
2002,beaver,161122
2007,beaver,112712
2012,beaver,53666
2017,beaver,77917
2022,beaver,33395
2002,box elder,1921384
2007,box elder,2879582
2012,box elder,2798820
2017,box elder,2713276
2022,box elder,1857151
2002,cache,587516
2007,cache,954876
2012,cache,1107613
2017,cache,1054211
2022,cache,650344
2002,carbon,1159
2007,carbon,2202
2012,carbon,3814
2017,carbon,1566
2022,carbon,3157
2002,davis,257795
2007,davis,105008
2012,davis,116559
2017,davis,137569
2022,davis,27141
2002,duchesne,26093
2012,duchesne,28205
2022,duchesne,22109
2002,emery,2236
2007,emery,3103
2012,emery,5390
2017,emery,5873
2022,emery,5248
2012,garfield,120
2022,garfield,277
2007,grand,3600
2012,grand,9000
2002,iron,76569
2007,iron,32715
2012,iron,11000
2017,iron,49060
2022,iron,9617
2002,juab,96464
2007,juab,114663
2012,juab,136879
2017,juab,115964
2022,juab,38742
2002,millard,38623
2007,millard,143336
2012,millard,421383
2017,millard,567576
2022,millard,230433
2002,morgan,1645
2007,morgan,14917
2017,morgan,20826
2017,piute,38864
2022,piute,49830
2007,rich,3540
2002,salt lake,109806
2007,salt lake,101160
2012,salt lake,75523
2017,salt lake,136428
2022,salt lake,10284
2002,san juan,291298
2007,san juan,460785
2012,san juan,392159
2017,san juan,771856
2022,san juan,744277
2002,sanpete,9271
2007,sanpete,4018
2012,sanpete,31016
2017,sanpete,60589
2022,sanpete,68221
2007,sevier,10214
2012,sevier,38126
2017,sevier,32486
2022,sevier,27063
2002,summit,34178
2012,summit,38849
2017,summit,92981
2002,tooele,48367
2007,tooele,122688
2012,tooele,86268
2017,tooele,78185
2022,tooele,86224
2002,uintah,21775
2007,uintah,18737
2012,uintah,44968
2017,uintah,25783
2022,uintah,49920
2002,utah,368708
2007,utah,726429
2012,utah,430017
2017,utah,500481
2022,utah,406171
2007,wasatch,42996
2017,wasatch,84048
2002,washington,123067
2012,washington,11978
2017,washington,22660
2007,wayne,43564
2002,weber,98023
2007,weber,166724
2012,weber,255650
2017,weber,98200
2022,weber,42052
