"Program","Year","Period","Week Ending","Geo Level","State","State ANSI","Ag District","Ag District Code","County","County ANSI","Zip Code","Region","watershed_code","Watershed","Commodity","Data Item","Domain","Domain Category","Value","CV (%)"
"CENSUS","2022","YEAR","","COUNTY","UTAH","49","CENTRAL","50","JUAB","023","","","00000000","","WHEAT","WHEAT - PRODUCTION, MEASURED IN BU","TOTAL","NOT SPECIFIED","38,742","(L)"
"CENSUS","2022","YEAR","","COUNTY","UTAH","49","CENTRAL","50","MILLARD","027","","","00000000","","WHEAT","WHEAT - PRODUCTION, MEASURED IN BU","TOTAL","NOT SPECIFIED","230,433","(L)"
"CENSUS","2022","YEAR","","COUNTY","UTAH","49","CENTRAL","50","SANPETE","039","","","00000000","","WHEAT","WHEAT - PRODUCTION, MEASURED IN BU","TOTAL","NOT SPECIFIED","68,221","(L)"
"CENSUS","2022","YEAR","","COUNTY","UTAH","49","CENTRAL","50","SEVIER","041","","","00000000","","WHEAT","WHEAT - PRODUCTION, MEASURED IN BU","TOTAL","NOT SPECIFIED","27,063","(L)"
"CENSUS","2022","YEAR","","COUNTY","UTAH","49","CENTRAL","50","UTAH","049","","","00000000","","WHEAT","WHEAT - PRODUCTION, MEASURED IN BU","TOTAL","NOT SPECIFIED","406,171","(L)"
"CENSUS","2022","YEAR","","COUNTY","UTAH","49","EASTERN","60","CARBON","007","","","00000000","","WHEAT","WHEAT - PRODUCTION, MEASURED IN BU","TOTAL","NOT SPECIFIED"," (D)","(D)"
"CENSUS","2022","YEAR","","COUNTY","UTAH","49","EASTERN","60","DUCHESNE","013","","","00000000","","WHEAT","WHEAT - PRODUCTION, MEASURED IN BU","TOTAL","NOT SPECIFIED"," (D)","(D)"
"CENSUS","2022","YEAR","","COUNTY","UTAH","49","EASTERN","60","EMERY","015","","","00000000","","WHEAT","WHEAT - PRODUCTION, MEASURED IN BU","TOTAL","NOT SPECIFIED","5,248","(L)"
"CENSUS","2022","YEAR","","COUNTY","UTAH","49","EASTERN","60","SAN JUAN","037","","","00000000","","WHEAT","WHEAT - PRODUCTION, MEASURED IN BU","TOTAL","NOT SPECIFIED","744,277","(L)"
"CENSUS","2022","YEAR","","COUNTY","UTAH","49","EASTERN","60","UINTAH","047","","","00000000","","WHEAT","WHEAT - PRODUCTION, MEASURED IN BU","TOTAL","NOT SPECIFIED","49,920","(L)"
"CENSUS","2022","YEAR","","COUNTY","UTAH","49","NORTHERN","10","BOX ELDER","003","","","00000000","","WHEAT","WHEAT - PRODUCTION, MEASURED IN BU","TOTAL","NOT SPECIFIED","1,857,151","(L)"
"CENSUS","2022","YEAR","","COUNTY","UTAH","49","NORTHERN","10","CACHE","005","","","00000000","","WHEAT","WHEAT - PRODUCTION, MEASURED IN BU","TOTAL","NOT SPECIFIED","650,344","(L)"
"CENSUS","2022","YEAR","","COUNTY","UTAH","49","NORTHERN","10","DAVIS","011","","","00000000","","WHEAT","WHEAT - PRODUCTION, MEASURED IN BU","TOTAL","NOT SPECIFIED","27,141","(L)"
"CENSUS","2022","YEAR","","COUNTY","UTAH","49","NORTHERN","10","SALT LAKE","035","","","00000000","","WHEAT","WHEAT - PRODUCTION, MEASURED IN BU","TOTAL","NOT SPECIFIED","10,284","(L)"
"CENSUS","2022","YEAR","","COUNTY","UTAH","49","NORTHERN","10","TOOELE","045","","","00000000","","WHEAT","WHEAT - PRODUCTION, MEASURED IN BU","TOTAL","NOT SPECIFIED"," (D)","(D)"
"CENSUS","2022","YEAR","","COUNTY","UTAH","49","NORTHERN","10","WEBER","057","","","00000000","","WHEAT","WHEAT - PRODUCTION, MEASURED IN BU","TOTAL","NOT SPECIFIED","42,052","(L)"
"CENSUS","2022","YEAR","","COUNTY","UTAH","49","SOUTHERN","70","BEAVER","001","","","00000000","","WHEAT","WHEAT - PRODUCTION, MEASURED IN BU","TOTAL","NOT SPECIFIED"," (D)","(D)"
"CENSUS","2022","YEAR","","COUNTY","UTAH","49","SOUTHERN","70","GARFIELD","017","","","00000000","","WHEAT","WHEAT - PRODUCTION, MEASURED IN BU","TOTAL","NOT SPECIFIED"," (D)","(D)"
"CENSUS","2022","YEAR","","COUNTY","UTAH","49","SOUTHERN","70","IRON","021","","","00000000","","WHEAT","WHEAT - PRODUCTION, MEASURED IN BU","TOTAL","NOT SPECIFIED","9,617","(L)"
"CENSUS","2022","YEAR","","COUNTY","UTAH","49","SOUTHERN","70","PIUTE","031","","","00000000","","WHEAT","WHEAT - PRODUCTION, MEASURED IN BU","TOTAL","NOT SPECIFIED"," (D)","(D)"
"CENSUS","2017","YEAR","","COUNTY","UTAH","49","CENTRAL","50","JUAB","023","","","00000000","","WHEAT","WHEAT - PRODUCTION, MEASURED IN BU","TOTAL","NOT SPECIFIED","115,964","27.7"
"CENSUS","2017","YEAR","","COUNTY","UTAH","49","CENTRAL","50","MILLARD","027","","","00000000","","WHEAT","WHEAT - PRODUCTION, MEASURED IN BU","TOTAL","NOT SPECIFIED","567,576","27.7"
"CENSUS","2017","YEAR","","COUNTY","UTAH","49","CENTRAL","50","SANPETE","039","","","00000000","","WHEAT","WHEAT - PRODUCTION, MEASURED IN BU","TOTAL","NOT SPECIFIED","60,589","27.7"
"CENSUS","2017","YEAR","","COUNTY","UTAH","49","CENTRAL","50","SEVIER","041","","","00000000","","WHEAT","WHEAT - PRODUCTION, MEASURED IN BU","TOTAL","NOT SPECIFIED"," (D)","(D)"
"CENSUS","2017","YEAR","","COUNTY","UTAH","49","CENTRAL","50","UTAH","049","","","00000000","","WHEAT","WHEAT - PRODUCTION, MEASURED IN BU","TOTAL","NOT SPECIFIED","500,481","27.7"
"CENSUS","2017","YEAR","","COUNTY","UTAH","49","EASTERN","60","CARBON","007","","","00000000","","WHEAT","WHEAT - PRODUCTION, MEASURED IN BU","TOTAL","NOT SPECIFIED"," (D)","(D)"
"CENSUS","2017","YEAR","","COUNTY","UTAH","49","EASTERN","60","EMERY","015","","","00000000","","WHEAT","WHEAT - PRODUCTION, MEASURED IN BU","TOTAL","NOT SPECIFIED"," (D)","(D)"
"CENSUS","2017","YEAR","","COUNTY","UTAH","49","EASTERN","60","SAN JUAN","037","","","00000000","","WHEAT","WHEAT - PRODUCTION, MEASURED IN BU","TOTAL","NOT SPECIFIED","771,856","27.7"
"CENSUS","2017","YEAR","","COUNTY","UTAH","49","EASTERN","60","SUMMIT","043","","","00000000","","WHEAT","WHEAT - PRODUCTION, MEASURED IN BU","TOTAL","NOT SPECIFIED"," (D)","(D)"
"CENSUS","2017","YEAR","","COUNTY","UTAH","49","EASTERN","60","UINTAH","047","","","00000000","","WHEAT","WHEAT - PRODUCTION, MEASURED IN BU","TOTAL","NOT SPECIFIED","25,783","27.7"
"CENSUS","2017","YEAR","","COUNTY","UTAH","49","EASTERN","60","WASATCH","051","","","00000000","","WHEAT","WHEAT - PRODUCTION, MEASURED IN BU","TOTAL","NOT SPECIFIED"," (D)","(D)"
"CENSUS","2017","YEAR","","COUNTY","UTAH","49","NORTHERN","10","BOX ELDER","003","","","00000000","","WHEAT","WHEAT - PRODUCTION, MEASURED IN BU","TOTAL","NOT SPECIFIED","2,713,277","27.7"
"CENSUS","2017","YEAR","","COUNTY","UTAH","49","NORTHERN","10","CACHE","005","","","00000000","","WHEAT","WHEAT - PRODUCTION, MEASURED IN BU","TOTAL","NOT SPECIFIED","1,054,211","27.7"
"CENSUS","2017","YEAR","","COUNTY","UTAH","49","NORTHERN","10","DAVIS","011","","","00000000","","WHEAT","WHEAT - PRODUCTION, MEASURED IN BU","TOTAL","NOT SPECIFIED","137,569","27.7"
