Beaver County, Utah January-December Average Temperature
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
199001,49.6,1.7
199002,49.8,1.9
199003,49.6,1.7
199004,49.3,1.4
199005,49.2,1.3
199006,49.4,1.5
199007,49.3,1.4
199008,49.4,1.5
199009,49.7,1.8
199010,49.8,1.9
199011,49.7,1.8
199012,48.9,1.0
199101,48.4,0.5
199102,49.2,1.3
199103,48.7,0.8
199104,48.3,0.4
199105,48.1,0.2
199106,47.7,-0.2
199107,47.7,-0.2
199108,47.8,-0.1
199109,47.5,-0.4
199110,47.5,-0.4
199111,47.3,-0.6
199112,47.9,0.0
199201,48.1,0.2
199202,48.1,0.2
199203,48.5,0.6
199204,49.2,1.3
199205,49.8,1.9
199206,49.9,2.0
199207,49.7,1.8
199208,49.7,1.8
199209,49.8,1.9
199210,49.9,2.0
199211,49.6,1.7
199212,49.4,1.5
199301,49.5,1.6
199302,48.9,1.0
199303,49.0,1.1
199304,48.4,0.5
199305,48.3,0.4
199306,48.0,0.1
199307,48.0,0.1
199308,47.8,-0.1
199309,47.6,-0.3
199310,47.3,-0.6
199311,47.4,-0.5
199312,47.7,-0.2
199401,48.0,0.1
199402,48.2,0.3
199403,48.2,0.3
199404,48.3,0.4
199405,48.3,0.4
199406,49.1,1.2
199407,49.5,1.6
199408,49.9,2.0
199409,50.1,2.2
199410,50.0,2.1
199411,49.7,1.8
199412,49.8,1.9
199501,49.7,1.8
199502,50.5,2.6
199503,50.2,2.3
199504,50.0,2.1
199505,49.4,1.5
199506,48.4,0.5
199507,48.1,0.2
199508,48.1,0.2
199509,48.1,0.2
199510,48.3,0.4
199511,49.5,1.6
199512,49.7,1.8
199601,49.7,1.8
199602,49.3,1.4
199603,49.4,1.5
199604,49.6,1.7
199605,50.3,2.4
199606,51.1,3.2
199607,51.4,3.5
199608,51.3,3.4
199609,51.0,3.1
199610,50.8,2.9
199611,50.3,2.4
199612,50.3,2.4
199701,50.0,2.1
199702,49.6,1.7
199703,49.8,1.9
199704,49.5,1.6
199705,49.6,1.7
199706,49.3,1.4
199707,48.9,1.0
199708,48.9,1.0
199709,49.0,1.1
199710,49.2,1.3
199711,49.3,1.4
199712,48.9,1.0
199801,49.3,1.4
199802,49.4,1.5
