Beaver County, Utah January-December Cooling Degree Days
Units: Fahrenheit Degree-Days
Base Period: 1901-2000
Missing: -9999
Date,Value,Anomaly
199001,522,68
199002,522,68
199003,522,68
199004,517,63
199005,514,60
199006,561,108
199007,522,68
199008,540,85
199009,578,123
199010,578,123
199011,578,123
199012,578,123
199101,578,124
199102,578,124
199103,578,124
199104,578,124
199105,572,118
199106,516,63
199107,487,33
199108,519,64
199109,478,23
199110,478,23
199111,478,23
199112,478,23
199201,478,24
199202,478,24
199203,478,24
199204,484,30
199205,501,47
199206,520,67
199207,445,-9
199208,432,-23
199209,448,-7
199210,448,-7
199211,448,-7
199212,448,-7
199301,448,-6
199302,448,-6
199303,448,-6
199304,442,-12
199305,436,-18
199306,396,-57
199307,380,-74
199308,334,-121
199309,314,-141
199310,314,-141
199311,314,-141
199312,314,-141
199401,314,-140
199402,314,-140
199403,314,-140
199404,314,-140
199405,315,-139
199406,451,-2
199407,596,142
199408,714,259
199409,738,283
199410,738,283
199411,738,283
199412,738,283
199501,738,284
199502,738,284
199503,738,284
199504,738,284
199505,726,272
199506,572,119
199507,452,-2
199508,440,-15
199509,444,-11
199510,444,-11
199511,444,-11
199512,444,-11
199601,444,-10
199602,444,-10
199603,444,-10
199604,444,-10
199605,457,3
199606,577,124
199607,689,235
199608,666,211
199609,631,176
199610,631,176
199611,631,176
199612,631,176
199701,631,177
199702,631,177
199703,631,177
199704,631,177
199705,635,181
199706,573,120
199707,446,-8
199708,426,-29
199709,438,-17
199710,438,-17
199711,438,-17
199712,438,-17
199801,438,-16
199802,438,-16
199803,438,-16
199804,438,-16
199805,421,-33
199806,368,-85
199807,449,-5
199808,462,7
199809,465,10
199810,465,10
199811,465,10
199812,465,10
199901,465,11
199902,465,11
199903,465,11
199904,465,11
199905,465,11
199906,518,65
199907,490,36
199908,434,-21
199909,423,-32
199910,423,-32
199911,423,-32
199912,423,-32
200001,423,-31
200002,423,-31
200003,423,-31
200004,423,-31
200005,448,-6
200006,484,31
200007,530,76
200008,604,149
200009,620,165
200010,620,165
200011,620,165
200012,620,165
200101,620,166
200102,620,166
200103,620,166
200104,620,166
200105,619,165
200106,622,169
200107,590,136
200108,612,157
200109,649,194
200110,649,194
200111,649,194
200112,649,194
200201,649,195
200202,649,195
200203,649,195
200204,649,195
200205,635,181
200206,660,207
200207,794,340
200208,744,289
200209,699,244
200210,699,244
200211,699,244
200212,699,244
200301,699,245
200302,699,245
200303,699,245
200304,699,245
200305,703,249
200306,665,212
200307,665,211
200308,690,235
200309,703,248
200310,711,256
200311,711,256
200312,711,256
200401,711,257
200402,711,257
200403,711,257
200404,711,257
200405,708,254
200406,716,263
200407,586,132
200408,499,44
200409,477,22
200410,469,14
200411,469,14
200412,469,14
200501,469,15
200502,469,15
200503,469,15
200504,469,15
200505,466,12
200506,395,-58
200507,481,27
200508,490,35
200509,494,39
200510,494,39
200511,494,39
200512,494,39
200601,494,40
200602,494,40
200603,494,40
200604,494,40
200605,506,52
200606,618,165
200607,596,142
200608,633,178
200609,620,165
200610,620,165
200611,620,165
200612,620,165
200701,620,166
200702,620,166
200703,620,166
200704,620,166
200705,615,161
200706,599,146
200707,654,200
200708,726,271
200709,744,289
200710,744,289
200711,744,289
200712,744,289
200801,744,290
200802,744,290
200803,744,290
200804,744,290
200805,729,275
200806,682,229
200807,625,171
200808,615,160
200809,627,172
200810,627,172
200811,627,172
200812,627,172
200901,627,173
200902,627,173
200903,627,173
200904,627,173
200905,652,198
200906,613,160
200907,602,148
200908,544,89
200909,569,114
200910,569,114
200911,569,114
200912,569,114
201001,569,115
201002,569,115
201003,569,115
201004,569,115
201005,544,90
201006,583,130
201007,583,129
201008,560,105
201009,553,98
201010,553,98
201011,553,98
201012,553,98
201101,553,99
201102,553,99
201103,553,99
201104,553,99
201105,553,99
201106,517,64
201107,450,-4
201108,518,63
201109,505,50
201110,505,50
201111,505,50
201112,505,50
201201,505,51
201202,505,51
201203,505,51
201204,505,51
201205,523,69
201206,605,152
201207,635,181
201208,649,194
201209,655,200
201210,655,200
201211,655,200
201212,655,200
201301,655,201
201302,655,201
201303,655,201
201304,655,201
201305,644,190
201306,668,215
201307,734,280
201308,671,216
201309,641,186
201310,641,186
201311,641,186
201312,641,186
201401,641,187
201402,641,187
201403,641,187
201404,641,187
201405,644,190
201406,606,153
201407,602,148
201408,545,90
201409,589,134
201410,589,134
201411,589,134
201412,589,134
201501,589,135
201502,589,135
201503,589,135
201504,589,135
201505,579,125
201506,638,185
201507,523,69
201508,635,180
201509,664,209
201510,670,215
201511,670,215
201512,670,215
201601,670,216
201602,670,216
201603,670,216
201604,670,216
201605,676,222
201606,703,250
201607,806,352
201608,770,315
201609,705,250
201610,704,249
201611,704,249
201612,704,249
201701,704,250
201702,704,250
201703,704,250
201704,704,250
201705,707,253
201706,675,222
201707,718,264
201708,747,292
201709,739,284
201710,734,279
201711,734,279
201712,734,279
201801,734,280
201802,734,280
201803,734,280
201804,734,280
201805,738,284
201806,719,266
201807,728,274
201808,775,320
201809,845,390
201810,845,390
201811,845,390
201812,845,390
201901,845,391
201902,845,391
201903,845,391
201904,845,391
201905,832,378
201906,731,278
201907,639,185
201908,633,178
201909,588,133
201910,588,133
201911,588,133
201912,588,133
202001,588,134
202002,588,134
202003,588,134
202004,588,134
202005,607,153
202006,638,185
202007,676,222
202008,744,289
202009,759,304
202010,759,304
202011,759,304
202012,759,304
202101,759,305
202102,759,305
202103,759,305
202104,759,305
202105,751,297
202106,886,433
202107,933,479
202108,810,355
202109,818,363
202110,818,363
