Beaver County, Utah January-December Heating Degree Days
Units: Fahrenheit Degree-Days
Base Period: 1901-2000
Missing: -9999
Date,Value,Anomaly
199001,6078,-600
199002,6034,-643
199003,6113,-565
199004,6199,-476
199005,6240,-434
199006,6193,-482
199007,6193,-482
199008,6189,-485
199009,6135,-537
199010,6088,-584
199011,6132,-543
199012,6415,-258
199101,6607,-71
199102,6344,-333
199103,6508,-170
199104,6672,-3
199105,6750,76
199106,6808,133
199107,6808,133
199108,6804,130
199109,6865,193
199110,6869,197
199111,6911,236
199112,6693,20
199201,6608,-70
199202,6625,-52
199203,6479,-199
199204,6210,-465
199205,6023,-651
199206,6001,-674
199207,6008,-667
199208,6009,-665
199209,5978,-694
199210,5926,-746
199211,6034,-641
199212,6112,-561
199301,6087,-591
199302,6274,-403
199303,6257,-421
199304,6457,-218
199305,6495,-179
199306,6556,-119
199307,6558,-117
199308,6567,-107
199309,6610,-62
199310,6744,72
199311,6712,37
199312,6587,-86
199401,6464,-214
199402,6420,-257
199403,6397,-281
199404,6362,-313
199405,6359,-315
199406,6229,-446
199407,6220,-455
199408,6204,-470
199409,6156,-516
199410,6171,-501
199411,6293,-382
199412,6259,-414
199501,6277,-401
199502,6016,-661
199503,6107,-571
199504,6197,-478
199505,6398,-276
199506,6593,-82
199507,6599,-76
199508,6599,-75
199509,6594,-78
199510,6515,-157
199511,6089,-586
199512,6022,-651
199601,6013,-665
199602,6126,-551
199603,6092,-586
199604,6017,-658
199605,5805,-869
199606,5626,-1049
199607,5620,-1055
199608,5620,-1054
199609,5699,-973
199610,5793,-879
199611,5950,-725
199612,5964,-709
199701,6057,-621
199702,6218,-459
199703,6129,-549
199704,6224,-451
199705,6202,-472
199706,6255,-420
199707,6262,-413
199708,6267,-407
199709,6226,-446
199710,6171,-501
199711,6136,-539
199712,6292,-381
199801,6129,-549
199802,6097,-580
199803,6265,-413
199804,6283,-392
199805,6444,-230
199806,6545,-130
199807,6538,-137
199808,6533,-141
199809,6527,-145
199810,6601,-71
199811,6610,-65
199812,6615,-58
199901,6635,-43
199902,6541,-136
199903,6427,-251
199904,6498,-177
199905,6476,-198
199906,6375,-300
199907,6375,-300
199908,6386,-288
199909,6417,-255
199910,6239,-433
199911,6113,-562
199912,6023,-650
200001,6037,-641
200002,5985,-692
200003,6065,-613
200004,5751,-924
200005,5576,-1098
200006,5541,-1134
200007,5541,-1134
200008,5530,-1144
200009,5488,-1184
200010,5595,-1077
200011,6002,-673
200012,5909,-764
200101,6079,-599
200102,6198,-479
200103,6111,-567
200104,6239,-436
200105,6243,-431
200106,6241,-434
200107,6241,-434
200108,6241,-433
200109,6193,-479
200110,6060,-612
200111,5765,-910
200112,5982,-691
200201,5959,-719
200202,5977,-700
200203,6128,-550
200204,6014,-661
200205,6097,-577
200206,6079,-596
200207,6079,-596
200208,6079,-595
200209,6145,-527
200210,6324,-348
200211,6391,-284
200212,6238,-435
200301,5940,-738
200302,5959,-718
200303,5852,-826
200304,6011,-664
200305,5978,-696
200306,6007,-668
200307,6007,-668
200308,6007,-667
200309,5981,-691
200310,5744,-928
200311,5807,-868
200312,5776,-897
200401,6186,-492
200402,6287,-390
200403,6110,-568
200404,6023,-652
200405,6043,-631
200406,6036,-639
200407,6036,-639
200408,6051,-623
200409,6103,-569
200410,6307,-365
200411,6302,-373
200412,6307,-366
200501,6036,-642
200502,5849,-828
200503,6076,-602
200504,6177,-498
200505,6209,-465
200506,6296,-379
200507,6296,-379
200508,6294,-380
200509,6281,-391
200510,6224,-448
200511,6067,-608
200512,6070,-603
200601,6151,-527
200602,6212,-465
200603,6317,-361
200604,6228,-447
200605,6142,-532
200606,6028,-647
200607,6028,-647
200608,6021,-653
200609,6082,-590
200610,6179,-493
200611,6221,-454
200612,6350,-323
200701,6670,-8
200702,6597,-80
200703,6344,-334
200704,6328,-347
200705,6352,-322
200706,6360,-315
200707,6360,-315
200708,6354,-320
200709,6280,-392
200710,6217,-455
200711,6158,-517
200712,6206,-467
200801,6039,-639
200802,6144,-533
200803,6314,-364
200804,6443,-232
200805,6597,-77
200806,6635,-40
200807,6635,-40
200808,6635,-39
200809,6611,-61
200810,6567,-105
200811,6562,-113
200812,6514,-159
200901,6392,-286
200902,6338,-339
200903,6303,-375
200904,6271,-404
200905,6073,-601
200906,6122,-553
200907,6122,-553
200908,6128,-546
200909,6096,-576
200910,6243,-429
200911,6298,-377
200912,6415,-258
201001,6432,-246
201002,6481,-196
