Beaver County, Utah January-December Maximum Temperature
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
199001,64.3,2.6
199002,64.4,2.7
199003,64.0,2.3
199004,63.6,1.9
199005,63.5,1.8
199006,63.8,2.1
199007,63.5,1.8
199008,63.6,1.9
199009,63.7,2.0
199010,63.9,2.2
199011,63.7,2.0
199012,62.7,1.0
199101,62.1,0.4
199102,63.1,1.4
199103,62.5,0.8
199104,62.1,0.4
199105,61.8,0.1
199106,61.3,-0.4
199107,61.4,-0.3
199108,61.5,-0.2
199109,61.2,-0.5
199110,61.2,-0.5
199111,60.9,-0.8
199112,61.3,-0.4
199201,61.6,-0.1
199202,61.3,-0.4
199203,61.7,0.0
199204,62.5,0.8
199205,63.1,1.4
199206,63.3,1.6
199207,63.0,1.3
199208,63.0,1.3
199209,63.2,1.5
199210,63.3,1.6
199211,63.0,1.3
199212,62.9,1.2
199301,62.7,1.0
199302,61.9,0.2
199303,62.0,0.3
199304,61.4,-0.3
199305,61.3,-0.4
199306,61.0,-0.7
199307,61.0,-0.7
199308,60.8,-0.9
199309,60.8,-0.9
199310,60.4,-1.3
199311,60.5,-1.2
199312,60.9,-0.8
199401,61.6,-0.1
199402,62.1,0.4
199403,62.3,0.6
199404,62.3,0.6
199405,62.3,0.6
199406,63.2,1.5
199407,63.7,2.0
199408,64.0,2.3
199409,64.0,2.3
199410,63.9,2.2
199411,63.5,1.8
199412,63.4,1.7
199501,62.9,1.2
199502,63.9,2.2
199503,63.4,1.7
199504,63.2,1.5
199505,62.4,0.7
199506,61.3,-0.4
199507,60.9,-0.8
199508,60.9,-0.8
199509,61.0,-0.7
199510,61.6,-0.1
199511,63.1,1.4
199512,63.5,1.8
199601,63.9,2.2
199602,63.5,1.8
199603,63.8,2.1
199604,64.3,2.6
199605,65.1,3.4
199606,66.1,4.4
199607,66.4,4.7
199608,66.4,4.7
199609,66.0,4.3
199610,65.5,3.8
199611,64.8,3.1
199612,64.6,2.9
199701,64.1,2.4
199702,63.5,1.8
199703,63.8,2.1
199704,63.4,1.7
199705,63.5,1.8
199706,63.1,1.4
199707,62.7,1.0
199708,62.5,0.8
199709,62.4,0.7
199710,62.7,1.0
199711,62.8,1.1
199712,62.5,0.8
199801,63.1,1.4
199802,63.0,1.3
199803,62.3,0.6
199804,62.2,0.5
199805,61.6,-0.1
199806,61.1,-0.6
199807,61.4,-0.3
199808,61.5,-0.2
199809,61.6,-0.1
199810,61.2,-0.5
199811,61.1,-0.6
199812,61.3,-0.4
199901,61.2,-0.5
199902,61.8,0.1
199903,62.3,0.6
199904,62.0,0.3
199905,62.2,0.5
199906,62.7,1.0
199907,62.5,0.8
199908,62.3,0.6
199909,62.3,0.6
199910,63.2,1.5
199911,64.0,2.3
199912,64.3,2.6
200001,64.2,2.5
200002,64.2,2.5
200003,63.8,2.1
200004,65.0,3.3
200005,65.5,3.8
200006,65.8,4.1
200007,66.1,4.4
200008,66.3,4.6
200009,66.4,4.7
200010,65.6,3.9
200011,64.1,2.4
200012,64.2,2.5
200101,63.9,2.2
200102,63.5,1.8
200103,63.6,1.9
200104,63.1,1.4
200105,63.1,1.4
200106,63.3,1.6
200107,63.1,1.4
200108,63.3,1.6
200109,63.6,1.9
200110,64.3,2.6
200111,65.2,3.5
200112,64.5,2.8
200201,64.6,2.9
200202,64.9,3.2
200203,64.7,3.0
200204,65.2,3.5
200205,64.9,3.2
200206,65.0,3.3
200207,65.4,3.7
200208,65.3,3.6
200209,64.8,3.1
200210,64.1,2.4
200211,63.9,2.2
200212,64.4,2.7
200301,65.3,3.6
200302,64.9,3.2
200303,65.0,3.3
200304,64.4,2.7
200305,64.4,2.7
200306,64.1,2.4
200307,64.1,2.4
200308,64.1,2.4
200309,64.3,2.6
200310,65.3,3.6
200311,64.9,3.2
200312,64.9,3.2
200401,63.6,1.9
200402,63.3,1.6
200403,64.0,2.3
200404,64.2,2.5
200405,64.2,2.5
200406,64.1,2.4
200407,63.7,2.0
200408,63.4,1.7
200409,63.2,1.5
200410,62.2,0.5
200411,62.2,0.5
200412,62.2,0.5
200501,62.7,1.0
200502,63.2,1.5
200503,62.4,0.7
200504,62.2,0.5
200505,62.0,0.3
200506,61.5,-0.2
200507,61.9,0.2
200508,61.9,0.2
200509,61.9,0.2
200510,62.3,0.6
200511,62.9,1.2
200512,63.1,1.4
200601,63.1,1.4
200602,63.2,1.5
200603,62.9,1.2
200604,63.2,1.5
200605,63.6,1.9
200606,64.4,2.7
200607,64.2,2.5
200608,64.4,2.7
200609,64.2,2.5
200610,63.8,2.1
200611,63.8,2.1
200612,63.4,1.7
200701,62.6,0.9
200702,62.7,1.0
200703,63.6,1.9
200704,63.7,2.0
200705,63.6,1.9
200706,63.6,1.9
200707,63.8,2.1
200708,64.0,2.3
200709,64.2,2.5
200710,64.5,2.8
200711,64.8,3.1
200712,64.6,2.9
200801,64.9,3.2
200802,64.5,2.8
200803,63.9,2.2
200804,63.7,2.0
200805,63.1,1.4
200806,62.9,1.2
200807,62.7,1.0
200808,62.7,1.0
200809,62.9,1.2
200810,63.1,1.4
200811,62.8,1.1
200812,63.1,1.4
200901,63.5,1.8
200902,63.6,1.9
200903,63.8,2.1
200904,63.7,2.0
200905,64.4,2.7
200906,63.9,2.2
200907,63.9,2.2
200908,63.8,2.1
200909,63.9,2.2
200910,63.5,1.8
200911,63.4,1.7
200912,63.1,1.4
201001,63.0,1.3
201002,62.8,1.1
201003,62.5,0.8
201004,62.4,0.7
201005,61.4,-0.3
201006,61.7,0.0
201007,61.7,0.0
201008,61.6,-0.1
201009,61.7,0.0
201010,61.9,0.2
201011,61.3,-0.4
201012,61.9,0.2
201101,61.7,0.0
201102,61.6,-0.1
201103,61.7,0.0
201104,61.7,0.0
201105,61.8,0.1
201106,61.6,-0.1
