Beaver County, Utah January-December Minimum Temperature
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
199001,35.0,1.0
199002,35.2,1.2
199003,35.1,1.1
199004,35.0,1.0
199005,34.9,0.9
199006,35.1,1.1
199007,35.1,1.1
199008,35.2,1.2
199009,35.6,1.5
199010,35.6,1.6
199011,35.6,1.6
199012,35.1,1.1
199101,34.6,0.6
199102,35.2,1.2
199103,34.9,0.9
199104,34.4,0.4
199105,34.3,0.3
199106,34.1,0.1
199107,33.9,-0.1
199108,34.0,0.0
199109,33.7,-0.4
199110,33.7,-0.3
199111,33.8,-0.2
199112,34.5,0.5
199201,34.7,0.7
199202,34.9,0.9
199203,35.3,1.3
199204,36.0,2.0
199205,36.5,2.5
199206,36.5,2.5
199207,36.4,2.4
199208,36.3,2.3
199209,36.4,2.3
199210,36.6,2.6
199211,36.2,2.2
199212,36.0,2.0
199301,36.2,2.2
199302,35.9,1.9
199303,35.9,1.9
199304,35.4,1.4
199305,35.2,1.2
199306,35.0,1.0
199307,34.9,0.9
199308,34.8,0.8
199309,34.5,0.4
199310,34.1,0.1
199311,34.2,0.2
199312,34.5,0.5
199401,34.4,0.4
199402,34.2,0.2
199403,34.1,0.1
199404,34.3,0.3
199405,34.3,0.3
199406,34.9,0.9
199407,35.3,1.3
199408,35.6,1.6
199409,36.0,1.9
199410,36.1,2.1
199411,35.9,1.9
199412,36.1,2.1
199501,36.5,2.5
199502,37.1,3.1
199503,37.1,3.1
199504,36.8,2.8
199505,36.4,2.4
199506,35.6,1.6
199507,35.3,1.3
199508,35.2,1.2
199509,35.1,1.0
199510,35.0,1.0
199511,35.8,1.8
199512,35.8,1.8
199601,35.4,1.4
199602,35.2,1.2
199603,35.0,1.0
199604,35.0,1.0
199605,35.4,1.4
199606,36.1,2.1
199607,36.4,2.4
199608,36.3,2.3
199609,36.1,2.0
199610,36.1,2.1
199611,35.9,1.9
199612,36.0,2.0
199701,36.1,2.1
199702,35.7,1.7
199703,35.8,1.8
199704,35.7,1.7
199705,35.7,1.7
199706,35.6,1.6
199707,35.2,1.2
199708,35.3,1.3
199709,35.6,1.5
199710,35.7,1.7
199711,35.7,1.7
199712,35.2,1.2
199801,35.5,1.5
199802,35.8,1.8
199803,35.6,1.6
199804,35.6,1.6
199805,35.3,1.3
199806,34.8,0.8
199807,35.1,1.1
199808,35.0,1.0
199809,35.0,0.9
199810,35.0,1.0
199811,35.0,1.0
199812,34.8,0.8
199901,34.8,0.8
199902,34.7,0.7
199903,34.9,0.9
199904,34.7,0.7
199905,34.7,0.7
199906,35.1,1.1
199907,35.1,1.1
199908,34.9,0.9
199909,34.7,0.6
199910,34.7,0.7
199911,34.7,0.7
199912,34.8,0.8
200001,34.8,0.8
200002,35.2,1.2
