Beaver County, Utah December Palmer Drought Severity Index (PDSI)
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
199001,-3.85,-4.15
199002,-3.27,-3.62
199003,-2.97,-3.37
199004,-2.41,-2.83
199005,-2.28,-2.75
199006,-2.15,-2.63
199007,-2.35,-2.78
199008,-2.58,-3.00
199009,-1.69,-2.07
199010,-1.65,-2.07
199011,-1.56,-1.83
199012,-1.19,-1.40
199101,-1.14,-1.44
199102,-1.72,-2.07
199103,-1.74,-2.14
199104,-1.75,-2.17
199105,1.18,0.71
199106,-0.03,-0.51
199107,-0.43,-0.86
199108,-0.40,-0.82
199109,0.04,-0.34
199110,0.49,0.07
199111,0.70,0.43
199112,-0.13,-0.34
199201,-0.34,-0.64
199202,-0.52,-0.87
199203,1.36,0.96
199204,-0.97,-1.39
199205,-0.65,-1.12
199206,-0.74,-1.22
199207,-1.05,-1.48
199208,-1.39,-1.81
199209,-1.76,-2.14
199210,0.59,0.17
199211,0.37,0.10
199212,0.53,0.32
199301,2.00,1.70
199302,3.51,3.16
199303,3.46,3.06
199304,2.84,2.42
199305,2.70,2.23
199306,3.14,2.66
199307,2.92,2.49
199308,-0.27,-0.69
199309,-0.76,-1.14
199310,0.73,0.31
199311,0.88,0.61
199312,-0.15,-0.36
199401,-0.64,-0.94
199402,-0.47,-0.82
199403,-1.21,-1.61
199404,-0.80,-1.22
199405,-1.05,-1.52
199406,-1.82,-2.30
199407,-2.82,-3.25
199408,0.60,0.18
199409,0.57,0.19
199410,1.61,1.19
199411,2.57,2.30
199412,2.28,2.07
199501,2.52,2.22
199502,1.74,1.39
199503,1.97,1.57
199504,2.14,1.72
199505,3.82,3.35
199506,5.43,4.95
199507,6.51,6.08
199508,6.11,5.69
199509,-0.32,-0.70
199510,-1.03,-1.45
199511,-1.76,-2.03
199512,-2.06,-2.27
199601,-2.06,-2.36
199602,-2.24,-2.59
199603,-2.73,-3.13
199604,-3.05,-3.47
199605,-3.10,-3.57
199606,-4.09,-4.57
199607,-4.07,-4.50
199608,-4.75,-5.17
199609,0.04,-0.34
199610,-0.07,-0.49
199611,0.67,0.40
199612,0.76,0.55
199701,1.60,1.30
199702,1.69,1.34
199703,0.59,0.19
199704,1.24,0.82
199705,0.90,0.43
199706,0.93,0.45
199707,0.80,0.37
199708,1.33,0.91
199709,3.66,3.28
199710,3.24,2.82
199711,2.73,2.46
199712,2.07,1.86
199801,1.65,1.35
199802,2.80,2.45
199803,2.70,2.30
199804,2.73,2.31
199805,2.51,2.04
199806,3.48,3.00
199807,4.59,4.16
199808,4.25,3.83
199809,4.76,4.38
199810,5.10,4.68
199811,-0.20,-0.47
199812,0.19,-0.02
199901,-0.39,-0.69
199902,-0.78,-1.13
199903,-1.72,-2.12
199904,-0.99,-1.41
199905,-0.86,-1.33
199906,-0.88,-1.36
199907,-0.75,-1.18
199908,-0.41,-0.83
199909,-0.56,-0.94
199910,-1.20,-1.62
199911,-1.94,-2.21
199912,-2.29,-2.50
200001,-2.02,-2.32
200002,-1.36,-1.71
200003,-1.67,-2.07
200004,-2.10,-2.52
200005,-2.53,-3.00
200006,-2.69,-3.17
200007,-3.45,-3.88
200008,0.28,-0.14
200009,-0.34,-0.72
200010,2.16,1.74
200011,2.08,1.81
200012,1.72,1.51
200101,1.62,1.32
200102,1.98,1.63
200103,1.77,1.37
200104,1.89,1.47
