Beaver County, Utah December Palmer Hydrological Drought Index (PHDI)
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
199001,-3.85,-4.34
199002,-3.27,-3.79
199003,-2.97,-3.46
199004,-2.41,-2.87
199005,-2.28,-2.76
199006,-2.15,-2.60
199007,-2.35,-2.87
199008,-2.58,-3.17
199009,-1.69,-2.28
199010,-1.65,-2.27
199011,-1.56,-2.14
199012,-1.19,-1.70
199101,-1.14,-1.63
199102,-1.72,-2.24
199103,-1.74,-2.23
199104,-1.75,-2.21
199105,1.18,0.70
199106,1.02,0.57
199107,-0.43,-0.95
199108,-0.40,-0.99
199109,0.04,-0.55
199110,0.49,-0.13
199111,0.70,0.12
199112,-0.13,-0.64
199201,-0.34,-0.83
199202,-0.52,-1.04
199203,1.36,0.87
199204,-0.97,-1.43
199205,-0.65,-1.13
199206,-0.74,-1.19
199207,-1.05,-1.57
199208,-1.39,-1.98
199209,-1.76,-2.35
199210,-0.99,-1.61
199211,-1.05,-1.63
199212,-0.74,-1.25
199301,2.00,1.51
199302,3.51,2.99
199303,3.46,2.97
199304,2.84,2.38
199305,2.70,2.22
199306,3.14,2.69
199307,2.92,2.40
199308,2.35,1.76
199309,1.59,1.00
199310,2.16,1.54
199311,2.16,1.58
199312,1.79,1.28
199401,1.10,0.61
199402,1.09,0.57
199403,-1.21,-1.70
199404,-0.80,-1.26
199405,-1.05,-1.53
199406,-1.82,-2.27
199407,-2.82,-3.34
199408,-1.93,-2.52
199409,-1.70,-2.29
199410,1.61,0.99
199411,2.57,1.99
199412,2.28,1.77
199501,2.52,2.03
199502,1.74,1.22
199503,1.97,1.48
199504,2.14,1.68
199505,3.82,3.34
199506,5.43,4.98
199507,6.51,5.99
199508,6.11,5.52
199509,5.17,4.58
199510,3.89,3.27
199511,2.66,2.08
199512,1.90,1.39
199601,1.49,1.00
199602,0.94,0.42
199603,-2.73,-3.22
199604,-3.05,-3.51
199605,-3.10,-3.58
199606,-4.09,-4.54
199607,-4.07,-4.59
199608,-4.75,-5.34
199609,-4.22,-4.81
199610,-3.86,-4.48
199611,-2.79,-3.37
199612,-2.35,-2.86
199701,-1.18,-1.67
199702,-0.81,-1.33
199703,-1.65,-2.14
199704,-0.77,-1.23
199705,-0.90,-1.38
199706,-0.69,-1.14
199707,-0.65,-1.17
199708,1.33,0.74
199709,3.66,3.07
199710,3.24,2.62
199711,2.73,2.15
199712,2.07,1.56
199801,1.65,1.16
199802,2.80,2.28
199803,2.70,2.21
199804,2.73,2.27
199805,2.51,2.03
199806,3.48,3.03
199807,4.59,4.07
199808,4.25,3.66
199809,4.76,4.17
199810,5.10,4.48
199811,4.38,3.80
199812,4.11,3.60
199901,3.30,2.81
199902,2.53,2.01
199903,1.25,0.76
199904,1.68,1.22
199905,1.53,1.05
199906,1.27,0.82
199907,1.17,0.65
199908,1.31,0.72
199909,0.98,0.39
199910,-1.20,-1.82
199911,-1.94,-2.52
199912,-2.29,-2.80
200001,-2.02,-2.51
200002,-1.36,-1.88
200003,-1.67,-2.16
200004,-2.10,-2.56
200005,-2.53,-3.01
200006,-2.69,-3.14
200007,-3.45,-3.97
200008,-2.82,-3.41
200009,-2.87,-3.46
200010,2.16,1.54
200011,2.08,1.50
200012,1.72,1.21
200101,1.62,1.13
200102,1.98,1.46
200103,1.77,1.28
200104,1.89,1.43
200105,1.44,0.96
200106,1.22,0.77
200107,0.87,0.35
200108,0.57,-0.02
200109,-1.41,-2.00
200110,-1.92,-2.54
200111,-1.64,-2.22
200112,-1.17,-1.68
200201,-1.59,-2.08
200202,-2.08,-2.60
200203,-2.36,-2.85
200204,-2.79,-3.25
200205,-3.67,-4.15
200206,-4.55,-5.00
200207,-4.74,-5.26
200208,-5.38,-5.97
200209,-4.63,-5.22
200210,-3.67,-4.29
200211,-3.56,-4.14
200212,-3.43,-3.94
200301,-4.00,-4.49
200302,-3.63,-4.15
200303,-3.65,-4.14
200304,-3.39,-3.85
200305,-3.50,-3.98
200306,-4.11,-4.56
200307,-4.84,-5.36
200308,-4.50,-5.09
200309,-4.60,-5.19
200310,-5.06,-5.68
200311,-4.44,-5.02
200312,-3.35,-3.86
200401,-3.22,-3.71
200402,-1.76,-2.28
200403,-2.66,-3.15
200404,-2.14,-2.60
200405,-2.14,-2.62
200406,-2.11,-2.56
200407,-2.05,-2.57
200408,-2.21,-2.80
200409,-2.38,-2.97
200410,2.57,1.95
200411,2.87,2.29
200412,3.39,2.88
200501,4.64,4.15
200502,5.18,4.66
200503,5.38,4.89
200504,5.89,5.43
200505,5.97,5.49
200506,7.09,6.64
200507,7.10,6.58
200508,7.01,6.42
200509,6.06,5.47
200510,6.00,5.38
200511,4.76,4.18
200512,3.91,3.40
200601,3.36,2.87
200602,2.42,1.90
200603,2.74,2.25
200604,2.21,1.75
200605,1.24,0.76
200606,-2.20,-2.65
200607,-1.69,-2.21
200608,-2.23,-2.82
200609,-1.93,-2.52
200610,1.71,1.09
200611,1.15,0.57
200612,1.00,0.49
200701,0.66,0.17
200702,-0.78,-1.30
200703,-1.57,-2.06
200704,-1.82,-2.28
200705,-2.56,-3.04
200706,-3.23,-3.68
200707,-3.80,-4.32
200708,-3.80,-4.39
200709,-3.17,-3.76
200710,-3.47,-4.09
200711,-3.86,-4.44
200712,-2.37,-2.88
200801,-1.72,-2.21
200802,-1.10,-1.62
200803,-1.37,-1.86
200804,-1.80,-2.26
200805,-1.53,-2.01
200806,-1.28,-1.73
200807,-1.05,-1.57
200808,-1.69,-2.28
200809,-2.05,-2.64
200810,-1.98,-2.60
200811,-1.96,-2.54
200812,-1.35,-1.86
200901,-1.23,-1.72
200902,-0.84,-1.36
200903,-1.13,-1.62
200904,-1.06,-1.52
200905,-1.63,-2.11
200906,-1.71,-2.16
200907,-2.14,-2.66
200908,-3.01,-3.60
200909,-3.33,-3.92
200910,-3.30,-3.92
200911,-3.37,-3.95
200912,-2.67,-3.18
201001,-1.98,-2.47
201002,-0.86,-1.38
201003,-0.74,-1.23
201004,1.86,1.40
201005,1.98,1.50
201006,2.49,2.04
201007,2.51,1.99
201008,2.11,1.52
201009,1.13,0.54
201010,2.27,1.65
201011,2.44,1.86
201012,4.24,3.73
201101,3.75,3.26
201102,3.81,3.29
201103,3.67,3.18
201104,4.10,3.64
201105,5.38,4.90
201106,5.64,5.19
201107,6.47,5.95
201108,6.05,5.46
201109,5.84,5.25
201110,5.69,5.07
201111,4.86,4.28
201112,3.95,3.44
201201,3.17,2.68
201202,2.94,2.42
201203,2.02,1.53
201204,1.35,0.89
201205,-2.65,-3.13
201206,-3.63,-4.08
201207,-3.30,-3.82
201208,-3.12,-3.71
201209,-2.69,-3.28
201210,-2.39,-3.01
201211,-2.58,-3.16
201212,-2.08,-2.59
201301,-1.74,-2.23
201302,-1.82,-2.34
201303,-2.05,-2.54
201304,-1.90,-2.36
201305,-2.06,-2.54
201306,-2.77,-3.22
201307,-2.41,-2.93
201308,-2.00,-2.59
201309,-1.01,-1.60
201310,-1.09,-1.71
201311,-1.30,-1.88
201312,-1.27,-1.78
201401,-1.64,-2.13
201402,-2.23,-2.75
201403,-2.74,-3.23
201404,-2.98,-3.44
201405,-3.26,-3.74
201406,-4.30,-4.75
201407,-4.51,-5.03
201408,-3.42,-4.01
201409,-1.53,-2.12
201410,-2.25,-2.87
201411,-2.36,-2.94
201412,-2.05,-2.56
201501,-2.10,-2.59
201502,-2.86,-3.38
201503,-3.74,-4.23
201504,-4.06,-4.52
201505,-2.41,-2.89
201506,-2.39,-2.84
201507,-2.63,-3.15
201508,-2.78,-3.37
201509,-3.15,-3.74
201510,-2.34,-2.96
201511,-1.86,-2.44
201512,-1.59,-2.10
201601,-0.91,-1.40
201602,-1.12,-1.64
201603,-1.52,-2.01
201604,-1.33,-1.79
201605,-1.30,-1.78
201606,-1.68,-2.13
201607,-2.21,-2.73
201608,-2.06,-2.65
201609,-2.05,-2.64
201610,-2.53,-3.15
201611,-2.45,-3.03
201612,-1.54,-2.05
201701,-0.74,-1.23
201702,-0.70,-1.22
201703,1.05,0.56
201704,0.90,0.44
201705,0.57,0.09
201706,-0.72,-1.17
201707,-0.88,-1.40
201708,-0.95,-1.54
201709,-0.29,-0.88
201710,-0.96,-1.58
201711,-1.69,-2.27
201712,-2.19,-2.70
201801,-2.23,-2.72
201802,-2.49,-3.01
201803,-2.80,-3.29
201804,-2.97,-3.43
201805,-3.38,-3.86
201806,-4.44,-4.89
201807,-4.48,-5.00
201808,-3.91,-4.50
201809,-4.43,-5.02
201810,-1.90,-2.52
201811,-1.61,-2.19
201812,-1.40,-1.91
201901,-1.04,-1.53
201902,2.50,1.98
201903,3.46,2.97
201904,3.69,3.23
201905,5.22,4.74
