Beaver County, Utah December Palmer Modified Drought Index (PMDI)
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
199001,-3.85,-4.19
199002,-3.00,-3.47
199003,-2.67,-3.06
199004,-1.78,-2.15
199005,-1.73,-2.18
199006,-1.68,-2.12
199007,-2.28,-2.76
199008,-2.58,-3.08
199009,-0.83,-1.28
199010,-0.92,-1.41
199011,-0.89,-1.32
199012,-0.25,-0.59
199101,-0.28,-0.62
199102,-1.53,-2.00
199103,-1.73,-2.12
199104,-1.75,-2.12
199105,1.18,0.73
199106,0.87,0.43
199107,-0.43,-0.91
199108,-0.40,-0.90
199109,-0.32,-0.77
199110,0.49,0.00
199111,0.70,0.27
199112,0.50,0.16
199201,-0.34,-0.68
199202,-0.52,-0.99
199203,1.36,0.97
199204,-0.97,-1.34
199205,-0.65,-1.10
199206,-0.74,-1.18
199207,-1.05,-1.53
199208,-1.39,-1.89
199209,-1.76,-2.21
199210,-0.05,-0.54
199211,-0.32,-0.75
199212,0.29,-0.05
199301,2.00,1.66
199302,3.51,3.04
199303,3.46,3.07
199304,2.46,2.09
199305,2.44,1.99
199306,3.14,2.70
199307,2.92,2.44
199308,1.95,1.45
199309,0.51,0.06
199310,1.92,1.43
199311,2.12,1.69
199312,1.48,1.14
199401,0.07,-0.27
199402,0.19,-0.28
199403,-1.21,-1.60
199404,-0.17,-0.54
199405,-0.96,-1.41
199406,-1.82,-2.26
199407,-2.82,-3.30
199408,-1.11,-1.61
199409,-0.81,-1.26
199410,1.61,1.12
199411,2.57,2.14
199412,2.20,1.86
199501,2.52,2.18
199502,1.02,0.55
199503,1.72,1.33
199504,2.14,1.77
199505,3.82,3.37
199506,5.43,4.99
199507,6.51,6.03
199508,6.11,5.61
199509,4.76,4.31
199510,2.62,2.13
199511,0.48,0.05
199512,-0.70,-1.04
199601,-1.17,-1.51
199602,-1.90,-2.37
199603,-2.73,-3.12
199604,-3.05,-3.42
199605,-3.10,-3.55
199606,-4.09,-4.53
199607,-4.07,-4.55
199608,-4.75,-5.25
199609,-4.12,-4.57
199610,-3.78,-4.27
199611,-1.88,-2.31
199612,-1.24,-1.58
199701,0.93,0.59
199702,1.43,0.96
199703,-0.39,-0.78
199704,1.05,0.68
199705,0.63,0.18
199706,0.83,0.39
199707,0.74,0.26
199708,1.33,0.83
199709,3.66,3.21
199710,3.12,2.63
199711,2.36,1.93
199712,1.19,0.85
199801,0.53,0.19
199802,2.80,2.33
199803,2.70,2.31
199804,2.73,2.36
199805,2.51,2.06
199806,3.48,3.04
199807,4.59,4.11
199808,4.25,3.75
199809,4.76,4.31
199810,5.10,4.61
199811,4.10,3.67
199812,3.99,3.65
199901,2.68,2.34
199902,1.39,0.92
199903,-0.98,-1.37
199904,0.11,-0.26
199905,0.04,-0.41
199906,-0.26,-0.70
199907,-0.26,-0.74
199908,0.15,-0.35
199909,-0.27,-0.72
199910,-1.20,-1.69
199911,-1.94,-2.37
199912,-2.29,-2.63
200001,-1.91,-2.25
200002,-0.58,-1.05
200003,-1.42,-1.81
200004,-2.10,-2.47
200005,-2.53,-2.98
200006,-2.69,-3.13
200007,-3.45,-3.93
200008,-2.43,-2.93
200009,-2.82,-3.27
200010,2.16,1.67
200011,2.08,1.65
200012,1.44,1.10
200101,1.38,1.04
200102,1.98,1.51
200103,1.68,1.29
200104,1.89,1.52
200105,1.00,0.55
200106,0.63,0.19
200107,-0.07,-0.55
200108,-0.62,-1.12
200109,-1.41,-1.86
200110,-1.92,-2.41
200111,-1.46,-1.89
200112,-0.49,-0.83
200201,-1.59,-1.93
200202,-2.08,-2.55
200203,-2.36,-2.75
200204,-2.79,-3.16
200205,-3.67,-4.12
200206,-4.55,-4.99
200207,-4.74,-5.22
200208,-5.38,-5.88
200209,-4.35,-4.80
200210,-2.80,-3.29
200211,-2.95,-3.38
200212,-3.04,-3.38
200301,-4.00,-4.34
200302,-3.62,-4.09
200303,-3.65,-4.04
200304,-3.39,-3.76
200305,-3.50,-3.95
200306,-4.11,-4.55
200307,-4.84,-5.32
200308,-4.50,-5.00
200309,-4.60,-5.05
200310,-5.06,-5.55
200311,-4.27,-4.70
200312,-2.41,-2.75
200401,-2.48,-2.82
200402,0.23,-0.24
200403,-1.83,-2.22
200404,-1.05,-1.42
200405,-1.25,-1.70
200406,-1.39,-1.83
200407,-1.40,-1.88
200408,-1.80,-2.30
200409,-2.35,-2.80
200410,2.57,2.08
200411,2.87,2.44
200412,3.39,3.05
200501,4.64,4.30
200502,5.18,4.71
200503,5.38,4.99
200504,5.89,5.52
200505,5.97,5.52
200506,7.09,6.65
200507,7.10,6.62
200508,7.01,6.51
200509,5.77,5.32
200510,6.00,5.51
200511,4.02,3.59
200512,2.73,2.39
200601,2.01,1.67
200602,0.46,-0.01
200603,1.39,1.00
200604,0.62,0.25
200605,-0.95,-1.40
200606,-2.20,-2.64
200607,-1.24,-1.72
200608,-2.23,-2.73
200609,-1.77,-2.22
200610,1.71,1.22
200611,0.50,0.07
200612,0.27,-0.07
200701,-0.41,-0.75
200702,-0.78,-1.25
200703,-1.57,-1.96
200704,-1.82,-2.19
200705,-2.56,-3.01
200706,-3.23,-3.67
200707,-3.80,-4.28
200708,-3.80,-4.30
200709,-2.83,-3.28
200710,-3.47,-3.96
200711,-3.86,-4.29
200712,-1.04,-1.38
200801,0.08,-0.26
200802,1.12,0.65
200803,0.33,-0.06
200804,-0.68,-1.05
200805,-0.35,-0.80
200806,-0.06,-0.50
200807,0.19,-0.29
200808,-0.91,-1.41
200809,-1.55,-2.00
200810,-1.56,-2.05
200811,-1.65,-2.08
200812,-0.51,-0.85
200901,-0.41,-0.75
200902,0.28,-0.19
200903,-0.42,-0.81
200904,-0.39,-0.76
200905,-1.49,-1.94
200906,-1.71,-2.15
200907,-2.14,-2.62
200908,-3.01,-3.51
200909,-3.33,-3.78
200910,-3.30,-3.79
200911,-3.37,-3.80
200912,-2.19,-2.53
201001,-0.96,-1.30
201002,1.22,0.75
201003,1.23,0.84
201004,1.86,1.49
201005,1.98,1.53
201006,2.49,2.05
201007,2.51,2.03
201008,1.86,1.36
201009,-0.15,-0.60
201010,2.27,1.78
201011,2.44,2.01
201012,4.24,3.90
201101,3.64,3.30
201102,3.81,3.34
201103,3.67,3.28
201104,4.10,3.73
201105,5.38,4.93
201106,5.64,5.20
201107,6.47,5.99
201108,6.05,5.55
201109,5.84,5.39
201110,5.69,5.20
201111,4.54,4.11
201112,3.12,2.78
201201,1.90,1.56
201202,1.75,1.28
201203,0.20,-0.19
201204,-0.86,-1.23
201205,-2.65,-3.10
201206,-3.63,-4.07
201207,-3.30,-3.78
201208,-3.12,-3.62
201209,-2.49,-2.94
201210,-2.10,-2.59
201211,-2.58,-3.01
201212,-1.73,-2.07
201301,-1.16,-1.50
201302,-1.51,-1.98
201303,-2.05,-2.44
201304,-1.90,-2.27
201305,-2.06,-2.51
201306,-2.77,-3.21
201307,-2.24,-2.72
201308,-1.57,-2.07
201309,0.44,-0.01
201310,0.09,-0.40
201311,-0.49,-0.92
201312,-0.54,-0.88
201401,-1.32,-1.66
201402,-2.23,-2.70
201403,-2.74,-3.13
201404,-2.98,-3.35
201405,-3.26,-3.71
201406,-4.30,-4.74
201407,-4.51,-4.99
201408,-2.64,-3.14
201409,1.01,0.56
201410,-0.76,-1.25
201411,-1.23,-1.66
201412,-0.86,-1.20
201501,-1.16,-1.50
201502,-2.72,-3.19
201503,-3.74,-4.13
201504,-4.06,-4.43
201505,-0.93,-1.38
201506,-1.17,-1.61
201507,-1.92,-2.40
201508,-2.45,-2.95
201509,-3.15,-3.60
201510,-1.70,-2.19
201511,-0.89,-1.32
201512,-0.50,-0.84
201601,0.74,0.40
201602,0.15,-0.32
201603,-0.78,-1.17
201604,-0.55,-0.92
201605,-0.62,-1.07
201606,-1.27,-1.71
201607,-2.21,-2.69
201608,-2.06,-2.56
201609,-2.05,-2.50
201610,-2.53,-3.02
201611,-2.45,-2.88
201612,-0.61,-0.95
201701,0.98,0.64
201702,0.90,0.43
201703,1.05,0.66
201704,0.70,0.33
201705,-0.23,-0.68
201706,-0.72,-1.16
201707,-0.88,-1.36
201708,-0.95,-1.45
201709,0.57,0.12
