Beaver County, Utah December Palmer Z-Index
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
199001,-0.43,-0.62
199002,0.55,0.26
199003,-0.09,-0.20
199004,0.75,0.69
199005,-0.34,-0.58
199006,-0.33,-0.46
199007,-1.26,-1.51
199008,-1.42,-1.65
199009,1.88,1.70
199010,-0.40,-0.62
199011,-0.24,-0.25
199012,0.62,0.67
199101,-0.22,-0.41
199102,-2.09,-2.38
199103,-0.58,-0.69
199104,-0.58,-0.64
199105,3.53,3.29
199106,-0.10,-0.23
199107,-1.22,-1.47
199108,-0.03,-0.26
199109,0.13,-0.05
199110,1.37,1.15
199111,0.78,0.77
199112,-0.38,-0.33
199201,-0.68,-0.87
199202,-0.65,-0.94
199203,4.08,3.97
199204,-2.90,-2.96
199205,0.64,0.40
199206,-0.45,-0.58
199207,-1.18,-1.43
199208,-1.34,-1.57
199209,-1.54,-1.72
199210,1.77,1.55
199211,-0.49,-0.50
199212,0.62,0.67
199301,4.56,4.37
199302,5.15,4.86
199303,0.93,0.82
199304,-0.80,-0.86
199305,0.46,0.22
199306,2.15,2.02
199307,0.32,0.07
199308,-0.81,-1.04
199309,-1.55,-1.73
199310,2.20,1.98
199311,0.67,0.66
199312,-0.45,-0.40
199401,-1.52,-1.71
199402,0.31,0.02
199403,-2.37,-2.48
199404,0.87,0.81
199405,-1.02,-1.26
199406,-2.63,-2.76
199407,-3.55,-3.80
199408,1.80,1.57
199409,0.10,-0.08
199410,3.29,3.07
199411,3.38,3.37
199412,-0.06,-0.01
199501,1.41,1.22
199502,-1.55,-1.84
199503,1.23,1.12
199504,1.11,1.05
199505,5.71,5.47
199506,5.99,5.86
199507,4.94,4.69
199508,0.81,0.58
199509,-0.95,-1.13
199510,-2.23,-2.45
199511,-2.50,-2.51
199512,-1.45,-1.40
199601,-0.63,-0.82
199602,-1.19,-1.48
199603,-2.17,-2.28
199604,-1.80,-1.86
199605,-1.09,-1.33
199606,-3.93,-4.06
199607,-1.22,-1.47
199608,-3.30,-3.53
199609,0.13,-0.05
199610,-0.21,-0.43
199611,2.01,2.00
199612,0.46,0.51
199701,2.78,2.59
199702,0.75,0.46
199703,-2.76,-2.87
199704,2.12,2.06
199705,-0.63,-0.87
199706,0.36,0.23
199707,-0.09,-0.34
199708,1.82,1.59
199709,7.42,7.24
199710,-0.15,-0.37
199711,-0.50,-0.51
199712,-1.16,-1.11
199801,-0.60,-0.79
199802,3.95,3.66
199803,0.57,0.46
199804,0.93,0.87
199805,0.19,-0.05
199806,3.68,3.55
199807,4.39,4.14
199808,0.41,0.18
199809,2.83,2.65
199810,2.51,2.29
199811,-0.60,-0.61
199812,0.56,0.61
199901,-1.17,-1.36
199902,-1.30,-1.59
199903,-3.06,-3.17
199904,1.67,1.61
199905,0.07,-0.17
199906,-0.31,-0.44
199907,0.11,-0.14
199908,0.78,0.55
199909,-0.58,-0.76
199910,-2.07,-2.29
199911,-2.60,-2.61
199912,-1.65,-1.60
200001,0.11,-0.08
200002,1.36,1.07
200003,-1.34,-1.45
200004,-1.83,-1.89
200005,-1.93,-2.17
200006,-1.26,-1.39
200007,-3.12,-3.37
200008,0.84,0.61
200009,-1.02,-1.20
200010,6.47,6.25
200011,0.44,0.43
200012,-0.46,-0.41
200101,0.23,0.04
200102,1.59,1.30
200103,-0.03,-0.14
200104,0.93,0.87
200105,-0.78,-1.02
200106,-0.20,-0.33
200107,-0.68,-0.93
200108,-0.62,-0.85
200109,-2.46,-2.64
200110,-1.98,-2.20
200111,0.23,0.22
200112,0.92,0.97
200201,-1.64,-1.83
200202,-1.94,-2.23
200203,-1.49,-1.60
