Beaver County, Utah January-December Precipitation
Units: Inches
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
199001,7.58,-4.96
199002,8.35,-4.21
199003,9.24,-3.33
199004,10.78,-1.76
199005,10.75,-1.80
199006,11.35,-1.20
199007,11.62,-0.94
199008,11.23,-1.34
199009,12.80,0.24
199010,12.94,0.34
199011,13.55,0.96
199012,14.77,2.17
199101,14.55,2.01
199102,13.42,0.86
199103,12.70,0.13
199104,11.54,-1.00
199105,13.43,0.88
199106,12.85,0.30
199107,12.58,0.02
199108,13.14,0.57
199109,12.25,-0.31
199110,13.03,0.43
199111,13.39,0.80
199112,12.87,0.27
199201,12.67,0.13
199202,13.30,0.74
199203,15.97,3.40
199204,15.36,2.82
199205,14.12,1.57
199206,14.15,1.60
199207,14.15,1.59
199208,13.58,1.01
199209,12.94,0.38
199210,13.22,0.62
199211,12.44,-0.15
199212,12.96,0.36
199301,15.23,2.69
199302,16.96,4.40
199303,14.45,1.88
199304,14.83,2.29
199305,14.19,1.64
199306,14.99,2.44
199307,14.95,2.39
199308,14.89,2.32
199309,14.74,2.18
199310,14.68,2.08
199311,15.21,2.62
199312,14.59,1.99
199401,11.94,-0.60
199402,10.33,-2.23
199403,9.58,-2.99
199404,10.95,-1.59
199405,10.85,-1.70
199406,9.83,-2.72
199407,9.54,-3.02
199408,11.17,-1.40
199409,12.07,-0.49
199410,12.55,-0.05
199411,13.68,1.09
199412,13.62,1.02
199501,14.59,2.05
199502,13.87,1.31
199503,15.16,2.59
199504,14.68,2.14
199505,17.15,4.60
199506,19.18,6.63
199507,19.59,7.03
199508,18.14,5.57
199509,17.44,4.88
199510,15.06,2.46
199511,13.18,0.59
199512,13.03,0.43
199601,12.69,0.15
199602,13.27,0.71
199603,12.24,-0.33
199604,11.40,-1.14
199605,9.68,-2.87
199606,7.54,-5.01
199607,8.32,-4.24
199608,7.66,-4.91
199609,8.25,-4.31
199610,9.04,-3.56
199611,10.77,-1.82
199612,11.40,-1.20
199701,12.52,-0.02
199702,12.38,-0.18
199703,11.55,-1.02
199704,13.08,0.54
199705,12.20,-0.35
199706,12.88,0.33
199707,12.37,-0.19
199708,14.12,1.55
199709,17.14,4.58
199710,16.90,4.30
199711,15.80,3.21
199712,15.20,2.60
199801,14.16,1.62
199802,16.14,3.58
199803,17.52,4.95
199804,16.66,4.12
199805,16.71,4.16
199806,17.84,5.29
199807,18.84,6.28
199808,17.82,5.25
199809,15.80,3.24
199810,17.17,4.57
199811,17.01,4.42
199812,17.67,5.07
199901,17.15,4.61
199902,14.90,2.34
199903,13.77,1.20
199904,14.29,1.75
199905,14.63,2.08
199906,13.70,1.15
199907,13.11,0.55
199908,13.73,1.16
199909,12.38,-0.18
199910,10.68,-1.92
199911,10.18,-2.41
199912,9.39,-3.21
200001,10.26,-2.28
200002,11.81,-0.75
200003,12.39,-0.18
200004,11.47,-1.07
200005,11.38,-1.17
200006,11.37,-1.18
200007,10.30,-2.26
200008,10.60,-1.97
200009,10.55,-2.01
200010,14.20,1.60
200011,14.64,2.05
200012,14.77,2.17
200101,14.21,1.67
200102,13.45,0.89
200103,13.86,1.29
200104,14.55,2.01
200105,14.12,1.57
200106,13.61,1.06
200107,14.24,1.68
200108,13.53,0.96
200109,12.99,0.43
200110,9.45,-3.15
200111,10.05,-2.54
200112,10.96,-1.64
200201,10.38,-2.16
200202,9.21,-3.35
200203,8.78,-3.79
200204,8.04,-4.50
200205,7.68,-4.87
200206,7.36,-5.19
200207,7.68,-4.88
200208,6.69,-5.88
200209,7.90,-4.66
200210,9.11,-3.49
200211,8.47,-4.12
200212,7.80,-4.80
200301,7.95,-4.59
200302,9.01,-3.55
200303,9.53,-3.04
200304,9.82,-2.72
200305,10.57,-1.98
200306,10.70,-1.85
200307,9.91,-2.65
200308,11.12,-1.45
200309,10.20,-2.36
200310,8.74,-3.86
200311,9.13,-3.46
200312,10.23,-2.37
200401,10.43,-2.11
200402,11.49,-1.07
200403,10.19,-2.38
200404,10.96,-1.58
200405,10.87,-1.68
200406,11.18,-1.37
200407,11.84,-0.72
200408,11.27,-1.30
200409,11.33,-1.23
200410,15.64,3.04
200411,15.99,3.40
200412,15.72,3.12
200501,17.65,5.11
200502,16.83,4.27
200503,18.52,5.95
200504,19.05,6.51
200505,19.76,7.21
200506,21.24,8.69
200507,20.54,7.98
200508,21.57,9.00
200509,21.71,9.15
200510,19.09,6.49
200511,18.07,5.48
200512,17.09,4.49
200601,15.55,3.01
200602,14.44,1.88
200603,15.12,2.55
200604,13.70,1.16
