Box Elder County, Utah January-December Average Temperature
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
199001,48.1,1.1
199002,48.6,1.6
199003,48.6,1.6
199004,48.7,1.7
199005,48.5,1.5
199006,48.6,1.6
199007,48.4,1.4
199008,48.5,1.5
199009,49.0,2.0
199010,49.0,1.9
199011,49.0,2.0
199012,48.0,1.0
199101,47.4,0.4
199102,47.9,0.9
199103,47.6,0.6
199104,46.9,-0.1
199105,46.8,-0.2
199106,46.6,-0.4
199107,46.7,-0.3
199108,46.9,-0.1
199109,46.3,-0.7
199110,46.5,-0.6
199111,46.3,-0.7
199112,46.9,-0.1
199201,47.1,0.1
199202,47.3,0.3
199203,47.8,0.8
199204,48.6,1.6
199205,49.4,2.4
199206,49.7,2.7
199207,49.4,2.4
199208,49.3,2.3
199209,49.3,2.3
199210,49.5,2.4
199211,49.2,2.2
199212,49.0,2.0
199301,48.7,1.7
199302,47.6,0.6
199303,47.2,0.2
199304,46.5,-0.5
199305,46.3,-0.7
199306,45.7,-1.3
199307,45.2,-1.8
199308,44.7,-2.3
199309,44.7,-2.3
199310,44.3,-2.8
199311,44.2,-2.8
199312,44.6,-2.4
199401,45.7,-1.3
199402,46.1,-0.9
199403,46.3,-0.7
199404,46.7,-0.3
199405,46.7,-0.3
199406,47.4,0.4
199407,48.3,1.3
199408,48.9,1.9
199409,49.2,2.2
199410,49.2,2.1
199411,49.0,2.0
199412,49.2,2.2
199501,49.0,2.0
199502,49.8,2.8
199503,49.6,2.6
199504,49.3,2.3
199505,48.7,1.7
199506,48.0,1.0
199507,47.6,0.6
199508,47.3,0.3
199509,47.1,0.1
199510,47.1,0.0
199511,48.2,1.2
199512,48.3,1.3
199601,48.3,1.3
199602,47.5,0.5
199603,47.6,0.6
199604,47.7,0.7
199605,47.9,0.9
199606,48.4,1.4
199607,48.8,1.8
199608,48.9,1.9
199609,48.6,1.6
199610,48.7,1.6
199611,48.4,1.4
199612,48.2,1.2
199701,48.1,1.1
199702,48.1,1.1
199703,48.1,1.1
199704,47.9,0.9
199705,48.2,1.2
199706,48.1,1.1
199707,47.7,0.7
199708,47.7,0.7
199709,48.0,1.0
199710,47.9,0.8
199711,47.8,0.8
199712,47.5,0.5
199801,47.9,0.9
199802,48.2,1.2
199803,48.0,1.0
199804,48.1,1.1
199805,47.6,0.6
199806,47.1,0.1
199807,47.6,0.6
199808,47.7,0.7
199809,47.8,0.8
199810,47.8,0.7
199811,47.9,0.9
199812,48.0,1.0
199901,47.9,0.9
199902,47.8,0.8
199903,48.0,1.0
199904,47.8,0.8
199905,47.7,0.7
199906,48.1,1.1
199907,47.9,0.9
199908,47.8,0.8
199909,47.4,0.4
199910,47.7,0.6
199911,48.1,1.1
199912,48.4,1.4
200001,48.4,1.4
200002,48.7,1.7
200003,48.6,1.6
200004,49.3,2.3
200005,49.7,2.7
200006,50.0,3.0
200007,50.2,3.2
200008,50.5,3.5
200009,50.6,3.6
200010,50.4,3.3
200011,49.3,2.3
200012,49.3,2.3
200101,48.7,1.7
200102,48.2,1.2
200103,48.5,1.5
200104,48.1,1.1
200105,48.3,1.3
200106,48.2,1.2
200107,48.2,1.2
200108,48.3,1.3
200109,48.7,1.7
200110,48.9,1.8
200111,49.7,2.7
200112,49.2,2.2
200201,49.2,2.2
200202,48.7,1.7
200203,48.1,1.1
200204,48.2,1.2
200205,47.8,0.8
200206,47.9,0.9
200207,48.1,1.1
200208,47.7,0.7
200209,47.4,0.4
200210,47.0,-0.1
200211,46.7,-0.3
200212,47.4,0.4
200301,48.3,1.3
200302,48.9,1.9
200303,49.5,2.5
200304,49.3,2.3
200305,49.4,2.4
200306,49.3,2.3
200307,49.5,2.5
200308,49.8,2.8
200309,49.9,2.9
200310,50.5,3.4
200311,50.3,3.3
200312,50.3,3.3
200401,49.0,2.0
200402,48.6,1.6
200403,48.9,1.9
200404,49.2,2.2
200405,49.1,2.1
200406,49.1,2.1
200407,48.6,1.6
200408,48.2,1.2
200409,48.0,1.0
200410,47.6,0.5
200411,48.0,1.0
200412,47.9,0.9
200501,48.6,1.6
200502,48.9,1.9
200503,48.5,1.5
200504,48.2,1.2
200505,48.2,1.2
200506,47.7,0.7
200507,47.9,0.9
200508,48.0,1.0
200509,48.0,1.0
200510,48.0,0.9
200511,48.1,1.1
200512,47.9,0.9
200601,47.9,0.9
200602,47.7,0.7
200603,47.4,0.4
200604,47.6,0.6
200605,47.8,0.8
200606,48.4,1.4
200607,48.6,1.6
200608,48.5,1.5
200609,48.5,1.5
200610,48.3,1.2
200611,48.2,1.2
200612,48.3,1.3
200701,47.7,0.7
200702,48.2,1.2
200703,48.8,1.8
200704,48.9,1.9
200705,48.9,1.9
200706,48.9,1.9
200707,49.0,2.0
200708,49.3,2.3
200709,49.5,2.5
