Box Elder County, Utah January-December Cooling Degree Days
Units: Fahrenheit Degree-Days
Base Period: 1901-2000
Missing: -9999
Date,Value,Anomaly
199001,594,55
199002,594,55
199003,594,55
199004,594,55
199005,586,47
199006,603,64
199007,534,-6
199008,559,17
199009,644,102
199010,644,102
199011,644,102
199012,644,102
199101,644,105
199102,644,105
199103,644,105
199104,644,105
199105,644,105
199106,614,75
199107,624,84
199108,691,149
199109,605,63
199110,605,63
199111,605,63
199112,605,63
199201,605,66
199202,605,66
199203,605,66
199204,605,66
199205,646,107
199206,688,149
199207,592,52
199208,581,39
199209,575,33
199210,575,33
199211,575,33
199212,575,33
199301,575,36
199302,575,36
199303,575,36
199304,575,36
199305,554,15
199306,480,-59
199307,362,-178
199308,227,-315
199309,223,-319
199310,223,-319
199311,223,-319
199312,223,-319
199401,223,-316
199402,223,-316
199403,223,-316
199404,223,-316
199405,227,-312
199406,327,-212
199407,565,25
199408,732,190
199409,781,239
199410,781,239
199411,781,239
199412,781,239
199501,781,242
199502,781,242
199503,781,242
199504,781,242
199505,757,218
199506,659,120
199507,523,-17
199508,440,-102
199509,408,-134
199510,408,-134
199511,408,-134
199512,408,-134
199601,408,-131
199602,408,-131
199603,408,-131
199604,408,-131
199605,414,-125
199606,499,-40
199607,616,76
199608,635,93
199609,608,66
199610,608,66
199611,608,66
199612,608,66
199701,608,69
199702,608,69
199703,608,69
199704,608,69
199705,622,83
199706,592,53
199707,467,-73
199708,474,-68
199709,503,-39
199710,503,-39
199711,503,-39
199712,503,-39
199801,503,-36
199802,503,-36
199803,503,-36
199804,503,-36
199805,488,-51
199806,427,-112
199807,573,33
199808,598,56
199809,620,78
199810,620,78
199811,620,78
199812,620,78
199901,620,81
199902,620,81
199903,620,81
199904,620,81
199905,615,76
199906,656,117
199907,576,36
199908,545,3
199909,501,-41
199910,501,-41
199911,501,-41
199912,501,-41
200001,501,-38
200002,501,-38
200003,501,-38
200004,501,-38
200005,518,-21
200006,571,32
200007,657,117
200008,741,199
200009,748,206
200010,748,206
200011,748,206
200012,748,206
200101,748,209
200102,748,209
200103,748,209
200104,748,209
200105,761,222
200106,750,211
200107,747,207
200108,768,226
200109,826,284
200110,826,284
200111,826,284
200112,826,284
200201,826,287
200202,826,287
200203,826,287
200204,826,287
200205,805,266
200206,822,283
200207,891,351
200208,758,216
200209,708,166
200210,708,166
200211,708,166
200212,708,166
200301,708,169
200302,708,169
200303,708,169
200304,708,169
200305,713,174
200306,699,160
200307,750,210
200308,871,329
200309,875,333
200310,880,338
200311,880,338
200312,880,338
200401,880,341
200402,880,341
200403,880,341
200404,880,341
200405,877,338
200406,869,330
200407,704,164
200408,564,22
200409,547,5
200410,542,0
200411,542,0
200412,542,0
200501,542,3
200502,542,3
200503,542,3
200504,542,3
200505,541,2
200506,475,-64
200507,528,-12
200508,569,27
200509,566,24
200510,566,24
200511,566,24
200512,566,24
200601,566,27
200602,566,27
200603,566,27
200604,566,27
200605,576,37
200606,674,135
200607,740,200
200608,723,181
200609,721,179
200610,721,179
200611,721,179
200612,721,179
200701,721,182
200702,721,182
200703,721,182
200704,721,182
200705,724,185
200706,727,188
200707,765,225
200708,864,322
200709,880,338
200710,880,338
200711,880,338
200712,880,338
200801,880,341
200802,880,341
200803,880,341
200804,880,341
200805,863,324
200806,810,271
200807,714,174
200808,673,131
200809,679,137
200810,679,137
200811,679,137
200812,679,137
200901,679,140
200902,679,140
200903,679,140
200904,679,140
200905,690,151
200906,654,115
200907,581,41
200908,507,-35
200909,562,20
200910,562,20
200911,562,20
200912,562,20
201001,562,23
201002,562,23
201003,562,23
201004,562,23
201005,545,6
201006,556,17
201007,558,18
201008,562,20
201009,518,-24
201010,518,-24
201011,518,-24
201012,518,-24
201101,518,-21
201102,518,-21
201103,518,-21
201104,518,-21
201105,518,-21
201106,502,-37
201107,488,-52
201108,566,24
201109,590,48
201110,590,48
201111,590,48
201112,590,48
201201,590,51
201202,590,51
201203,590,51
201204,590,51
201205,601,62
201206,666,127
201207,745,205
201208,796,254
201209,789,247
201210,789,247
201211,789,247
201212,789,247
201301,789,250
201302,789,250
201303,789,250
201304,789,250
201305,791,252
201306,823,284
201307,869,329
201308,861,319
201309,826,284
201310,826,284
201311,826,284
201312,826,284
201401,826,287
201402,826,287
201403,826,287
201404,826,287
201405,832,293
201406,778,239
201407,762,222
201408,603,61
201409,637,95
201410,637,95
201411,637,95
201412,637,95
201501,637,98
201502,637,98
201503,637,98
201504,637,98
201505,628,89
201506,762,223
201507,612,72
201508,708,166
201509,723,181
201510,730,188
201511,730,188
201512,730,188
201601,730,191
201602,730,191
201603,730,191
201604,730,191
201605,730,191
201606,675,136
201607,768,228
201608,770,228
201609,720,178
201610,713,171
201611,713,171
201612,713,171
201701,713,174
201702,713,174
201703,713,174
201704,713,174
201705,714,175
201706,686,147
201707,773,233
201708,811,269
201709,806,264
201710,806,264
201711,806,264
201712,806,264
201801,806,267
201802,806,267
201803,806,267
201804,806,267
201805,819,280
201806,807,268
201807,827,287
201808,814,272
201809,871,329
201810,871,329
201811,871,329
201812,871,329
201901,871,332
201902,871,332
201903,871,332
201904,871,332
201905,847,308
201906,795,256
201907,681,141
201908,674,132
201909,619,77
201910,619,77
201911,619,77
201912,619,77
202001,619,80
202002,619,80
202003,619,80
202004,619,80
202005,637,98
202006,636,97
202007,620,80
202008,725,183
202009,768,226
202010,768,226
202011,768,226
202012,768,226
202101,768,229
202102,768,229
202103,768,229
202104,768,229
202105,763,224
202106,949,410
202107,1114,574
202108,961,419
202109,957,415
202110,957,415
202111,957,415
202112,957,415
202201,957,418
202202,957,418
202203,957,418
202204,957,418
202205,949,410
202206,798,259
202207,737,197
202208,818,276
202209,858,316
202210,858,316
202211,858,316
202212,858,316
202301,858,319
202302,858,319
202303,858,319
202304,858,319
202305,876,337
202306,824,285
202307,806,266
202308,723,181
202309,655,113
202310,655,113
202311,655,113
202312,655,113
202401,655,116
202402,655,116
202403,655,116
