Box Elder County, Utah January-December Heating Degree Days
Units: Fahrenheit Degree-Days
Base Period: 1901-2000
Missing: -9999
Date,Value,Anomaly
199001,6710,-351
199002,6556,-503
199003,6523,-537
199004,6501,-558
199005,6558,-501
199006,6538,-521
199007,6544,-515
199008,6538,-521
199009,6439,-619
199010,6451,-606
199011,6461,-599
199012,6833,-227
199101,7042,-19
199102,6872,-187
199103,6991,-69
199104,7224,165
199105,7260,201
199106,7297,238
199107,7291,232
199108,7282,223
199109,7382,324
199110,7334,277
199111,7411,351
199112,7169,109
199201,7096,35
199202,7048,-11
199203,6839,-221
199204,6572,-487
199205,6312,-747
199206,6263,-796
199207,6280,-779
199208,6281,-778
199209,6295,-763
199210,6218,-839
199211,6311,-749
199212,6393,-667
199301,6528,-533
199302,6881,-178
199303,7037,-23
199304,7280,221
199305,7348,289
199306,7469,410
199307,7547,488
199308,7589,530
199309,7600,542
199310,7725,668
199311,7758,698
199312,7618,558
199401,7232,171
199402,7087,28
199403,6998,-62
199404,6864,-195
199405,6846,-213
199406,6702,-357
199407,6607,-452
199408,6558,-501
199409,6477,-581
199410,6508,-549
199411,6556,-504
199412,6477,-583
199501,6561,-500
199502,6303,-756
199503,6380,-680
199504,6494,-565
199505,6700,-359
199506,6835,-224
199507,6856,-203
199508,6870,-189
199509,6912,-146
199510,6930,-127
199511,6541,-519
199512,6475,-585
199601,6510,-551
199602,6753,-306
199603,6737,-323
199604,6692,-367
199605,6631,-428
199606,6508,-551
199607,6487,-572
199608,6484,-575
199609,6563,-495
199610,6505,-552
199611,6613,-447
199612,6683,-377
199701,6738,-323
199702,6736,-323
199703,6732,-328
199704,6816,-243
199705,6690,-369
199706,6719,-340
199707,6743,-316
199708,6742,-317
199709,6659,-399
199710,6692,-365
199711,6723,-337
199712,6848,-212
199801,6698,-363
199802,6611,-448
199803,6686,-374
199804,6651,-408
199805,6802,-257
199806,6918,-141
199807,6894,-165
199808,6891,-168
199809,6862,-196
199810,6855,-202
199811,6825,-235
199812,6808,-252
199901,6845,-216
199902,6875,-184
199903,6806,-254
199904,6863,-196
199905,6884,-175
199906,6791,-268
199907,6801,-258
199908,6805,-254
199909,6888,-170
199910,6777,-280
199911,6651,-409
199912,6540,-520
200001,6522,-539
200002,6421,-638
200003,6465,-595
200004,6230,-829
200005,6077,-982
200006,6022,-1037
200007,6012,-1047
200008,6001,-1058
200009,5980,-1078
200010,6054,-1003
200011,6434,-626
200012,6443,-617
200101,6677,-384
200102,6821,-238
200103,6733,-327
200104,6858,-201
200105,6800,-259
200106,6810,-249
200107,6810,-249
200108,6810,-249
200109,6724,-334
200110,6657,-400
200111,6356,-704
200112,6550,-510
200201,6531,-530
200202,6725,-334
200203,6941,-119
200204,6893,-166
200205,7018,-41
200206,7002,-57
200207,7002,-57
200208,7018,-41
200209,7084,26
200210,7223,166
200211,7339,279
200212,7094,34
200301,6747,-314
200302,6537,-522
200303,6338,-722
200304,6398,-661
200305,6353,-706
200306,6366,-693
200307,6366,-693
200308,6350,-709
200309,6343,-715
200310,6109,-948
200311,6195,-865
200312,6195,-865
200401,6665,-396
200402,6795,-264
200403,6693,-367
200404,6593,-466
200405,6620,-439
200406,6627,-432
200407,6633,-426
200408,6653,-406
200409,6693,-365
200410,6830,-227
200411,6717,-343
200412,6752,-308
200501,6485,-576
200502,6386,-673
200503,6533,-527
200504,6634,-425
200505,6640,-419
200506,6735,-324
200507,6729,-330
200508,6720,-339
200509,6733,-325
200510,6721,-336
200511,6684,-376
200512,6755,-305
200601,6749,-312
200602,6809,-250
200603,6930,-130
200604,6865,-194
200605,6795,-264
200606,6672,-387
200607,6672,-387
200608,6675,-384
200609,6684,-374
200610,6780,-277
200611,6800,-260
200612,6779,-281
200701,6998,-63
200702,6814,-245
200703,6586,-474
200704,6579,-480
200705,6564,-495
200706,6562,-497
200707,6562,-497
200708,6548,-511
200709,6499,-559
200710,6488,-569
200711,6437,-623
200712,6540,-520
200801,6579,-482
200802,6720,-339
200803,6943,-117
200804,7145,86
200805,7289,230
200806,7339,280
200807,7339,280
200808,7346,287
200809,7333,275
200810,7256,199
200811,7183,123
200812,7140,80
200901,6879,-182
200902,6823,-236
200903,6777,-283
200904,6652,-407
200905,6539,-520
200906,6586,-473
200907,6593,-466
200908,6604,-455
200909,6537,-521
200910,6698,-359
200911,6824,-236
200912,6998,-62
201001,7066,5
201002,7078,19
201003,7044,-16
201004,7085,26
201005,7342,283
201006,7324,265
201007,7324,265
201008,7323,264
