Box Elder County, Utah January-December Maximum Temperature
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
199001,60.8,1.4
199002,61.4,1.9
199003,61.7,2.3
199004,61.7,2.2
199005,61.6,2.1
199006,61.7,2.3
199007,61.5,2.0
199008,61.6,2.1
199009,62.0,2.5
199010,62.1,2.6
199011,62.0,2.5
199012,61.0,1.5
199101,60.5,1.1
199102,61.0,1.5
199103,60.7,1.3
199104,59.9,0.4
199105,59.6,0.1
199106,59.3,-0.1
199107,59.3,-0.2
199108,59.5,0.0
199109,59.0,-0.5
199110,59.1,-0.4
199111,58.6,-0.9
199112,59.2,-0.3
199201,59.4,0.0
199202,59.4,-0.1
199203,60.0,0.6
199204,61.0,1.5
199205,62.2,2.7
199206,62.5,3.1
199207,62.1,2.6
199208,62.1,2.6
199209,62.2,2.7
199210,62.3,2.8
199211,62.2,2.7
199212,61.9,2.4
199301,61.5,2.1
199302,60.5,1.0
199303,59.9,0.5
199304,59.0,-0.5
199305,58.5,-1.0
199306,57.9,-1.5
199307,57.3,-2.2
199308,56.8,-2.7
199309,56.7,-2.8
199310,56.3,-3.2
199311,56.5,-3.0
199312,56.9,-2.6
199401,57.9,-1.5
199402,58.5,-1.0
199403,59.0,-0.4
199404,59.5,0.0
199405,59.6,0.1
199406,60.5,1.1
199407,61.5,2.0
199408,62.1,2.6
199409,62.5,3.0
199410,62.4,2.9
199411,61.9,2.4
199412,62.0,2.5
199501,61.6,2.2
199502,62.4,2.9
199503,61.9,2.5
199504,61.6,2.1
199505,60.7,1.2
199506,59.8,0.4
199507,59.3,-0.2
199508,59.2,-0.3
199509,58.9,-0.6
199510,59.2,-0.3
199511,60.5,1.0
199512,60.7,1.2
199601,60.7,1.3
199602,60.0,0.5
199603,60.1,0.7
199604,60.3,0.8
199605,60.6,1.1
199606,61.4,2.0
199607,61.8,2.3
199608,61.8,2.3
199609,61.4,1.9
199610,61.5,2.0
199611,61.1,1.6
199612,60.8,1.3
199701,60.6,1.2
199702,60.5,1.0
199703,60.6,1.2
199704,60.3,0.8
199705,60.9,1.4
199706,60.5,1.1
199707,60.1,0.6
199708,60.0,0.5
199709,60.1,0.6
199710,60.0,0.5
199711,59.9,0.4
199712,59.7,0.2
199801,60.1,0.7
199802,60.2,0.7
199803,59.9,0.5
199804,60.0,0.5
199805,59.3,-0.2
199806,58.7,-0.7
199807,59.3,-0.2
199808,59.4,-0.1
199809,59.6,0.1
199810,59.5,0.0
199811,59.5,0.0
199812,59.6,0.1
199901,59.6,0.2
199902,59.7,0.2
199903,60.0,0.6
199904,59.8,0.3
199905,59.9,0.4
199906,60.3,0.9
199907,60.1,0.6
199908,60.0,0.5
199909,59.9,0.4
199910,60.5,1.0
199911,61.2,1.7
199912,61.5,2.0
200001,61.5,2.1
200002,61.7,2.2
200003,61.5,2.1
200004,62.4,2.9
200005,62.9,3.4
200006,63.4,4.0
200007,63.7,4.2
200008,63.9,4.4
200009,63.9,4.4
200010,63.4,3.9
200011,62.0,2.5
200012,61.9,2.4
200101,61.4,2.0
200102,61.0,1.5
200103,61.2,1.8
200104,60.8,1.3
200105,61.1,1.6
200106,61.0,1.6
200107,60.9,1.4
200108,61.0,1.5
200109,61.5,2.0
200110,61.9,2.4
200111,62.9,3.4
200112,62.3,2.8
200201,62.2,2.8
200202,61.9,2.4
200203,61.3,1.9
200204,61.5,2.0
200205,60.9,1.4
200206,61.0,1.6
200207,61.3,1.8
200208,60.9,1.4
200209,60.3,0.8
200210,59.8,0.3
200211,59.4,-0.1
200212,60.1,0.6
200301,61.1,1.7
200302,61.6,2.1
200303,62.1,2.7
200304,61.9,2.4
200305,62.0,2.5
200306,61.9,2.5
200307,62.0,2.5
200308,62.3,2.8
200309,62.5,3.0
200310,63.3,3.8
200311,62.9,3.4
200312,62.8,3.3
200401,61.5,2.1
200402,61.0,1.5
200403,61.4,2.0
200404,61.7,2.2
