Box Elder County, Utah January-December Minimum Temperature
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
199001,35.4,0.8
199002,35.7,1.1
199003,35.6,1.0
199004,35.7,1.1
199005,35.5,0.9
199006,35.6,1.0
199007,35.4,0.8
199008,35.4,0.8
199009,36.0,1.4
199010,35.9,1.3
199011,36.0,1.4
199012,34.9,0.3
199101,34.4,-0.2
199102,34.8,0.2
199103,34.6,0.0
199104,34.0,-0.6
199105,34.1,-0.5
199106,34.0,-0.6
199107,34.0,-0.6
199108,34.3,-0.3
199109,33.8,-0.8
199110,33.9,-0.7
199111,33.9,-0.7
199112,34.7,0.1
199201,34.8,0.2
199202,35.2,0.6
199203,35.7,1.1
199204,36.2,1.6
199205,36.6,2.0
199206,36.8,2.2
199207,36.6,2.0
199208,36.6,2.0
199209,36.4,1.8
199210,36.6,2.0
199211,36.3,1.7
199212,36.1,1.5
199301,35.8,1.2
199302,34.7,0.1
199303,34.5,-0.1
199304,34.0,-0.6
199305,34.0,-0.6
199306,33.6,-1.0
199307,33.0,-1.6
199308,32.6,-2.0
199309,32.6,-2.0
199310,32.4,-2.2
199311,32.0,-2.6
199312,32.3,-2.3
199401,33.4,-1.2
199402,33.7,-0.9
199403,33.7,-0.9
199404,34.0,-0.6
199405,34.0,-0.6
199406,34.4,-0.2
199407,35.2,0.6
199408,35.7,1.1
199409,36.0,1.4
199410,35.9,1.3
199411,36.1,1.5
199412,36.4,1.8
199501,36.4,1.8
199502,37.1,2.5
199503,37.2,2.6
199504,36.9,2.3
199505,36.6,2.0
199506,36.2,1.6
199507,35.8,1.2
199508,35.5,0.9
199509,35.3,0.7
199510,35.0,0.4
199511,35.8,1.2
199512,35.9,1.3
199601,35.8,1.2
199602,35.1,0.5
199603,35.0,0.4
199604,35.1,0.5
199605,35.1,0.5
199606,35.5,0.9
199607,35.8,1.2
199608,35.9,1.3
199609,35.7,1.1
199610,36.0,1.4
199611,35.8,1.2
199612,35.7,1.1
199701,35.6,1.0
199702,35.6,1.0
199703,35.6,1.0
199704,35.4,0.8
199705,35.6,1.0
199706,35.6,1.0
199707,35.3,0.7
199708,35.5,0.9
199709,36.0,1.4
199710,35.9,1.3
199711,35.8,1.2
199712,35.3,0.7
199801,35.7,1.1
199802,36.1,1.5
199803,36.0,1.4
199804,36.2,1.6
199805,35.9,1.3
199806,35.5,0.9
199807,35.9,1.3
199808,35.9,1.3
199809,36.0,1.4
199810,36.1,1.5
199811,36.3,1.7
199812,36.3,1.7
199901,36.1,1.5
199902,35.8,1.2
199903,35.9,1.3
199904,35.7,1.1
199905,35.6,1.0
199906,35.9,1.3
199907,35.6,1.0
199908,35.5,0.9
199909,34.9,0.3
199910,34.9,0.3
199911,34.9,0.3
199912,35.2,0.6
200001,35.3,0.7
200002,35.7,1.1
200003,35.7,1.1
200004,36.1,1.5
200005,36.5,1.9
200006,36.6,2.0
200007,36.8,2.2
200008,37.0,2.4
200009,37.2,2.6
200010,37.4,2.8
200011,36.6,2.0
200012,36.7,2.1
200101,35.9,1.3
200102,35.4,0.8
200103,35.7,1.1
200104,35.5,0.9
200105,35.5,0.9
200106,35.5,0.9
200107,35.6,1.0
200108,35.6,1.0
200109,35.9,1.3
200110,35.8,1.2
200111,36.6,2.0
200112,36.1,1.5
200201,36.3,1.7
200202,35.5,0.9
200203,34.9,0.3
200204,35.0,0.4
200205,34.7,0.1
200206,34.8,0.2
200207,35.0,0.4
200208,34.6,0.0
200209,34.5,-0.1
200210,34.3,-0.3
200211,34.0,-0.6
200212,34.6,0.0
200301,35.5,0.9
200302,36.3,1.7
200303,36.8,2.2
200304,36.7,2.1
200305,36.8,2.2
200306,36.8,2.2
200307,36.9,2.3
200308,37.4,2.8
200309,37.3,2.7
200310,37.7,3.1
200311,37.6,3.0
200312,37.7,3.1
200401,36.5,1.9
200402,36.3,1.7
200403,36.4,1.8
200404,36.7,2.1
200405,36.6,2.0
200406,36.6,2.0
200407,36.2,1.6
200408,35.8,1.2
200409,35.7,1.1
200410,35.7,1.1
200411,35.9,1.3
200412,35.7,1.1
200501,36.5,1.9
200502,36.6,2.0
200503,36.4,1.8
200504,36.1,1.5
200505,36.2,1.6
200506,35.9,1.3
200507,35.9,1.3
200508,36.0,1.4
200509,35.9,1.3
200510,35.8,1.2
200511,35.8,1.2
200512,35.6,1.0
200601,35.5,0.9
200602,35.3,0.7
200603,35.0,0.4
200604,35.2,0.6
200605,35.2,0.6
200606,35.6,1.0
200607,35.9,1.3
200608,35.8,1.2
200609,35.8,1.2
200610,35.6,1.0
200611,35.6,1.0
200612,35.5,0.9
200701,34.8,0.2
200702,35.4,0.8
200703,35.8,1.2
200704,35.7,1.1
200705,35.7,1.1
200706,35.7,1.1
200707,35.8,1.2
200708,36.2,1.6
200709,36.4,1.8
200710,36.3,1.7
200711,36.3,1.7
200712,36.2,1.6
200801,36.2,1.6
200802,35.8,1.2
200803,35.3,0.7
200804,34.7,0.1
200805,34.4,-0.2
200806,34.2,-0.4
200807,33.8,-0.8
200808,33.6,-1.0
200809,33.6,-1.0
200810,33.7,-0.9
200811,34.2,-0.4
200812,34.2,-0.4
200901,34.9,0.3
200902,35.1,0.5
200903,35.2,0.6
200904,35.7,1.1
200905,35.9,1.3
200906,35.9,1.3
200907,35.8,1.2
200908,35.6,1.0
200909,36.0,1.4
200910,35.8,1.2
200911,35.2,0.6
200912,34.7,0.1
201001,34.6,0.0
201002,34.7,0.1
201003,34.9,0.3
201004,34.7,0.1
201005,34.2,-0.4
201006,34.2,-0.4
201007,34.1,-0.5
201008,34.1,-0.5
201009,33.8,-0.8
201010,34.3,-0.3
201011,34.3,-0.3
201012,35.4,0.8
201101,35.2,0.6
201102,35.0,0.4
201103,35.0,0.4
201104,34.9,0.3
201105,35.0,0.4
201106,34.8,0.2
201107,34.8,0.2
201108,35.1,0.5
201109,35.3,0.7
201110,35.1,0.5
201111,35.0,0.4
201112,34.4,-0.2
201201,34.6,0.0
201202,35.0,0.4
201203,35.2,0.6
201204,35.7,1.1
201205,35.9,1.3
201206,36.1,1.5
201207,36.3,1.7
201208,36.4,1.8
201209,36.4,1.8
201210,36.2,1.6
201211,36.8,2.2
201212,37.1,2.5
201301,36.2,1.6
201302,35.7,1.1
201303,35.6,1.0
201304,35.2,0.6
201305,35.4,0.8
201306,35.6,1.0
201307,35.8,1.2
201308,35.8,1.2
201309,35.9,1.3
201310,35.6,1.0
201311,35.5,0.9
201312,34.9,0.3
201401,35.8,1.2
201402,36.7,2.1
201403,36.8,2.2
201404,37.0,2.4
201405,37.1,2.5
201406,36.9,2.3
201407,36.9,2.3
201408,36.6,2.0
201409,36.8,2.2
201410,37.4,2.8
201411,37.3,2.7
201412,38.2,3.6
201501,38.5,3.9
201502,38.7,4.1
201503,38.9,4.3
201504,38.9,4.3
201505,38.9,4.3
201506,39.5,4.9
201507,39.2,4.6
201508,39.3,4.7
201509,39.4,4.8
201510,39.7,5.1
201511,39.5,4.9
201512,39.0,4.4
201601,38.5,3.9
201602,38.1,3.5
201603,38.1,3.5
201604,38.5,3.9
201605,38.3,3.7
201606,38.1,3.5
201607,38.2,3.6
201608,38.1,3.5
201609,37.8,3.2
201610,37.5,2.9
201611,38.1,3.5
201612,37.8,3.2
201701,37.4,2.8
201702,37.5,2.9
201703,37.7,3.1
201704,37.3,2.7
201705,37.2,2.6
201706,37.1,2.5
201707,37.4,2.8
201708,37.6,3.0
201709,37.6,3.0
201710,37.0,2.4
201711,37.0,2.4
201712,37.2,2.6
201801,38.2,3.6
201802,37.9,3.3
201803,37.4,2.8
201804,37.6,3.0
201805,37.8,3.2
201806,37.8,3.2
201807,37.9,3.3
201808,37.8,3.2
201809,37.9,3.3
201810,38.2,3.6
201811,37.8,3.2
201812,37.8,3.2
201901,37.2,2.6
201902,37.0,2.4
201903,37.0,2.4
201904,37.1,2.5
201905,36.8,2.2
201906,36.5,1.9
201907,36.2,1.6
201908,36.2,1.6
201909,36.1,1.5
201910,35.4,0.8
201911,35.5,0.9
201912,35.7,1.1
202001,36.0,1.4
202002,36.0,1.4
202003,36.3,1.7
202004,36.0,1.4
202005,36.2,1.6
202006,36.2,1.6
202007,36.1,1.5
202008,36.4,1.8
202009,36.5,1.9
202010,37.2,2.6
202011,37.2,2.6
202012,36.9,2.3
202101,36.8,2.2
202102,37.1,2.5
202103,36.9,2.3
202104,36.8,2.2
202105,36.7,2.1
202106,37.4,2.8
202107,37.9,3.3
202108,37.5,2.9
202109,37.5,2.9
202110,37.5,2.9
202111,37.9,3.3
202112,38.2,3.6
202201,38.0,3.4
202202,37.4,2.8
202203,37.6,3.0
202204,37.4,2.8
202205,37.1,2.5
202206,36.5,1.9
202207,36.2,1.6
202208,36.5,1.9
202209,36.7,2.1
202210,36.7,2.1
202211,35.8,1.2
202212,35.5,0.9
202301,35.5,0.9
202302,35.3,0.7
202303,34.5,-0.1
202304,34.5,-0.1
202305,35.1,0.5
202306,34.9,0.3
202307,34.9,0.3
202308,34.8,0.2
202309,34.5,-0.1
202310,34.6,0.0
202311,35.2,0.6
202312,35.6,1.0
202401,36.0,1.4
202402,36.8,2.2
202403,37.4,2.8
