Box Elder County, Utah December Palmer Drought Severity Index (PDSI)
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
199001,-3.72,-3.69
199002,-4.19,-4.17
199003,-4.25,-4.13
199004,-4.05,-4.01
199005,-3.66,-3.72
199006,-4.03,-4.09
199007,-4.70,-4.73
199008,-4.59,-4.67
199009,-4.67,-4.79
199010,-4.67,-4.94
199011,-4.53,-4.54
199012,-4.62,-4.56
199101,-4.76,-4.73
199102,-5.21,-5.19
199103,-5.19,-5.07
199104,-4.26,-4.22
199105,-3.10,-3.16
199106,-3.00,-3.06
199107,-3.28,-3.31
199108,-2.92,-3.00
199109,-2.35,-2.47
199110,-2.07,-2.34
199111,-1.55,-1.56
199112,-2.01,-1.95
199201,-2.58,-2.55
199202,-2.65,-2.63
199203,-3.40,-3.28
199204,-4.30,-4.26
199205,-5.50,-5.56
199206,-5.82,-5.88
199207,-6.02,-6.05
199208,-6.06,-6.14
199209,-5.90,-6.02
199210,0.24,-0.03
199211,0.34,0.33
199212,0.46,0.52
199301,1.23,1.26
199302,1.53,1.55
199303,1.81,1.93
199304,1.81,1.85
199305,1.88,1.82
199306,2.64,2.58
199307,3.47,3.44
199308,4.26,4.18
199309,3.81,3.69
199310,3.99,3.72
199311,-0.46,-0.47
199312,-1.11,-1.05
199401,-1.80,-1.77
199402,-1.77,-1.75
199403,-2.30,-2.18
199404,-2.30,-2.26
199405,-2.59,-2.65
199406,-3.65,-3.71
199407,-4.50,-4.53
199408,-4.58,-4.66
199409,-0.02,-0.14
199410,0.30,0.03
199411,0.79,0.78
199412,0.34,0.40
199501,0.91,0.94
199502,0.45,0.47
199503,1.52,1.64
199504,1.65,1.69
199505,3.87,3.81
199506,5.22,5.16
199507,6.69,6.66
199508,6.58,6.50
199509,5.84,5.72
199510,4.78,4.51
199511,3.54,3.53
199512,3.43,3.49
199601,3.53,3.56
199602,3.34,3.36
199603,2.95,3.07
199604,2.46,2.50
199605,3.31,3.25
199606,2.64,2.58
199607,2.38,2.35
199608,1.54,1.46
199609,1.34,1.22
199610,1.38,1.11
199611,1.25,1.24
199612,2.77,2.83
199701,3.69,3.72
199702,3.41,3.43
199703,2.73,2.85
199704,2.61,2.65
199705,2.64,2.58
199706,3.47,3.41
199707,4.43,4.40
199708,4.78,4.70
199709,5.25,5.13
199710,4.58,4.31
199711,3.81,3.80
199712,2.86,2.92
199801,2.97,3.00
199802,3.54,3.56
199803,3.53,3.65
199804,3.38,3.42
199805,5.26,5.20
199806,6.01,5.95
199807,7.85,7.82
199808,7.81,7.73
199809,7.78,7.66
199810,7.10,6.83
199811,-0.45,-0.46
199812,-1.06,-1.00
199901,-0.73,-0.70
199902,-0.75,-0.73
199903,-1.35,-1.23
199904,0.69,0.73
199905,1.16,1.10
199906,1.65,1.59
199907,1.47,1.44
199908,1.46,1.38
199909,-0.46,-0.58
199910,-1.18,-1.45
199911,-2.07,-2.08
199912,-2.56,-2.50
200001,-2.22,-2.19
200002,-1.54,-1.52
200003,-1.56,-1.44
200004,-2.11,-2.07
200005,-2.34,-2.40
200006,-3.11,-3.17
200007,-3.94,-3.97
200008,-3.73,-3.81
200009,-3.48,-3.60
200010,-2.23,-2.50
200011,-2.29,-2.30
200012,-2.39,-2.33
200101,-2.66,-2.63
200102,-2.91,-2.89
200103,-3.28,-3.16
200104,-2.92,-2.88
200105,-3.93,-3.99
200106,-4.66,-4.72
200107,-5.15,-5.18
200108,-5.42,-5.50
200109,-5.40,-5.52
200110,-5.25,-5.52
200111,-4.20,-4.21
200112,-3.18,-3.12
