Box Elder County, Utah December Palmer Hydrological Drought Index (PHDI)
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
199001,-3.72,-3.77
199002,-4.19,-4.17
199003,-4.25,-4.28
199004,-4.05,-4.01
199005,-3.66,-3.71
199006,-4.03,-4.11
199007,-4.70,-4.74
199008,-4.59,-4.66
199009,-4.67,-4.73
199010,-4.67,-4.85
199011,-4.53,-4.63
199012,-4.62,-4.62
199101,-4.76,-4.81
199102,-5.21,-5.19
199103,-5.19,-5.22
199104,-4.26,-4.22
199105,-3.10,-3.15
199106,-3.00,-3.08
199107,-3.28,-3.32
199108,-2.92,-2.99
199109,-2.35,-2.41
199110,-2.07,-2.25
199111,-1.55,-1.65
199112,-2.01,-2.01
199201,-2.58,-2.63
199202,-2.65,-2.63
199203,-3.40,-3.43
199204,-4.30,-4.26
199205,-5.50,-5.55
199206,-5.82,-5.90
199207,-6.02,-6.06
199208,-6.06,-6.13
199209,-5.90,-5.96
199210,-5.05,-5.23
199211,-4.41,-4.51
199212,-3.80,-3.80
199301,-2.58,-2.63
199302,-1.89,-1.87
199303,-1.26,-1.29
199304,-0.95,-0.91
199305,-0.59,-0.64
199306,2.64,2.56
199307,3.47,3.43
199308,4.26,4.19
199309,3.81,3.75
199310,3.99,3.81
199311,3.11,3.01
199312,2.10,2.10
199401,1.08,1.03
199402,0.81,0.83
199403,-2.30,-2.33
199404,-2.30,-2.26
199405,-2.59,-2.64
199406,-3.65,-3.73
199407,-4.50,-4.54
199408,-4.58,-4.65
199409,-4.12,-4.18
199410,-3.40,-3.58
199411,-2.52,-2.62
199412,-2.64,-2.64
199501,-1.76,-1.81
199502,-1.94,-1.92
199503,-0.63,-0.66
199504,1.65,1.69
199505,3.87,3.82
199506,5.22,5.14
199507,6.69,6.65
199508,6.58,6.51
199509,5.84,5.78
199510,4.78,4.60
199511,3.54,3.44
199512,3.43,3.43
199601,3.53,3.48
199602,3.34,3.36
199603,2.95,2.92
199604,2.46,2.50
199605,3.31,3.26
199606,2.64,2.56
199607,2.38,2.34
199608,1.54,1.47
199609,1.34,1.28
199610,1.38,1.20
199611,1.25,1.15
199612,2.77,2.77
199701,3.69,3.64
199702,3.41,3.43
199703,2.73,2.70
199704,2.61,2.65
199705,2.64,2.59
199706,3.47,3.39
199707,4.43,4.39
199708,4.78,4.71
199709,5.25,5.19
199710,4.58,4.40
199711,3.81,3.71
199712,2.86,2.86
199801,2.97,2.92
199802,3.54,3.56
199803,3.53,3.50
199804,3.38,3.42
199805,5.26,5.21
199806,6.01,5.93
199807,7.85,7.81
199808,7.81,7.74
199809,7.78,7.72
199810,7.10,6.92
199811,5.92,5.82
199812,4.66,4.66
199901,4.40,4.35
199902,3.85,3.87
199903,2.78,2.75
199904,3.18,3.22
199905,3.40,3.35
199906,3.65,3.57
199907,3.27,3.23
199908,3.07,3.00
199909,2.30,2.24
199910,1.29,1.11
199911,-2.07,-2.17
199912,-2.56,-2.56
200001,-2.22,-2.27
200002,-1.54,-1.52
200003,-1.56,-1.59
200004,-2.11,-2.07
200005,-2.34,-2.39
200006,-3.11,-3.19
200007,-3.94,-3.98
200008,-3.73,-3.80
200009,-3.48,-3.54
200010,-2.23,-2.41
200011,-2.29,-2.39
200012,-2.39,-2.39
200101,-2.66,-2.71
200102,-2.91,-2.89
200103,-3.28,-3.31
200104,-2.92,-2.88
200105,-3.93,-3.98
200106,-4.66,-4.74
200107,-5.15,-5.19
200108,-5.42,-5.49
200109,-5.40,-5.46
200110,-5.25,-5.43
200111,-4.20,-4.30
200112,-3.18,-3.18
200201,-2.84,-2.89
200202,-2.96,-2.94
200203,-2.74,-2.77
200204,-2.31,-2.27
200205,-2.22,-2.27
200206,-2.52,-2.60
200207,-3.03,-3.07
200208,-3.48,-3.55
200209,-2.33,-2.39
200210,-2.10,-2.28
200211,-2.16,-2.26
200212,-2.23,-2.23
200301,-2.88,-2.93
200302,-3.17,-3.15
200303,-3.68,-3.71
200304,-3.49,-3.45
200305,-3.59,-3.64
200306,-4.42,-4.50
200307,-5.44,-5.48
200308,-4.90,-4.97
200309,-4.84,-4.90
200310,-5.10,-5.28
200311,-4.50,-4.60
200312,-3.38,-3.38
200401,-3.32,-3.37
200402,-2.42,-2.40
200403,-3.06,-3.09
200404,-2.88,-2.84
200405,-2.52,-2.57
200406,-2.74,-2.82
200407,-2.76,-2.80
200408,-2.32,-2.39
200409,-1.86,-1.92
200410,1.95,1.77
200411,1.58,1.48
200412,1.88,1.88
200501,3.22,3.17
