Box Elder County, Utah December Palmer Modified Drought Index (PMDI)
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
199001,-3.72,-3.69
199002,-4.19,-4.21
199003,-4.25,-4.23
199004,-4.05,-4.02
199005,-3.64,-3.76
199006,-4.03,-4.13
199007,-4.70,-4.75
199008,-4.59,-4.62
199009,-4.67,-4.71
199010,-4.67,-4.85
199011,-4.53,-4.56
199012,-4.62,-4.55
199101,-4.76,-4.73
199102,-5.21,-5.23
199103,-5.19,-5.17
199104,-3.75,-3.72
199105,-1.75,-1.87
199106,-1.88,-1.98
199107,-2.76,-2.81
199108,-2.32,-2.35
199109,-1.45,-1.49
199110,-1.11,-1.29
199111,-0.29,-0.32
199112,-1.31,-1.24
199201,-2.53,-2.50
199202,-2.65,-2.67
199203,-3.40,-3.38
199204,-4.30,-4.27
199205,-5.50,-5.62
199206,-5.82,-5.92
199207,-6.02,-6.07
199208,-6.06,-6.09
199209,-5.90,-5.94
199210,-4.72,-4.90
199211,-3.90,-3.93
199212,-3.07,-3.00
199301,-0.94,-0.91
199302,0.17,0.15
199303,1.14,1.16
199304,1.46,1.49
199305,1.84,1.72
199306,2.64,2.54
199307,3.47,3.42
199308,4.26,4.23
199309,3.74,3.70
199310,3.99,3.81
199311,2.52,2.49
199312,0.67,0.74
199401,-1.23,-1.20
199402,-1.50,-1.52
199403,-2.30,-2.28
199404,-2.30,-2.27
199405,-2.59,-2.71
199406,-3.65,-3.75
199407,-4.50,-4.55
199408,-4.58,-4.61
199409,-4.08,-4.12
199410,-2.95,-3.13
199411,-1.44,-1.47
199412,-1.94,-1.87
199501,-0.39,-0.36
199502,-0.96,-0.98
199503,1.43,1.45
199504,1.65,1.68
199505,3.87,3.75
199506,5.22,5.12
199507,6.69,6.64
199508,6.58,6.55
199509,5.72,5.68
199510,4.10,3.92
199511,2.03,2.00
199512,2.18,2.25
199601,2.72,2.75
199602,2.67,2.65
199603,2.19,2.21
199604,1.50,1.53
199605,3.31,3.19
199606,2.18,2.08
199607,1.90,1.85
199608,0.30,0.27
199609,0.06,0.02
199610,0.32,0.14
199611,0.21,0.18
199612,2.77,2.84
199701,3.69,3.72
199702,3.41,3.39
199703,2.27,2.29
199704,2.30,2.33
199705,2.61,2.49
199706,3.47,3.37
199707,4.43,4.38
199708,4.78,4.75
199709,5.25,5.21
199710,4.36,4.18
199711,3.22,3.19
199712,1.62,1.69
199801,2.15,2.18
199802,3.54,3.52
199803,3.53,3.55
199804,3.38,3.41
199805,5.26,5.14
199806,6.01,5.91
199807,7.85,7.80
199808,7.81,7.78
199809,7.78,7.74
199810,7.10,6.92
199811,5.37,5.34
199812,3.36,3.43
199901,3.31,3.34
199902,2.64,2.62
199903,0.88,0.90
199904,1.98,2.01
199905,2.68,2.56
199906,3.42,3.32
199907,2.97,2.92
199908,2.87,2.84
199909,1.51,1.47
199910,-0.36,-0.54
199911,-2.07,-2.10
199912,-2.56,-2.49
200001,-2.06,-2.03
200002,-0.73,-0.75
200003,-0.95,-0.93
200004,-2.11,-2.08
200005,-2.34,-2.46
200006,-3.11,-3.21
200007,-3.94,-3.99
200008,-3.73,-3.76
200009,-3.48,-3.52
200010,-1.12,-1.30
200011,-1.49,-1.52
200012,-1.93,-1.86
200101,-2.66,-2.63
200102,-2.91,-2.93
200103,-3.28,-3.26
200104,-2.84,-2.81
200105,-3.93,-4.05
200106,-4.66,-4.76
200107,-5.15,-5.20
200108,-5.42,-5.45
200109,-5.40,-5.44
200110,-5.25,-5.43
200111,-3.57,-3.60
200112,-1.87,-1.80
200201,-1.50,-1.47
200202,-2.05,-2.07
200203,-1.89,-1.87
200204,-1.28,-1.25
200205,-1.33,-1.45
200206,-2.03,-2.13
200207,-3.03,-3.08
200208,-3.48,-3.51
200209,-1.32,-1.36
200210,-1.09,-1.27
200211,-1.43,-1.46
200212,-1.78,-1.71
200301,-2.88,-2.85
200302,-3.17,-3.19
200303,-3.68,-3.66
200304,-3.49,-3.46
200305,-3.59,-3.71
200306,-4.42,-4.52
200307,-5.44,-5.49
200308,-4.87,-4.90
200309,-4.84,-4.88
200310,-5.10,-5.28
200311,-4.36,-4.39
200312,-2.44,-2.37
200401,-2.68,-2.65
200402,-1.12,-1.14
200403,-2.68,-2.66
200404,-2.57,-2.54
200405,-2.09,-2.21
200406,-2.74,-2.84
200407,-2.76,-2.81
200408,-2.06,-2.09
200409,-1.26,-1.30
200410,1.95,1.77
200411,1.27,1.24
200412,1.88,1.95
200501,3.22,3.25
200502,3.42,3.40
200503,3.52,3.54
200504,4.30,4.33
200505,5.66,5.54
200506,6.31,6.21
200507,6.98,6.93
200508,6.42,6.39
200509,5.50,5.46
200510,5.10,4.92
200511,3.82,3.79
200512,4.49,4.56
200601,4.88,4.91
200602,4.21,4.19
200603,5.03,5.05
200604,5.09,5.12
200605,4.53,4.41
200606,4.27,4.17
200607,3.26,3.21
200608,1.79,1.76
200609,2.30,2.26
200610,2.78,2.60
200611,1.75,1.72
200612,0.69,0.76
200701,-1.35,-1.32
200702,-1.68,-1.70
200703,-2.41,-2.39
200704,-2.68,-2.65
200705,-3.87,-3.99
200706,-4.55,-4.65
200707,-5.31,-5.36
200708,-5.49,-5.52
200709,-4.95,-4.99
200710,-4.27,-4.45
200711,-4.79,-4.82
200712,-3.82,-3.75
200801,-3.47,-3.44
200802,-2.88,-2.90
200803,-3.25,-3.23
200804,-3.35,-3.32
200805,-3.16,-3.28
200806,-3.49,-3.59
200807,-4.03,-4.08
200808,-4.30,-4.33
200809,-4.37,-4.41
200810,-4.06,-4.24
200811,-4.00,-4.03
200812,-3.25,-3.18
200901,-3.08,-3.05
200902,-3.00,-3.02
200903,-3.04,-3.02
200904,-2.25,-2.22
200905,-2.02,-2.14
200906,1.93,1.83
200907,1.99,1.94
200908,1.95,1.92
200909,0.85,0.81
200910,1.11,0.93
200911,-0.90,-0.93
200912,-1.04,-0.97
201001,-0.75,-0.72
201002,-1.40,-1.42
201003,-1.84,-1.82
201004,-0.92,-0.89
201005,0.43,0.31
201006,0.17,0.07
201007,-1.17,-1.22
201008,-1.40,-1.43
201009,-1.86,-1.90
201010,-0.30,-0.48
201011,0.93,0.90
201012,2.14,2.21
201101,1.51,1.54
201102,1.65,1.63
201103,2.14,2.16
201104,2.71,2.74
201105,4.35,4.23
201106,4.42,4.32
201107,4.93,4.88
201108,4.91,4.88
201109,3.59,3.55
201110,3.68,3.50
201111,2.75,2.72
201112,0.59,0.66
201201,0.89,0.92
201202,-0.65,-0.67
201203,-2.05,-2.03
201204,-2.64,-2.61
201205,-3.32,-3.44
201206,-4.37,-4.47
201207,-4.66,-4.71
201208,-5.05,-5.08
201209,-4.85,-4.89
201210,-4.53,-4.71
201211,-4.75,-4.78
201212,-3.44,-3.37
201301,-3.32,-3.29
201302,-3.68,-3.70
201303,-4.27,-4.25
201304,-4.23,-4.20
201305,-3.96,-4.08
201306,-4.82,-4.92
201307,-5.20,-5.25
201308,-5.27,-5.30
201309,-3.01,-3.05
201310,-2.40,-2.58
201311,-3.45,-3.48
201312,-3.77,-3.70
201401,-3.99,-3.96
201402,-3.72,-3.74
201403,-3.66,-3.64
201404,-3.30,-3.27
201405,-3.60,-3.72
201406,-4.14,-4.24
201407,-4.42,-4.47
201408,-0.83,-0.86
201409,1.34,1.30
201410,-0.38,-0.56
201411,-0.50,-0.53
201412,-0.42,-0.35
201501,-1.19,-1.16
201502,-2.82,-2.84
201503,-4.07,-4.05
201504,-4.58,-4.55
201505,1.13,1.01
201506,0.07,-0.03
201507,0.63,0.58
201508,0.56,0.53
201509,1.29,1.25
201510,0.85,0.67
201511,0.69,0.66
201512,0.81,0.88
201601,1.19,1.22
201602,-0.27,-0.29
201603,0.12,0.14
201604,1.11,1.14
201605,1.48,1.36
201606,0.46,0.36
201607,-1.06,-1.11
201608,-1.85,-1.88
201609,1.50,1.46
201610,2.17,1.99
201611,0.18,0.15
201612,1.95,2.02
201701,3.63,3.66
201702,4.20,4.18
201703,3.61,3.63
201704,4.08,4.11
201705,3.20,3.08
201706,2.74,2.64
201707,1.42,1.37
201708,-0.28,-0.31
201709,0.98,0.94
201710,-0.02,-0.20
201711,-0.69,-0.72
201712,-1.55,-1.48
201801,-1.98,-1.95
201802,-2.34,-2.36
201803,-1.39,-1.37
201804,-2.05,-2.02
201805,-2.11,-2.23
201806,-3.01,-3.11
201807,-3.98,-4.03
201808,-4.34,-4.37
201809,-4.75,-4.79
201810,-2.56,-2.74
201811,-2.12,-2.15
201812,-2.46,-2.39
201901,-2.17,-2.14
201902,-0.63,-0.65
201903,0.40,0.42
201904,1.52,1.55
201905,3.13,3.01
201906,3.30,3.20
201907,3.55,3.50
201908,2.35,2.32
201909,4.03,3.99
201910,3.15,2.97
201911,2.28,2.25
201912,1.72,1.79
202001,0.98,1.01
202002,-0.13,-0.15
202003,-0.89,-0.87
202004,-1.85,-1.82
