Box Elder County, Utah December Palmer Z-Index
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
199001,-0.86,-0.97
199002,-2.56,-2.61
199003,-1.47,-1.47
199004,-0.72,-0.67
199005,-0.09,-0.32
199006,-2.23,-2.18
199007,-3.25,-3.23
199008,-1.14,-1.19
199009,-1.66,-1.74
199010,-1.44,-1.70
199011,-1.03,-0.85
199012,-1.65,-1.49
199101,-1.84,-1.95
199102,-2.83,-2.88
199103,-1.55,-1.55
199104,1.21,1.26
199105,2.15,1.92
199106,-0.66,-0.61
199107,-1.78,-1.76
199108,0.08,0.03
199109,0.80,0.72
199110,0.12,-0.14
199111,0.92,1.10
199112,-1.87,-1.71
199201,-2.35,-2.46
199202,-1.00,-1.05
199203,-3.06,-3.06
199204,-3.74,-3.69
199205,-4.95,-5.18
199206,-2.66,-2.61
199207,-2.38,-2.36
199208,-2.00,-2.05
199209,-1.38,-1.46
199210,0.73,0.47
199211,0.35,0.53
199212,0.47,0.63
199301,2.47,2.36
199302,1.28,1.23
199303,1.32,1.32
199304,0.53,0.58
199305,0.77,0.54
199306,2.87,2.92
199307,3.31,3.33
199308,3.42,3.37
199309,-0.03,-0.11
199310,1.72,1.46
199311,-1.39,-1.21
199312,-2.07,-1.91
199401,-2.43,-2.54
199402,-0.46,-0.51
199403,-2.13,-2.13
199404,-0.72,-0.67
199405,-1.57,-1.80
199406,-4.00,-3.95
199407,-3.67,-3.65
199408,-1.63,-1.68
199409,-0.05,-0.13
199410,0.91,0.65
199411,1.57,1.75
199412,-1.11,-0.95
199501,1.80,1.69
199502,-1.09,-1.14
199503,3.33,3.33
199504,0.87,0.92
199505,7.17,6.94
199506,5.27,5.32
199507,6.01,6.03
199508,1.73,1.68
199509,-0.18,-0.26
199510,-1.38,-1.64
199511,-2.22,-2.04
199512,0.76,0.92
199601,1.36,1.25
199602,0.51,0.46
199603,-0.15,-0.15
199604,-0.55,-0.50
199605,3.30,3.07
199606,-0.99,-0.94
199607,0.06,0.08
199608,-1.81,-1.86
199609,-0.13,-0.21
199610,0.54,0.28
199611,0.04,0.22
199612,4.95,5.11
199701,3.61,3.50
199702,0.31,0.26
199703,-0.99,-0.99
199704,0.50,0.55
199705,0.87,0.64
199706,3.31,3.36
199707,3.97,3.99
199708,2.40,2.35
199709,2.91,2.83
199710,-0.41,-0.67
199711,-0.87,-0.69
199712,-1.67,-1.51
199801,1.21,1.10
199802,2.61,2.56
199803,1.08,1.08
199804,0.63,0.68
199805,6.68,6.45
199806,3.87,3.92
199807,7.37,7.39
199808,2.31,2.26
199809,2.35,2.27
199810,0.35,0.09
199811,-1.35,-1.17
199812,-1.96,-1.80
199901,0.66,0.55
199902,-0.28,-0.33
199903,-2.03,-2.03
199904,2.08,2.13
199905,1.63,1.40
199906,1.82,1.87
199907,-0.03,-0.01
199908,0.43,0.38
199909,-1.39,-1.47
199910,-2.29,-2.55
199911,-3.03,-2.85
199912,-2.12,-1.96
200001,0.23,0.12
200002,1.37,1.32
200003,-0.56,-0.56
200004,-2.14,-2.09
200005,-1.33,-1.56
200006,-3.05,-3.00
200007,-3.44,-3.42
200008,-0.58,-0.63
200009,-0.42,-0.50
200010,2.67,2.41
200011,-0.87,-0.69
200012,-1.00,-0.84
200101,-1.53,-1.64
200102,-1.58,-1.63
200103,-2.01,-2.01
200104,0.06,0.11
200105,-3.93,-4.16
200106,-3.38,-3.33
200107,-2.91,-2.89
200108,-2.41,-2.46
200109,-1.62,-1.70
200110,-1.20,-1.46
200111,1.52,1.70
200112,1.75,1.91
200201,0.04,-0.07
200202,-1.25,-1.30
200203,-0.25,-0.25
200204,0.46,0.51
200205,-0.45,-0.68
200206,-1.59,-1.54
200207,-2.32,-2.30
200208,-2.28,-2.33
200209,2.39,2.31
200210,-0.05,-0.31
200211,-0.82,-0.64
200212,-0.86,-0.70
200301,-2.65,-2.76
200302,-1.77,-1.82
200303,-2.50,-2.50
200304,-0.57,-0.52
200305,-1.38,-1.61
200306,-3.58,-3.53
200307,-4.44,-4.42
200308,-0.07,-0.12
200309,-1.31,-1.39
200310,-2.29,-2.55
200311,0.23,0.41
200312,1.98,2.14
200401,-0.88,-0.99
200402,1.69,1.64
200403,-2.68,-2.68
200404,-0.39,-0.34
200405,0.19,-0.04
200406,-1.43,-1.38
200407,-0.91,-0.89
200408,0.47,0.42
200409,0.66,0.58
200410,4.87,4.61
200411,-0.51,-0.33
200412,1.39,1.55
200501,4.61,4.50
200502,1.60,1.55
200503,1.35,1.35
200504,3.42,3.47
200505,5.42,5.19
200506,3.68,3.73
200507,3.98,4.00
200508,0.46,0.41
200509,-0.29,-0.37
200510,0.34,0.08
200511,-0.99,-0.81
200512,1.82,1.98
200601,2.55,2.44
200602,-0.15,-0.20
200603,3.45,3.45
200604,1.73,1.78
200605,0.03,-0.20
200606,0.51,0.56
200607,-0.72,-0.70
200608,-1.47,-1.52
200609,1.17,1.09
200610,1.19,0.93
200611,-0.93,-0.75
200612,-1.09,-0.93
200701,-2.68,-2.79
200702,-1.09,-1.14
200703,-2.69,-2.69
200704,-1.57,-1.52
200705,-4.40,-4.63
200706,-3.23,-3.18
200707,-3.68,-3.66
200708,-2.18,-2.23
200709,-0.12,-0.20
200710,0.16,-0.10
200711,-2.53,-2.35
200712,0.59,0.75
200801,-0.18,-0.29
200802,0.22,0.17
200803,-1.09,-1.09
200804,-1.15,-1.10
200805,-0.47,-0.70
200806,-1.95,-1.90
200807,-2.72,-2.70
200808,-2.04,-2.09
200809,-1.52,-1.60
200810,-0.43,-0.69
200811,-1.07,-0.89
200812,0.39,0.55
200901,-0.34,-0.45
200902,-0.44,-0.49
200903,-0.98,-0.98
200904,0.57,0.62
200905,-0.12,-0.35
200906,5.45,5.50
200907,0.78,0.80
200908,0.49,0.44
200909,-1.04,-1.12
200910,0.58,0.32
200911,-2.38,-2.20
200912,-0.69,-0.53
201001,0.07,-0.04
201002,-1.75,-1.80
201003,-1.77,-1.77
201004,0.81,0.86
201005,1.44,1.21
201006,-0.41,-0.36
201007,-1.98,-1.96
201008,-0.55,-0.60
201009,-1.72,-1.80
201010,1.61,1.35
201011,1.38,1.56
201012,3.90,4.06
201101,-0.44,-0.55
201102,0.51,0.46
201103,1.68,1.68
201104,2.36,2.41
201105,5.77,5.54
201106,1.56,1.61
201107,2.88,2.90
201108,1.47,1.42
201109,-1.07,-1.15
201110,0.80,0.54
201111,-0.67,-0.49
201112,-2.54,-2.38
201201,0.72,0.61
201202,-2.00,-2.05
201203,-2.56,-2.56
201204,-2.43,-2.38
201205,-2.84,-3.07
201206,-4.18,-4.13
201207,-2.23,-2.21
201208,-2.59,-2.64
201209,-0.97,-1.05
201210,-0.55,-0.81
201211,-2.05,-1.87
201212,1.07,1.23
201301,-0.47,-0.58
201302,-1.18,-1.23
201303,-2.92,-2.92
201304,-1.21,-1.16
201305,-0.49,-0.72
201306,-3.79,-3.74
201307,-2.65,-2.63
201308,-1.81,-1.86
201309,2.34,2.26
201310,0.24,-0.02
201311,-2.08,-1.90
201312,-1.11,-0.95
201401,-1.80,-1.91
201402,-0.45,-0.50
201403,-0.96,-0.96
201404,-0.11,-0.06
201405,-1.86,-2.09
201406,-2.74,-2.69
201407,-2.11,-2.09
201408,4.30,4.25
201409,2.77,2.69
201410,-2.54,-2.80
201411,-0.44,-0.26
201412,-0.14,0.02
201501,-1.50,-1.61
201502,-3.14,-3.19
201503,-4.24,-4.24
201504,-2.79,-2.74
201505,7.27,7.04
201506,-1.59,-1.54
201507,0.65,0.67
201508,-0.19,-0.24
201509,1.10,1.02
201510,-0.64,-0.90
201511,-0.27,-0.09
201512,0.23,0.39
201601,0.79,0.68
201602,-1.30,-1.35
201603,0.52,0.52
201604,1.34,1.39
201605,1.44,1.21
201606,-0.90,-0.85
201607,-2.38,-2.36
201608,-2.69,-2.74
201609,4.49,4.41
201610,2.50,2.24
201611,-2.18,-2.00
201612,2.55,2.71
201701,5.65,5.54
201702,2.83,2.78
201703,-0.14,-0.14
201704,2.23,2.28
201705,-0.56,-0.79
201706,-0.05,0.00
201707,-1.33,-1.31
201708,-2.05,-2.10
201709,1.98,1.90
201710,-1.19,-1.45
201711,-0.90,-0.72
201712,-1.92,-1.76
201801,-1.76,-1.87
201802,-1.71,-1.76
201803,0.83,0.83
201804,-1.26,-1.21
201805,-0.80,-1.03
201806,-3.36,-3.31
201807,-3.82,-3.80
201808,-2.33,-2.38
201809,-2.57,-2.65
201810,2.32,2.06
201811,0.06,0.24
201812,-1.00,-0.84
201901,-0.10,-0.21
201902,1.79,1.74
201903,1.28,1.28
201904,1.66,1.71
201905,5.11,4.88
201906,1.48,1.53
201907,1.77,1.79
201908,-1.06,-1.11
201909,4.45,4.37
201910,-0.56,-0.82
201911,-0.64,-0.46
201912,-0.31,-0.15
202001,-0.64,-0.75
202002,-1.30,-1.35
202003,-1.01,-1.01
202004,-2.28,-2.23
202005,-2.64,-2.87
202006,-0.53,-0.48
202007,-2.21,-2.19
202008,-2.75,-2.80
202009,-1.69,-1.77
202010,-1.96,-2.22
202011,-1.01,-0.83
202012,-1.58,-1.42
202101,-1.85,-1.96
202102,-0.90,-0.95
202103,-2.56,-2.56
202104,-1.92,-1.87
202105,-3.60,-3.83
202106,-5.39,-5.34
202107,-3.04,-3.02
202108,1.82,1.77
202109,-1.69,-1.77
202110,3.34,3.08
202111,-2.12,-1.94
202112,-0.05,0.11
202201,-1.69,-1.80
202202,-2.53,-2.58
202203,-2.96,-2.96
202204,-1.36,-1.31
202205,0.00,-0.23
202206,-3.62,-3.57
202207,-3.96,-3.94
202208,0.76,0.71
202209,0.28,0.20
202210,-1.35,-1.61
202211,1.20,1.38
202212,0.59,0.75
202301,2.93,2.82
202302,0.64,0.59
202303,4.07,4.07
202304,0.19,0.24
202305,1.68,1.45
202306,1.85,1.90
202307,1.01,1.03
202308,4.59,4.54
202309,1.79,1.71
202310,0.75,0.49
202311,-0.55,-0.37
202312,-0.23,-0.07
202401,0.89,0.78
202402,2.43,2.38
202403,1.98,1.98
