Box Elder County, Utah January-December Precipitation
Units: Inches
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
199001,8.82,-3.19
199002,8.45,-3.57
199003,8.07,-3.96
199004,9.29,-2.71
199005,9.77,-2.24
199006,10.12,-1.89
199007,9.86,-2.15
199008,9.59,-2.42
199009,9.50,-2.51
199010,9.17,-2.85
199011,9.24,-2.78
199012,9.75,-2.27
199101,9.20,-2.81
199102,9.24,-2.78
199103,8.86,-3.17
199104,8.93,-3.07
199105,9.57,-2.44
199106,9.48,-2.53
199107,9.69,-2.32
199108,10.07,-1.94
199109,10.75,-1.26
199110,11.47,-0.55
199111,12.15,0.13
199112,11.88,-0.14
199201,11.51,-0.50
199202,12.38,0.36
199203,12.19,0.16
199204,10.96,-1.04
199205,9.18,-2.83
199206,9.37,-2.64
199207,9.59,-2.42
199208,8.98,-3.03
199209,8.20,-3.81
199210,8.59,-3.43
199211,8.25,-3.77
199212,9.29,-2.73
199301,11.13,-0.88
199302,11.11,-0.91
199303,11.90,-0.13
199304,12.52,0.52
199305,13.52,1.51
199306,14.28,2.27
199307,14.72,2.71
199308,15.40,3.39
199309,15.55,3.54
199310,15.68,3.66
199311,14.82,2.80
199312,13.78,1.76
199401,12.01,0.00
199402,12.05,0.03
199403,11.44,-0.59
199404,11.67,-0.33
199405,11.66,-0.35
199406,10.02,-1.99
199407,9.16,-2.85
199408,8.67,-3.34
199409,9.12,-2.89
199410,8.79,-3.23
199411,10.18,-1.84
199412,10.45,-1.57
199501,12.00,-0.01
199502,11.49,-0.53
199503,13.28,1.25
199504,13.28,1.28
199505,15.94,3.93
199506,18.27,6.26
199507,18.81,6.80
199508,18.59,6.58
199509,18.22,6.21
199510,17.22,5.20
199511,16.12,4.10
199512,17.16,5.14
199601,17.03,5.02
199602,17.39,5.37
199603,15.86,3.83
199604,15.44,3.44
199605,14.08,2.07
199606,11.69,-0.32
199607,11.78,-0.23
199608,11.60,-0.41
199609,11.72,-0.29
199610,12.63,0.61
199611,13.39,1.37
199612,15.03,3.01
199701,15.42,3.41
199702,14.61,2.59
199703,13.88,1.85
199704,14.04,2.04
199705,12.81,0.80
199706,14.86,2.85
199707,15.56,3.55
199708,16.32,4.31
199709,17.35,5.34
199710,16.87,4.85
199711,16.35,4.33
199712,13.58,1.56
199801,13.27,1.26
199802,15.16,3.14
199803,16.09,4.06
199804,16.24,4.24
199805,18.71,6.70
199806,18.35,6.34
199807,18.23,6.22
199808,18.01,6.00
199809,17.84,5.83
199810,18.17,6.15
199811,18.03,6.01
199812,17.95,5.93
199901,17.79,5.78
199902,16.62,4.60
199903,15.82,3.79
199904,16.58,4.58
199905,14.43,2.42
199906,14.39,2.38
199907,13.22,1.21
199908,13.37,1.36
199909,12.06,0.05
199910,11.19,-0.83
199911,10.81,-1.21
199912,10.86,-1.16
200001,10.81,-1.20
200002,11.91,-0.11
200003,12.35,0.32
200004,11.05,-0.95
200005,10.45,-1.56
200006,8.85,-3.16
200007,8.67,-3.34
200008,8.73,-3.28
200009,9.17,-2.84
