Cache County, Utah January-December Average Temperature
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
199001,43.6,1.1
199002,44.1,1.6
199003,44.2,1.7
199004,44.3,1.8
199005,44.1,1.6
199006,44.2,1.7
199007,44.0,1.5
199008,44.1,1.6
199009,44.6,2.0
199010,44.5,1.9
199011,44.5,2.0
199012,43.7,1.2
199101,43.0,0.5
199102,43.4,0.9
199103,43.1,0.6
199104,42.5,0.0
199105,42.4,-0.1
199106,42.3,-0.2
199107,42.2,-0.3
199108,42.4,-0.1
199109,41.8,-0.8
199110,41.9,-0.7
199111,41.7,-0.8
199112,42.2,-0.3
199201,42.4,-0.1
199202,42.6,0.1
199203,43.1,0.6
199204,43.9,1.4
199205,44.6,2.1
199206,44.8,2.3
199207,44.5,2.0
199208,44.5,2.0
199209,44.5,1.9
199210,44.7,2.1
199211,44.4,1.9
199212,44.2,1.7
199301,44.2,1.7
199302,43.4,0.9
199303,42.9,0.4
199304,42.2,-0.3
199305,42.0,-0.5
199306,41.5,-1.0
199307,41.1,-1.4
199308,40.6,-1.9
199309,40.5,-2.1
199310,40.2,-2.4
199311,40.2,-2.3
199312,40.6,-1.9
199401,41.4,-1.1
199402,41.7,-0.8
199403,42.0,-0.5
199404,42.4,-0.1
199405,42.5,0.0
199406,43.1,0.6
199407,44.0,1.5
199408,44.6,2.1
199409,45.0,2.4
199410,44.9,2.3
199411,44.8,2.3
199412,45.0,2.5
199501,44.8,2.3
199502,45.5,3.0
199503,45.2,2.7
199504,44.9,2.4
199505,44.2,1.7
199506,43.6,1.1
199507,43.3,0.8
199508,43.1,0.6
199509,42.9,0.3
199510,42.9,0.3
199511,43.9,1.4
199512,44.2,1.7
199601,44.2,1.7
199602,43.5,1.0
199603,43.6,1.1
199604,43.6,1.1
199605,43.8,1.3
199606,44.4,1.9
199607,44.7,2.2
199608,44.7,2.2
199609,44.4,1.8
199610,44.5,1.9
199611,44.2,1.7
199612,44.0,1.5
199701,43.9,1.4
199702,43.8,1.3
199703,43.8,1.3
199704,43.6,1.1
199705,43.9,1.4
199706,43.7,1.2
199707,43.4,0.9
199708,43.4,0.9
199709,43.7,1.1
199710,43.6,1.0
199711,43.5,1.0
199712,43.0,0.5
199801,43.3,0.8
199802,43.8,1.3
199803,43.5,1.0
199804,43.7,1.2
199805,43.4,0.9
199806,42.9,0.4
199807,43.4,0.9
199808,43.4,0.9
199809,43.6,1.0
199810,43.6,1.0
199811,43.8,1.3
199812,43.9,1.4
199901,43.8,1.3
199902,43.7,1.2
199903,44.0,1.5
199904,43.8,1.3
199905,43.7,1.2
