Cache County, Utah January-December Cooling Degree Days
Units: Fahrenheit Degree-Days
Base Period: 1901-2000
Missing: -9999
Date,Value,Anomaly
199001,228,52
199002,228,52
199003,228,52
199004,228,52
199005,228,52
199006,234,59
199007,185,9
199008,206,29
199009,239,62
199010,239,62
199011,239,62
199012,239,62
199101,239,63
199102,239,63
199103,239,63
199104,239,63
199105,239,63
199106,233,58
199107,224,48
199108,250,73
199109,215,38
199110,215,38
199111,215,38
199112,215,38
199201,215,39
199202,215,39
199203,215,39
199204,215,39
199205,223,47
199206,235,60
199207,181,5
199208,178,1
199209,178,1
199210,178,1
199211,178,1
199212,178,1
199301,178,2
199302,178,2
199303,178,2
199304,178,2
199305,170,-6
199306,144,-31
199307,105,-71
199308,31,-146
199309,24,-153
199310,24,-153
199311,24,-153
199312,24,-153
199401,24,-152
199402,24,-152
199403,24,-152
199404,24,-152
199405,30,-146
199406,71,-104
199407,190,14
199408,303,126
199409,325,148
199410,325,148
199411,325,148
199412,325,148
199501,325,149
199502,325,149
199503,325,149
199504,325,149
199505,319,143
199506,284,109
199507,213,37
199508,160,-17
199509,149,-28
199510,149,-28
199511,149,-28
199512,149,-28
199601,149,-27
199602,149,-27
199603,149,-27
199604,149,-27
199605,149,-27
199606,181,6
199607,240,64
199608,238,61
199609,227,50
199610,227,50
199611,227,50
199612,227,50
199701,227,51
199702,227,51
199703,227,51
199704,227,51
199705,227,51
199706,210,35
199707,145,-31
199708,146,-31
199709,157,-20
199710,157,-20
199711,157,-20
199712,157,-20
199801,157,-19
199802,157,-19
199803,157,-19
199804,157,-19
199805,157,-19
199806,136,-39
199807,235,59
199808,249,72
199809,260,83
199810,260,83
199811,260,83
199812,260,83
199901,260,84
199902,260,84
199903,260,84
199904,260,84
199905,260,84
199906,273,98
199907,215,39
199908,203,26
199909,181,4
199910,181,4
199911,181,4
199912,181,4
200001,181,5
200002,181,5
200003,181,5
200004,181,5
200005,181,5
200006,200,25
200007,265,89
200008,326,149
200009,333,156
200010,333,156
200011,333,156
200012,333,156
200101,333,157
200102,333,157
200103,333,157
200104,333,157
200105,338,162
200106,334,159
200107,314,138
200108,317,140
200109,343,166
200110,343,166
200111,343,166
200112,343,166
200201,343,167
200202,343,167
200203,343,167
200204,343,167
200205,338,162
200206,345,170
200207,404,228
200208,323,146
200209,300,123
200210,300,123
200211,300,123
200212,300,123
200301,300,124
200302,300,124
200303,300,124
200304,300,124
200305,300,124
200306,290,115
200307,323,147
200308,401,224
200309,399,222
200310,399,222
200311,399,222
200312,399,222
200401,399,223
200402,399,223
200403,399,223
200404,399,223
200405,399,223
200406,397,222
200407,267,91
200408,165,-12
200409,157,-20
200410,157,-20
200411,157,-20
200412,157,-20
200501,157,-19
200502,157,-19
200503,157,-19
200504,157,-19
200505,157,-19
200506,142,-33
200507,184,8
200508,219,42
200509,225,48
200510,225,48
200511,225,48
200512,225,48
200601,225,49
200602,225,49
200603,225,49
200604,225,49
200605,225,49
200606,265,90
200607,311,135
200608,299,122
200609,293,116
200610,293,116
200611,293,116
200612,293,116
200701,293,117
200702,293,117
200703,293,117
200704,293,117
200705,293,117
200706,285,110
200707,322,146
200708,380,203
200709,389,212
200710,389,212
200711,389,212
200712,389,212
200801,389,213
200802,389,213
200803,389,213
200804,389,213
200805,389,213
200806,364,189
200807,277,101
200808,240,63
200809,240,63
200810,240,63
200811,240,63
200812,240,63
200901,240,64
200902,240,64
200903,240,64
200904,240,64
200905,240,64
200906,235,60
200907,188,12
200908,146,-31
200909,165,-12
200910,165,-12
200911,165,-12
200912,165,-12
201001,165,-11
201002,165,-11
201003,165,-11
201004,165,-11
201005,165,-11
201006,167,-8
201007,175,-1
201008,193,16
201009,178,1
201010,178,1
201011,178,1
201012,178,1
201101,178,2
201102,178,2
201103,178,2
201104,178,2
201105,178,2
201106,175,0
201107,174,-2
201108,223,46
201109,231,54
201110,231,54
201111,231,54
201112,231,54
201201,231,55
201202,231,55
201203,231,55
201204,231,55
201205,231,55
201206,256,81
201207,320,144
201208,355,178
201209,356,179
201210,356,179
201211,356,179
201212,356,179
201301,356,180
201302,356,180
201303,356,180
201304,356,180
201305,356,180
201306,364,189
201307,370,194
201308,351,174
201309,342,165
201310,342,165
201311,342,165
201312,342,165
201401,342,166
201402,342,166
201403,342,166
201404,342,166
201405,342,166
201406,315,140
201407,292,116
201408,203,26
201409,208,31
201410,208,31
201411,208,31
201412,208,31
201501,208,32
201502,208,32
201503,208,32
201504,208,32
201505,208,32
201506,281,106
201507,199,23
201508,240,63
201509,246,69
201510,246,69
201511,246,69
201512,246,69
201601,246,70
201602,246,70
201603,246,70
201604,246,70
201605,246,70
201606,225,50
201607,280,104
201608,281,104
201609,265,88
201610,265,88
201611,265,88
201612,265,88
201701,265,89
201702,265,89
201703,265,89
201704,265,89
201705,265,89
201706,240,65
201707,308,132
201708,324,147
201709,323,146
201710,323,146
201711,323,146
201712,323,146
