Cache County, Utah January-December Heating Degree Days
Units: Fahrenheit Degree-Days
Base Period: 1901-2000
Missing: -9999
Date,Value,Anomaly
199001,7984,-357
199002,7811,-528
199003,7767,-574
199004,7747,-592
199005,7817,-522
199006,7785,-555
199007,7804,-535
199008,7781,-557
199009,7648,-690
199010,7679,-658
199011,7689,-651
199012,7983,-358
199101,8225,-116
199102,8109,-230
199103,8214,-127
199104,8438,99
199105,8477,138
199106,8511,171
199107,8517,178
199108,8495,157
199109,8651,313
199110,8619,282
199111,8707,367
199112,8493,152
199201,8444,103
199202,8375,36
199203,8167,-174
199204,7895,-444
199205,7629,-710
199206,7574,-766
199207,7627,-712
199208,7629,-709
199209,7623,-715
199210,7545,-792
199211,7667,-673
199212,7724,-617
199301,7742,-599
199302,8012,-327
199303,8202,-139
199304,8445,106
199305,8502,163
199306,8668,328
199307,8804,465
199308,8903,565
199309,8944,606
199310,9057,720
199311,9048,708
199312,8914,573
199401,8615,274
199402,8498,159
199403,8400,59
199404,8266,-73
199405,8233,-106
199406,8029,-311
199407,7825,-514
199408,7706,-632
199409,7568,-770
199410,7604,-733
199411,7648,-692
199412,7574,-767
199501,7665,-676
199502,7432,-907
199503,7524,-817
199504,7644,-695
199505,7883,-456
199506,8056,-284
199507,8113,-226
199508,8145,-193
199509,8203,-135
199510,8208,-129
199511,7830,-510
199512,7725,-616
199601,7742,-599
199602,7955,-384
199603,7940,-401
199604,7914,-425
199605,7840,-499
199606,7672,-668
199607,7621,-718
199608,7622,-716
199609,7729,-609
199610,7675,-662
199611,7780,-560
199612,7855,-486
199701,7894,-447
199702,7945,-394
199703,7928,-413
199704,8014,-325
199705,7896,-443
199706,7947,-393
199707,8005,-334
199708,8005,-333
199709,7899,-439
199710,7919,-418
199711,7974,-366
199712,8160,-181
199801,8030,-311
199802,7886,-453
199803,7977,-364
199804,7901,-438
199805,8017,-322
199806,8182,-158
199807,8110,-229
199808,8098,-240
199809,8039,-299
199810,8038,-299
199811,7966,-374
199812,7952,-389
199901,7961,-380
199902,8000,-339
199903,7889,-452
199904,7964,-375
199905,8018,-321
199906,7897,-443
199907,7928,-411
199908,7938,-400
199909,8082,-256
199910,7995,-342
199911,7847,-493
199912,7740,-601
200001,7744,-597
200002,7632,-707
200003,7685,-656
200004,7451,-888
200005,7294,-1045
200006,7213,-1127
200007,7180,-1159
200008,7146,-1192
200009,7105,-1233
200010,7163,-1174
200011,7589,-751
200012,7585,-756
200101,7865,-476
200102,8070,-269
200103,8005,-336
200104,8119,-220
200105,8078,-261
200106,8091,-249
200107,8097,-242
200108,8097,-241
200109,7959,-379
200110,7907,-430
200111,7609,-731
200112,7787,-554
200201,7740,-601
200202,7923,-416
200203,8157,-184
200204,8132,-207
200205,8235,-104
200206,8216,-124
200207,8203,-136
200208,8252,-86
200209,8355,17
200210,8501,164
200211,8640,300
200212,8367,26
200301,7982,-359
200302,7783,-556
200303,7559,-782
200304,7586,-753
200305,7546,-793
200306,7573,-767
200307,7569,-770
200308,7520,-818
200309,7540,-798
200310,7311,-1026
200311,7390,-950
200312,7368,-973
200401,7843,-498
200402,7921,-418
200403,7838,-503
200404,7775,-564
200405,7823,-516
200406,7831,-509
200407,7869,-470
200408,7947,-391
200409,7992,-346
200410,8117,-220
200411,7994,-346
200412,8054,-287
200501,7778,-563
200502,7746,-593
200503,7936,-405
200504,7999,-340
200505,7979,-360
200506,8083,-257
200507,8061,-278
200508,8022,-316
200509,7999,-339
200510,7957,-380
200511,7903,-437
200512,7996,-345
200601,7981,-360
200602,7970,-369
200603,7964,-377
200604,7903,-436
200605,7843,-496
200606,7679,-661
200607,7668,-671
200608,7680,-658
200609,7730,-608
200610,7841,-496
200611,7850,-490
200612,7771,-570
200701,8001,-340
200702,7830,-509
200703,7675,-666
200704,7683,-656
200705,7686,-653
200706,7700,-640
200707,7696,-643
200708,7653,-685
200709,7575,-763
200710,7515,-822
200711,7465,-875
200712,7558,-783
200801,7580,-761
200802,7730,-609
200803,7974,-367
200804,8190,-149
200805,8328,-11
200806,8414,74
200807,8431,92
200808,8454,116
200809,8454,116
200810,8425,88
200811,8367,27
200812,8332,-9
200901,8126,-215
200902,8090,-249
