Cache County, Utah January-December Maximum Temperature
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
199001,54.7,1.8
199002,55.3,2.4
199003,55.5,2.6
199004,55.5,2.5
199005,55.3,2.3
199006,55.5,2.5
199007,55.2,2.2
199008,55.3,2.3
199009,55.7,2.7
199010,55.7,2.7
199011,55.5,2.5
199012,54.9,1.9
199101,54.2,1.3
199102,54.6,1.7
199103,54.2,1.3
199104,53.5,0.5
199105,53.3,0.3
199106,53.1,0.1
199107,53.1,0.1
199108,53.2,0.2
199109,52.6,-0.4
199110,52.7,-0.3
199111,52.3,-0.7
199112,52.7,-0.3
199201,52.9,0.0
199202,53.0,0.1
199203,53.7,0.8
199204,54.6,1.6
199205,55.6,2.6
199206,55.8,2.8
199207,55.4,2.4
199208,55.5,2.5
199209,55.6,2.6
199210,55.8,2.8
199211,55.5,2.5
199212,55.4,2.4
199301,55.2,2.3
199302,54.4,1.5
199303,53.7,0.8
199304,52.9,-0.1
199305,52.6,-0.4
199306,51.9,-1.1
199307,51.5,-1.5
199308,50.9,-2.1
199309,50.8,-2.2
199310,50.3,-2.7
199311,50.6,-2.4
199312,50.9,-2.1
199401,51.6,-1.3
199402,52.0,-0.9
199403,52.6,-0.3
199404,53.0,0.0
199405,53.2,0.2
199406,54.2,1.2
199407,55.2,2.2
199408,55.9,2.9
199409,56.4,3.4
199410,56.3,3.3
199411,55.9,2.9
199412,56.1,3.1
199501,55.8,2.9
199502,56.5,3.6
199503,56.1,3.2
199504,55.7,2.7
199505,54.7,1.7
199506,54.0,1.0
199507,53.5,0.5
199508,53.3,0.3
199509,53.1,0.1
199510,53.3,0.3
199511,54.5,1.5
199512,54.8,1.8
199601,54.8,1.9
199602,54.2,1.3
199603,54.3,1.4
199604,54.5,1.5
199605,54.7,1.7
199606,55.4,2.4
199607,55.8,2.8
199608,55.8,2.8
199609,55.4,2.4
199610,55.4,2.4
199611,55.1,2.1
199612,54.8,1.8
199701,54.6,1.7
199702,54.4,1.5
199703,54.5,1.6
199704,54.2,1.2
199705,54.7,1.7
199706,54.4,1.4
199707,54.0,1.0
199708,53.7,0.7
199709,53.9,0.9
199710,53.9,0.9
199711,53.7,0.7
199712,53.4,0.4
199801,53.7,0.8
199802,54.0,1.1
199803,53.7,0.8
199804,53.9,0.9
199805,53.5,0.5
199806,52.8,-0.2
199807,53.3,0.3
199808,53.5,0.5
199809,53.8,0.8
199810,53.7,0.7
199811,53.8,0.8
199812,53.9,0.9
199901,53.9,1.0
199902,54.0,1.1
199903,54.4,1.5
199904,54.1,1.1
199905,54.0,1.0
199906,54.5,1.5
199907,54.3,1.3
199908,54.2,1.2
199909,54.0,1.0
199910,54.6,1.6
199911,55.3,2.3
199912,55.6,2.6
200001,55.6,2.7
200002,55.8,2.9
200003,55.6,2.7
200004,56.5,3.5
200005,56.9,3.9
200006,57.4,4.4
200007,57.7,4.7
200008,58.0,5.0
200009,58.0,5.0
200010,57.4,4.4
200011,55.9,2.9
200012,55.9,2.9
200101,55.3,2.4
200102,54.7,1.8
200103,54.8,1.9
200104,54.4,1.4
200105,54.6,1.6
200106,54.5,1.5
200107,54.4,1.4
200108,54.4,1.4
200109,55.0,2.0
200110,55.4,2.4
200111,56.3,3.3
200112,55.8,2.8
200201,55.8,2.9
200202,55.5,2.6
200203,54.8,1.9
200204,54.9,1.9
200205,54.6,1.6
200206,54.7,1.7
200207,54.9,1.9
200208,54.6,1.6
200209,54.0,1.0
200210,53.4,0.4
200211,53.0,0.0
200212,53.7,0.7
200301,54.7,1.8
200302,55.1,2.2
200303,55.7,2.8
200304,55.6,2.6
200305,55.7,2.7
200306,55.5,2.5
200307,55.6,2.6
200308,55.9,2.9
200309,56.0,3.0
200310,56.8,3.8
200311,56.4,3.4
200312,56.4,3.4
200401,55.2,2.3
200402,55.0,2.1
200403,55.3,2.4
200404,55.5,2.5
200405,55.3,2.3
200406,55.3,2.3
200407,54.7,1.7
200408,54.2,1.2
200409,54.0,1.0
200410,53.3,0.3
200411,53.8,0.8
200412,53.8,0.8
200501,54.4,1.5
200502,54.6,1.7
200503,53.9,1.0
200504,53.8,0.8
200505,53.8,0.8
200506,53.4,0.4
200507,53.6,0.6
200508,53.9,0.9
200509,54.1,1.1
200510,54.3,1.3
200511,54.5,1.5
200512,54.2,1.2
200601,54.4,1.5
200602,54.4,1.5
200603,54.4,1.5
200604,54.6,1.6
200605,54.9,1.9
200606,55.6,2.6
200607,55.7,2.7
200608,55.7,2.7
200609,55.5,2.5
200610,55.1,2.1
200611,55.1,2.1
200612,55.4,2.4
200701,55.0,2.1
200702,55.4,2.5
200703,56.0,3.1
200704,56.0,3.0
200705,56.1,3.1
200706,56.1,3.1
200707,56.2,3.2
200708,56.4,3.4
200709,56.7,3.7
200710,57.0,4.0
200711,57.3,4.3
200712,56.9,3.9
200801,56.8,3.9
200802,56.3,3.4
200803,55.5,2.6
200804,55.0,2.0
200805,54.4,1.4
200806,54.0,1.0
200807,53.7,0.7
200808,53.6,0.6
200809,53.7,0.7
200810,53.8,0.8
200811,53.7,0.7
200812,53.9,0.9
200901,54.4,1.5
200902,54.6,1.7
200903,54.8,1.9
200904,55.0,2.0
200905,55.4,2.4
200906,55.2,2.2
200907,54.9,1.9
200908,54.6,1.6
200909,55.0,2.0
200910,54.3,1.3
200911,54.3,1.3
200912,53.8,0.8
201001,53.6,0.7
201002,53.5,0.6
201003,53.7,0.8
201004,53.7,0.7
201005,52.9,-0.1
201006,53.0,0.0
201007,53.1,0.1
201008,53.2,0.2
201009,53.1,0.1
201010,53.8,0.8
201011,53.3,0.3
201012,53.9,0.9
201101,53.8,0.9
201102,53.8,0.9
201103,53.6,0.7
201104,53.3,0.3
201105,53.3,0.3
201106,53.2,0.2
201107,53.1,0.1
201108,53.3,0.3
201109,53.4,0.4
201110,53.3,0.3
201111,53.3,0.3
201112,53.1,0.1
201201,53.7,0.8
201202,53.8,0.9
201203,54.5,1.6
201204,55.4,2.4
201205,56.1,3.1
201206,56.7,3.7
201207,57.0,4.0
201208,57.2,4.2
201209,57.2,4.2
201210,57.2,4.2
201211,57.8,4.8
201212,57.9,4.9
201301,56.8,3.9
201302,56.4,3.5
201303,55.9,3.0
201304,55.3,2.3
201305,55.3,2.3
201306,55.4,2.4
201307,55.4,2.4
201308,55.4,2.4
201309,54.9,1.9
201310,54.6,1.6
201311,54.4,1.4
201312,54.0,1.0
201401,54.7,1.8
201402,55.3,2.4
201403,55.6,2.7
201404,55.8,2.8
201405,55.8,2.8
201406,55.4,2.4
201407,55.3,2.3
201408,54.7,1.7
201409,54.9,1.9
201410,55.5,2.5
201411,55.3,2.3
201412,56.2,3.2
201501,56.5,3.6
201502,57.2,4.3
201503,57.6,4.7
201504,57.9,4.9
201505,57.5,4.5
201506,58.2,5.2
201507,57.7,4.7
201508,58.1,5.1
201509,58.2,5.2
201510,58.3,5.3
201511,58.1,5.1
201512,57.6,4.6
201601,57.1,4.2
201602,56.4,3.5
201603,55.9,3.0
201604,55.9,2.9
201605,56.0,3.0
201606,55.9,2.9
201607,56.4,3.4
201608,56.5,3.5
201609,56.2,3.2
201610,55.9,2.9
201611,56.6,3.6
201612,56.5,3.5
201701,56.2,3.3
201702,56.3,3.4
201703,56.6,3.7
201704,56.1,3.1
201705,56.3,3.3
201706,56.1,3.1
201707,56.3,3.3
201708,56.2,3.2
201709,56.1,3.1
201710,55.8,2.8
201711,55.6,2.6
201712,55.8,2.8
201801,56.7,3.8
201802,56.5,3.6
201803,55.9,3.0
201804,56.3,3.3
201805,56.5,3.5
201806,56.5,3.5
201807,56.5,3.5
201808,56.6,3.6
201809,57.2,4.2
201810,57.2,4.2
201811,56.7,3.7
201812,56.4,3.4
201901,55.9,3.0
201902,55.6,2.7
201903,55.5,2.6
201904,55.4,2.4
201905,54.8,1.8
201906,54.4,1.4
201907,54.1,1.1
201908,54.1,1.1
201909,53.5,0.5
201910,53.0,0.0
201911,53.3,0.3
201912,53.4,0.4
202001,53.6,0.7
202002,53.7,0.8
202003,54.0,1.1
202004,54.0,1.0
202005,54.6,1.6
202006,54.5,1.5
202007,54.5,1.5
202008,54.8,1.8
202009,55.2,2.2
202010,56.1,3.1
202011,56.1,3.1
202012,56.4,3.4
202101,56.4,3.5
202102,56.4,3.5
202103,56.4,3.5
202104,56.5,3.5
202105,56.3,3.3
202106,57.2,4.2
202107,57.6,4.6
202108,57.1,4.1
202109,57.1,4.1
202110,56.7,3.7
202111,56.9,3.9
202112,57.0,4.0
202201,56.9,4.0
202202,56.8,3.9
202203,56.8,3.9
202204,56.5,3.5
202205,56.1,3.1
202206,55.5,2.5
202207,55.4,2.4
202208,55.6,2.6
202209,55.9,2.9
202210,56.3,3.3
202211,55.5,2.5
202212,55.1,2.1
202301,54.9,2.0
202302,54.5,1.6
202303,53.6,0.7
202304,53.3,0.3
202305,53.9,0.9
202306,53.6,0.6
202307,53.5,0.5
202308,53.3,0.3
202309,52.8,-0.2
202310,52.6,-0.4
202311,53.2,0.2
202312,53.7,0.7
202401,54.1,1.2
202402,54.8,1.9
202403,55.6,2.7
