Cache County, Utah January-December Minimum Temperature
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
199001,32.5,0.4
199002,32.9,0.8
199003,32.9,0.8
199004,33.0,0.9
199005,32.9,0.8
199006,33.0,0.9
199007,32.8,0.7
199008,32.9,0.8
199009,33.5,1.4
199010,33.4,1.3
199011,33.4,1.3
199012,32.5,0.4
199101,31.9,-0.2
199102,32.2,0.1
199103,32.0,-0.1
199104,31.4,-0.7
199105,31.4,-0.7
199106,31.4,-0.7
199107,31.4,-0.7
199108,31.6,-0.5
199109,31.1,-1.0
199110,31.1,-1.0
199111,31.0,-1.1
199112,31.8,-0.3
199201,31.8,-0.3
199202,32.1,0.0
199203,32.6,0.5
199204,33.2,1.1
199205,33.7,1.6
199206,33.8,1.7
199207,33.6,1.5
199208,33.6,1.5
199209,33.5,1.4
199210,33.7,1.6
199211,33.3,1.2
199212,33.1,1.0
199301,33.2,1.1
199302,32.4,0.3
199303,32.1,0.0
199304,31.6,-0.5
199305,31.5,-0.6
199306,31.1,-1.0
199307,30.7,-1.4
199308,30.3,-1.8
199309,30.2,-1.9
199310,30.0,-2.1
199311,29.8,-2.3
199312,30.2,-1.9
199401,31.1,-1.0
199402,31.4,-0.7
199403,31.4,-0.7
199404,31.6,-0.5
199405,31.6,-0.5
199406,32.0,-0.1
199407,32.7,0.6
199408,33.2,1.1
199409,33.6,1.5
199410,33.6,1.5
199411,33.7,1.6
199412,33.9,1.8
199501,33.7,1.6
199502,34.4,2.3
199503,34.3,2.2
199504,34.1,2.0
199505,33.7,1.6
199506,33.3,1.2
199507,33.1,1.0
199508,32.9,0.8
199509,32.7,0.6
199510,32.5,0.4
199511,33.4,1.3
199512,33.6,1.5
199601,33.5,1.4
199602,32.9,0.8
199603,32.8,0.7
199604,32.8,0.7
199605,32.9,0.8
199606,33.3,1.2
199607,33.6,1.5
199608,33.6,1.5
199609,33.3,1.2
199610,33.6,1.5
199611,33.3,1.2
199612,33.3,1.2
199701,33.2,1.1
199702,33.1,1.0
199703,33.1,1.0
199704,32.9,0.8
199705,33.1,1.0
199706,33.0,0.9
199707,32.8,0.7
199708,33.0,0.9
199709,33.5,1.4
199710,33.4,1.3
199711,33.3,1.2
199712,32.6,0.5
199801,32.9,0.8
199802,33.5,1.4
199803,33.3,1.2
199804,33.5,1.4
199805,33.3,1.2
199806,33.0,0.9
199807,33.4,1.3
199808,33.3,1.2
199809,33.4,1.3
199810,33.6,1.5
199811,33.8,1.7
199812,33.8,1.7
199901,33.8,1.7
199902,33.5,1.4
199903,33.6,1.5
199904,33.5,1.4
199905,33.3,1.2
199906,33.5,1.4
199907,33.2,1.1
199908,33.2,1.1
199909,32.6,0.5
199910,32.4,0.3
199911,32.5,0.4
199912,32.8,0.7
200001,32.8,0.7
200002,33.2,1.1
200003,33.1,1.0
200004,33.6,1.5
200005,34.0,1.9
200006,34.1,2.0
200007,34.3,2.2
200008,34.5,2.4
200009,34.8,2.7
200010,35.0,2.9
200011,34.2,2.1
200012,34.2,2.1
200101,33.3,1.2
200102,32.7,0.6
200103,32.9,0.8
200104,32.7,0.6
200105,32.7,0.6
200106,32.7,0.6
200107,32.7,0.6
200108,32.7,0.6
200109,33.0,0.9
200110,32.9,0.8
200111,33.7,1.6
200112,33.2,1.1
200201,33.4,1.3
200202,32.7,0.6
200203,32.1,0.0
200204,32.1,0.0
200205,31.9,-0.2
200206,31.9,-0.2
200207,32.1,0.0
200208,31.7,-0.4
200209,31.6,-0.5
200210,31.4,-0.7
200211,31.0,-1.1
200212,31.8,-0.3
200301,32.9,0.8
200302,33.6,1.5
