Cache County, Utah December Palmer Drought Severity Index (PDSI)
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
199001,-3.31,-3.54
199002,-3.47,-3.74
199003,-3.71,-4.02
199004,-3.47,-3.71
199005,-2.96,-3.25
199006,-2.53,-2.65
199007,-2.21,-2.36
199008,-2.17,-2.23
199009,-2.22,-2.30
199010,-2.26,-2.51
199011,-2.22,-2.30
199012,-2.35,-2.37
199101,-2.75,-2.98
199102,-3.05,-3.32
199103,0.23,-0.08
199104,0.47,0.23
199105,1.45,1.16
199106,1.40,1.28
199107,1.34,1.19
199108,1.39,1.33
199109,1.57,1.49
199110,1.80,1.55
199111,2.18,2.10
199112,-0.49,-0.51
199201,-1.05,-1.28
199202,-1.21,-1.48
199203,-2.07,-2.38
199204,-2.84,-3.08
199205,-3.44,-3.73
199206,-3.48,-3.60
199207,-3.10,-3.25
199208,-3.29,-3.35
199209,-3.33,-3.41
199210,0.22,-0.03
199211,0.20,0.12
199212,0.30,0.28
199301,0.71,0.48
199302,0.72,0.45
199303,1.10,0.79
199304,1.34,1.10
199305,1.45,1.16
199306,2.23,2.11
199307,3.49,3.34
199308,4.23,4.17
199309,3.66,3.58
199310,3.80,3.55
199311,-0.41,-0.49
199312,-0.90,-0.92
199401,-1.24,-1.47
199402,-0.47,-0.74
199403,-0.26,-0.57
199404,-0.46,-0.70
199405,-1.06,-1.35
199406,-1.82,-1.94
199407,-2.77,-2.92
199408,-3.24,-3.30
199409,-3.40,-3.48
199410,0.66,0.41
199411,1.15,1.07
199412,0.94,0.92
199501,1.52,1.29
199502,1.35,1.08
199503,2.56,2.25
199504,2.22,1.98
199505,3.24,2.95
199506,3.62,3.50
199507,3.97,3.82
199508,3.68,3.62
199509,3.01,2.93
199510,2.39,2.14
199511,1.73,1.65
199512,1.69,1.67
199601,2.39,2.16
199602,2.25,1.98
199603,2.18,1.87
199604,1.85,1.61
199605,2.49,2.20
199606,-0.69,-0.81
199607,-0.76,-0.91
199608,-1.32,-1.38
199609,-1.48,-1.56
199610,0.30,0.05
199611,0.67,0.59
199612,2.94,2.92
199701,4.32,4.09
199702,3.25,2.98
199703,2.27,1.96
199704,2.49,2.25
199705,2.31,2.02
199706,2.31,2.19
199707,3.13,2.98
199708,3.83,3.77
199709,4.02,3.94
199710,3.75,3.50
199711,3.07,2.99
199712,2.37,2.35
199801,3.85,3.62
199802,4.38,4.11
199803,4.26,3.95
199804,3.82,3.58
199805,4.45,4.16
199806,5.43,5.31
199807,5.49,5.34
199808,5.34,5.28
199809,4.85,4.77
199810,4.60,4.35
199811,3.77,3.69
199812,2.85,2.83
199901,3.10,2.87
199902,3.54,3.27
199903,2.61,2.30
199904,3.18,2.94
199905,3.54,3.25
199906,3.61,3.49
199907,3.55,3.40
199908,3.23,3.17
199909,-0.34,-0.42
199910,-1.17,-1.42
199911,-2.25,-2.33
199912,-3.04,-3.06
200001,-3.11,-3.34
200002,-2.11,-2.38
200003,-2.13,-2.44
200004,-2.65,-2.89
200005,-2.65,-2.94
200006,-3.03,-3.15
200007,-3.64,-3.79
200008,-2.91,-2.97
200009,-2.83,-2.91
200010,-2.11,-2.36
200011,-2.39,-2.47
200012,-2.43,-2.45
200101,-2.95,-3.18
200102,-2.61,-2.88
200103,-3.03,-3.34
200104,-2.72,-2.96
200105,-3.18,-3.47
200106,-3.30,-3.42
200107,-3.35,-3.50
200108,-3.72,-3.78
200109,-4.06,-4.14
200110,-3.96,-4.21
200111,-3.41,-3.49
200112,-2.62,-2.64
200201,-2.47,-2.70
200202,-3.03,-3.30
200203,-2.94,-3.25
200204,-2.56,-2.80
200205,-2.62,-2.91
200206,-2.94,-3.06
200207,-3.32,-3.47
200208,-3.75,-3.81
200209,-2.84,-2.92
200210,-2.43,-2.68
200211,-2.37,-2.45
200212,-2.56,-2.58
200301,-3.00,-3.23
200302,-2.57,-2.84
200303,-2.49,-2.80
200304,-2.82,-3.06
200305,-2.52,-2.81
200306,-2.62,-2.74
200307,-2.84,-2.99
200308,-2.85,-2.91
200309,-2.96,-3.04
200310,-3.36,-3.61
200311,-3.01,-3.09
200312,-1.99,-2.01
200401,-2.17,-2.40
200402,-1.42,-1.69
200403,-2.26,-2.57
200404,-2.33,-2.57
200405,0.28,-0.01
200406,0.15,0.03
200407,0.05,-0.10
200408,0.25,0.19
200409,0.49,0.41
200410,2.32,2.07
200411,2.21,2.13
200412,2.27,2.25
200501,3.65,3.42
200502,3.36,3.09
200503,3.25,2.94
200504,3.98,3.74
200505,4.06,3.77
200506,4.40,4.28
200507,4.11,3.96
200508,3.62,3.56
200509,2.83,2.75
200510,2.44,2.19
200511,1.99,1.91
200512,2.67,2.65
200601,3.58,3.35
200602,2.92,2.65
200603,3.61,3.30
200604,-0.05,-0.29
200605,-0.64,-0.93
200606,-1.08,-1.20
200607,-1.63,-1.78
200608,-1.76,-1.82
200609,0.82,0.74
200610,1.10,0.85
200611,-0.01,-0.09
200612,-0.49,-0.51
200701,-1.19,-1.42
200702,-0.66,-0.93
200703,-1.05,-1.36
