Cache County, Utah December Palmer Modified Drought Index (PMDI)
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
199001,-3.31,-3.48
199002,-3.47,-3.73
199003,-3.71,-4.02
199004,-3.47,-3.71
199005,-2.73,-3.03
199006,-2.08,-2.23
199007,-1.64,-1.81
199008,-1.77,-1.90
199009,-2.07,-2.16
199010,-2.26,-2.48
199011,-2.22,-2.31
199012,-2.35,-2.32
199101,-2.75,-2.92
199102,-3.05,-3.31
199103,-2.16,-2.47
199104,-1.27,-1.51
199105,1.22,0.92
199106,1.37,1.22
199107,1.34,1.17
199108,1.39,1.26
199109,1.57,1.48
199110,1.80,1.58
199111,2.18,2.09
199112,0.75,0.78
199201,-0.85,-1.02
199202,-1.21,-1.47
199203,-2.07,-2.38
199204,-2.84,-3.08
199205,-3.44,-3.74
199206,-3.48,-3.63
199207,-3.02,-3.19
199208,-3.29,-3.42
199209,-3.33,-3.42
199210,-2.44,-2.66
199211,-2.10,-2.19
199212,-1.52,-1.49
199301,-0.32,-0.49
199302,0.00,-0.26
199303,1.01,0.70
199304,1.34,1.10
199305,1.45,1.15
199306,2.23,2.08
199307,3.49,3.32
199308,4.23,4.10
199309,3.44,3.35
199310,3.80,3.58
199311,2.46,2.37
199312,0.95,0.98
199401,-0.19,-0.36
199402,1.02,0.76
199403,1.12,0.81
199404,0.47,0.23
199405,-0.92,-1.22
199406,-1.82,-1.97
199407,-2.77,-2.94
199408,-3.24,-3.37
199409,-3.40,-3.49
199410,-1.55,-1.77
199411,-0.05,-0.14
199412,-0.11,-0.08
199501,1.38,1.21
199502,1.28,1.02
199503,2.56,2.25
199504,2.05,1.81
199505,3.24,2.94
199506,3.62,3.47
199507,3.97,3.80
199508,3.68,3.55
199509,2.60,2.51
199510,1.57,1.35
199511,0.41,0.32
199512,0.53,0.56
199601,2.11,1.94
199602,2.02,1.76
199603,2.07,1.76
199604,1.54,1.30
199605,2.49,2.19
199606,0.58,0.43
199607,0.10,-0.07
199608,-1.32,-1.45
199609,-1.48,-1.57
199610,-0.48,-0.70
199611,0.67,0.58
199612,2.94,2.97
199701,4.32,4.15
199702,2.48,2.22
199703,0.73,0.42
199704,1.45,1.21
199705,1.34,1.04
199706,1.57,1.42
199707,3.13,2.96
199708,3.83,3.70
199709,4.02,3.93
199710,3.75,3.53
199711,2.66,2.57
199712,1.45,1.48
199801,3.85,3.68
199802,4.38,4.12
199803,4.26,3.95
199804,3.76,3.52
199805,4.45,4.15
199806,5.43,5.28
199807,5.49,5.32
199808,5.34,5.21
199809,4.85,4.76
199810,4.60,4.38
199811,3.31,3.22
199812,1.75,1.78
199901,2.57,2.40
199902,3.54,3.28
199903,1.88,1.57
199904,3.18,2.94
199905,3.54,3.24
199906,3.61,3.46
199907,3.55,3.38
199908,3.23,3.10
199909,2.08,1.99
199910,-0.11,-0.33
