Cache County, Utah December Palmer Z-Index
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
199001,-1.43,-1.75
199002,-1.50,-1.71
199003,-1.79,-2.03
199004,-0.42,-0.40
199005,0.44,0.27
199006,0.39,0.51
199007,0.19,0.13
199008,-0.57,-0.64
199009,-0.82,-0.84
199010,-0.82,-1.06
199011,-0.58,-0.37
199012,-1.07,-0.91
199101,-1.94,-2.26
199102,-1.74,-1.95
199103,0.70,0.46
199104,0.78,0.80
199105,3.10,2.93
199106,0.29,0.41
199107,0.24,0.18
199108,0.57,0.50
199109,0.98,0.96
199110,1.16,0.92
199111,1.72,1.93
199112,-1.46,-1.30
199201,-1.85,-2.17
199202,-0.81,-1.02
199203,-2.95,-3.19
199204,-2.95,-2.93
199205,-2.68,-2.85
199206,-1.18,-1.06
199207,0.06,0.00
199208,-1.53,-1.60
199209,-1.14,-1.16
199210,0.67,0.43
199211,0.00,0.21
199212,0.37,0.53
199301,1.31,0.99
199302,0.25,0.04
199303,1.36,1.12
199304,1.05,1.07
199305,0.77,0.60
199306,2.76,2.88
199307,4.48,4.42
199308,3.29,3.22
199309,-0.41,-0.43
199310,1.56,1.32
199311,-1.23,-1.02
199312,-1.60,-1.44
199401,-1.30,-1.62
199402,1.93,1.72
199403,0.48,0.24
199404,-0.67,-0.65
199405,-1.96,-2.13
199406,-2.60,-2.48
199407,-3.41,-3.47
199408,-2.26,-2.33
199409,-1.49,-1.51
199410,1.97,1.73
199411,1.69,1.90
199412,-0.28,-0.12
199501,2.02,1.70
199502,-0.03,-0.24
199503,4.06,3.82
199504,-0.24,-0.22
199505,3.73,3.56
199506,2.14,2.26
199507,2.17,2.11
199508,0.35,0.28
199509,-0.88,-0.90
199510,-0.92,-1.16
199511,-1.24,-1.03
199512,0.40,0.56
199601,2.64,2.32
199602,0.32,0.11
199603,0.47,0.23
199604,-0.31,-0.29
199605,2.48,2.31
199606,-2.08,-1.96
199607,-0.40,-0.46
199608,-1.94,-2.01
199609,-0.89,-0.91
199610,0.89,0.65
199611,1.20,1.41
199612,7.02,7.18
199701,5.06,4.74
199702,-1.87,-2.08
199703,-1.93,-2.17
199704,1.35,1.37
199705,0.25,0.08
199706,0.72,0.84
199707,3.16,3.10
199708,3.05,2.98
199709,1.75,1.73
199710,0.46,0.22
199711,-0.90,-0.69
199712,-1.16,-1.00
199801,5.17,4.85
199802,2.79,2.58
199803,0.98,0.74
199804,-0.01,0.01
199805,3.09,2.92
199806,4.29,4.41
199807,1.88,1.82
199808,1.25,1.18
199809,0.18,0.16
199810,0.73,0.49
199811,-1.06,-0.85
