Cache County, Utah January-December Precipitation
Units: Inches
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
199001,22.87,-5.05
199002,21.80,-6.14
199003,18.98,-8.98
199004,20.27,-7.65
199005,20.75,-7.18
199006,21.32,-6.61
199007,21.49,-6.44
199008,21.58,-6.37
199009,21.45,-6.50
199010,21.06,-6.89
199011,21.74,-6.17
199012,23.68,-4.25
199101,22.16,-5.76
199102,21.93,-6.01
199103,23.34,-4.62
199104,23.46,-4.46
199105,25.36,-2.57
199106,25.21,-2.72
199107,25.22,-2.71
199108,25.95,-2.00
199109,26.90,-1.05
199110,28.52,0.57
199111,29.92,2.01
199112,28.53,0.60
199201,28.21,0.29
199202,28.93,0.99
199203,27.06,-0.90
199204,25.00,-2.92
199205,22.05,-5.88
199206,21.74,-6.19
199207,22.88,-5.05
199208,21.64,-6.31
199209,20.18,-7.77
199210,20.10,-7.85
199211,18.80,-9.11
199212,21.11,-6.82
199301,23.73,-4.19
199302,24.55,-3.39
199303,26.98,-0.98
199304,29.39,1.47
199305,31.29,3.36
199306,33.25,5.32
199307,34.20,6.27
199308,35.29,7.34
199309,35.01,7.06
199310,34.98,7.03
199311,33.14,5.23
199312,31.15,3.22
199401,29.00,1.08
199402,30.29,2.35
199403,30.03,2.07
199404,29.12,1.20
199405,27.16,-0.77
199406,23.95,-3.98
199407,21.47,-6.46
199408,20.55,-7.40
199409,20.89,-7.06
199410,21.61,-6.34
199411,24.71,-3.20
199412,25.45,-2.48
199501,28.19,0.27
199502,26.86,-1.08
199503,29.12,1.16
199504,28.99,1.07
199505,32.49,4.56
199506,35.29,7.36
199507,36.35,8.42
199508,36.37,8.42
199509,36.34,8.39
199510,33.80,5.85
199511,32.16,4.25
199512,33.94,6.01
199601,34.46,6.54
199602,34.55,6.61
199603,31.98,4.02
199604,32.03,4.11
199605,31.33,3.40
199606,28.50,0.57
199607,28.55,0.62
199608,28.16,0.21
199609,28.20,0.25
199610,29.95,2.00
199611,31.56,3.65
199612,36.67,8.74
199701,38.68,10.76
199702,36.99,9.05
199703,35.29,7.33
199704,36.34,8.42
199705,35.05,7.12
199706,37.07,9.14
199707,38.08,10.15
199708,40.22,12.27
199709,41.91,13.96
199710,41.14,13.19
199711,38.74,10.83
199712,31.68,3.75
199801,31.77,3.85
199802,35.37,7.43
199803,37.15,9.19
199804,36.32,8.40
199805,38.08,10.15
199806,40.43,12.50
199807,39.15,11.22
199808,38.26,10.31
199809,37.40,9.45
199810,37.82,9.87
199811,38.06,10.15
199812,37.84,9.91
199901,35.24,7.32
199902,34.84,6.90
199903,33.32,5.36
199904,35.15,7.23
199905,34.18,6.25
199906,32.15,4.22
199907,31.72,3.79
199908,31.46,3.51
199909,30.44,2.49
199910,28.10,0.15
199911,26.80,-1.11
199912,26.62,-1.31
200001,26.03,-1.89
200002,25.95,-1.99
200003,26.46,-1.50
200004,23.39,-4.53
200005,21.89,-6.04
200006,19.72,-8.21
200007,19.43,-8.50
200008,20.83,-7.12
200009,21.33,-6.62
200010,24.40,-3.55
200011,25.13,-2.78
200012,26.14,-1.79
200101,23.34,-4.58
200102,21.74,-6.20
200103,20.99,-6.97
200104,22.42,-5.50
200105,21.36,-6.57
200106,22.13,-5.80
200107,22.95,-4.98
200108,20.73,-7.22
200109,19.94,-8.01
200110,18.28,-9.67
200111,20.94,-6.97
200112,22.81,-5.12
200201,24.20,-3.72
200202,22.24,-5.70
200203,22.73,-5.23
200204,23.02,-4.90
200205,23.60,-4.33
200206,23.00,-4.93
200207,22.61,-5.32
200208,22.47,-5.48
200209,25.02,-2.93
200210,25.63,-2.32
200211,24.03,-3.88
200212,21.67,-6.26
200301,20.59,-7.33
200302,22.76,-5.18
200303,23.35,-4.61
200304,21.56,-6.36
200305,22.46,-5.47
200306,22.81,-5.12
200307,22.49,-5.44
200308,23.53,-4.42
200309,21.42,-6.53
200310,20.11,-7.84
200311,21.01,-6.90
200312,24.24,-3.69
200401,24.66,-3.26
200402,25.59,-2.35
200403,24.14,-3.82
200404,25.10,-2.82
200405,25.55,-2.38
200406,26.09,-1.84
200407,26.26,-1.67
200408,26.61,-1.34
200409,27.85,-0.10
200410,33.65,5.70
200411,32.24,4.33
200412,30.06,2.13
200501,35.06,7.14
200502,34.04,6.10
200503,35.99,8.03
200504,39.20,11.28
200505,39.75,11.82
200506,41.50,13.57
200507,41.10,13.17
200508,40.39,12.44
200509,38.90,10.95
200510,34.24,6.29
200511,34.99,7.08
200512,37.59,9.66
200601,36.52,8.60
200602,35.64,7.70
200603,37.33,9.37
200604,34.76,6.84
200605,32.49,4.56
200606,30.34,2.41
200607,30.96,3.03
200608,31.15,3.20
200609,33.96,6.01
200610,34.50,6.55
200611,34.54,6.63
200612,30.36,2.43
200701,25.54,-2.38
200702,27.16,-0.78
200703,24.58,-3.38
200704,23.06,-4.86
200705,23.33,-4.60
200706,23.45,-4.48
200707,23.37,-4.56
200708,23.06,-4.89
200709,21.37,-6.58
200710,20.81,-7.14
200711,18.83,-9.08
200712,20.99,-6.94
200801,24.52,-3.40
200802,24.33,-3.61
200803,24.05,-3.91
200804,23.79,-4.13
200805,24.91,-3.02
200806,24.97,-2.96
200807,24.45,-3.48
200808,24.86,-3.09
200809,24.31,-3.64
200810,23.84,-4.11
200811,25.80,-2.11
200812,25.77,-2.16
200901,25.35,-2.57
200902,24.99,-2.95
200903,26.29,-1.67
200904,28.90,0.98
200905,28.47,0.54
200906,32.00,4.07
200907,32.09,4.16
200908,32.47,4.52
200909,32.38,4.43
200910,33.47,5.52
200911,31.32,3.41
200912,29.85,1.92
201001,28.56,0.64
201002,26.75,-1.19
201003,24.79,-3.17
201004,24.21,-3.71
201005,25.74,-2.19
201006,22.93,-5.00
201007,22.85,-5.08
201008,22.62,-5.33
201009,21.93,-6.02
201010,23.06,-4.89
201011,26.69,-1.22
201012,31.62,3.69
201101,31.02,3.10
201102,33.13,5.19
201103,36.42,8.46
201104,38.94,11.02
201105,41.04,13.11
201106,40.63,12.70
201107,41.34,13.41
201108,42.04,14.09
201109,42.60,14.65
201110,40.84,12.89
201111,39.87,11.96
201112,33.21,5.28
201201,34.91,6.99
201202,32.85,4.91
201203,30.02,2.06
201204,26.61,-1.31
201205,22.71,-5.22
201206,21.30,-6.63
201207,21.32,-6.61
201208,19.61,-8.34
201209,19.39,-8.56
201210,20.10,-7.85
201211,18.80,-9.11
201212,23.24,-4.69
201301,21.63,-6.29
201302,21.50,-6.44
201303,20.70,-7.26
201304,20.50,-7.42
201305,20.86,-7.07
201306,20.78,-7.15
201307,20.68,-7.25
201308,20.77,-7.18
201309,22.59,-5.36
201310,21.35,-6.60
201311,21.06,-6.85
201312,18.83,-9.10
201401,18.50,-9.42
201402,22.19,-5.75
201403,25.52,-2.44
201404,25.71,-2.21
201405,25.18,-2.75
201406,26.74,-1.19
201407,27.37,-0.56
201408,30.41,2.46
201409,31.12,3.17
201410,30.06,2.11
201411,31.08,3.17
201412,31.18,3.25
201501,30.70,2.78
201502,27.15,-0.79
201503,24.25,-3.71
201504,24.13,-3.79
201505,28.96,1.03
201506,28.32,0.39
201507,28.48,0.55
201508,26.47,-1.48
201509,25.43,-2.52
201510,26.29,-1.66
201511,25.53,-2.38
201512,26.51,-1.42
201601,29.05,1.13
201602,29.57,1.63
201603,33.26,5.30
201604,33.90,5.98
201605,30.79,2.86
201606,30.55,2.62
201607,29.08,1.15
201608,27.92,-0.03
201609,29.94,1.99
201610,32.88,4.93
201611,32.99,5.08
201612,34.65,6.72
201701,39.72,11.80
201702,45.48,17.54
201703,44.59,16.63
201704,46.15,18.23
201705,44.11,16.18
201706,44.37,16.44
201707,44.75,16.82
201708,45.05,17.10
201709,43.39,15.44
201710,39.57,11.62
201711,41.82,13.91
201712,38.19,10.26
201801,31.17,3.25
201802,25.57,-2.37
201803,25.00,-2.96
201804,23.43,-4.49
201805,24.23,-3.70
201806,23.67,-4.26
201807,23.44,-4.49
201808,23.28,-4.67
201809,20.74,-7.21
201810,23.73,-4.22
201811,22.52,-5.39
201812,22.40,-5.53
201901,24.04,-3.88
201902,26.58,-1.36
201903,27.44,-0.52
201904,29.11,1.19
201905,31.28,3.35
201906,31.63,3.70
201907,31.83,3.90
201908,31.82,3.87
201909,36.04,8.09
201910,33.90,5.95
201911,33.32,5.41
201912,34.39,6.46
202001,33.83,5.91
202002,31.08,3.14
202003,29.66,1.70
202004,26.27,-1.65
202005,23.00,-4.93
202006,25.94,-1.99
202007,25.97,-1.96
202008,25.80,-2.15
202009,22.13,-5.82
202010,21.53,-6.42
202011,21.36,-6.55
202012,19.90,-8.03
202101,18.72,-9.20
202102,20.18,-7.76
202103,18.28,-9.68
202104,18.77,-9.15
202105,18.79,-9.14
202106,15.30,-12.63
202107,15.66,-12.27
202108,18.22,-9.73
202109,18.32,-9.63
202110,22.94,-5.01
202111,21.76,-6.15
202112,24.90,-3.03
202201,24.98,-2.94
202202,22.09,-5.85
202203,22.46,-5.50
202204,23.02,-4.90
202205,24.86,-3.07
202206,25.49,-2.44
202207,24.76,-3.17
202208,24.56,-3.39
202209,25.88,-2.07
202210,21.86,-6.09
202211,24.51,-3.40
202212,24.49,-3.44
202301,28.60,0.68
202302,31.54,3.60
202303,36.65,8.69
202304,37.46,9.54
202305,36.20,8.27
202306,37.43,9.50
202307,37.76,9.83
202308,37.97,10.02
202309,38.58,10.63
202310,39.80,11.85
202311,38.34,10.43
202312,36.78,8.85
202401,34.72,6.80
202402,37.30,9.36
202403,35.22,7.26
