Carbon County, Utah January-December Average Temperature
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
199001,45.3,1.9
199002,45.6,2.2
199003,45.4,2.0
199004,45.3,1.9
199005,45.1,1.7
199006,45.4,2.0
199007,45.3,1.9
199008,45.5,2.1
199009,45.7,2.3
199010,45.7,2.3
199011,45.4,2.0
199012,44.6,1.2
199101,44.2,0.8
199102,44.6,1.2
199103,44.1,0.7
199104,43.5,0.1
199105,43.4,0.0
199106,43.2,-0.2
199107,43.2,-0.2
199108,43.3,-0.1
199109,43.0,-0.4
199110,43.2,-0.2
199111,43.0,-0.4
199112,43.6,0.2
199201,43.8,0.4
199202,43.7,0.3
199203,44.3,0.9
199204,45.2,1.8
199205,45.6,2.2
199206,45.7,2.3
199207,45.4,2.0
199208,45.4,2.0
199209,45.5,2.1
199210,45.6,2.2
199211,45.4,2.0
199212,45.0,1.6
199301,45.1,1.7
199302,44.6,1.2
199303,44.5,1.1
199304,43.8,0.4
199305,43.6,0.2
199306,43.4,0.0
199307,43.4,0.0
199308,43.1,-0.3
199309,43.0,-0.4
199310,42.5,-0.9
199311,42.5,-0.9
199312,42.9,-0.5
199401,43.2,-0.2
199402,43.2,-0.2
199403,43.4,0.0
199404,43.6,0.2
199405,43.7,0.3
199406,44.4,1.0
199407,44.9,1.5
199408,45.3,1.9
199409,45.5,2.1
199410,45.5,2.1
199411,45.4,2.0
199412,45.5,2.1
199501,45.3,1.9
199502,46.2,2.8
199503,45.9,2.5
199504,45.5,2.1
199505,44.8,1.4
199506,43.9,0.5
199507,43.6,0.2
199508,43.5,0.1
199509,43.4,0.0
199510,43.6,0.2
199511,44.6,1.2
199512,44.9,1.5
199601,44.8,1.4
199602,44.4,1.0
199603,44.5,1.1
199604,44.7,1.3
199605,45.3,1.9
199606,46.1,2.7
199607,46.5,3.1
199608,46.5,3.1
199609,46.2,2.8
199610,46.1,2.7
199611,45.7,2.3
199612,45.2,1.8
199701,45.2,1.8
199702,44.6,1.2
199703,44.7,1.3
199704,44.4,1.0
199705,44.5,1.1
199706,44.2,0.8
199707,43.9,0.5
199708,43.6,0.2
199709,43.7,0.3
199710,43.8,0.4
199711,43.7,0.3
199712,43.7,0.3
199801,43.9,0.5
199802,44.0,0.6
199803,43.8,0.4
199804,43.9,0.5
199805,43.6,0.2
199806,43.1,-0.3
199807,43.4,0.0
199808,43.7,0.3
199809,43.8,0.4
199810,43.8,0.4
199811,43.9,0.5
199812,44.0,0.6
199901,44.2,0.8
199902,44.5,1.1
199903,44.9,1.5
199904,44.8,1.4
199905,44.6,1.2
199906,45.0,1.6
199907,44.8,1.4
199908,44.5,1.1
199909,44.2,0.8
199910,44.6,1.2
199911,45.1,1.7
199912,45.2,1.8
200001,45.1,1.7
200002,45.2,1.8
200003,44.9,1.5
200004,45.7,2.3
200005,46.3,2.9
200006,46.5,3.1
200007,46.7,3.3
200008,47.1,3.7
200009,47.3,3.9
200010,46.9,3.5
200011,45.8,2.4
200012,45.9,2.5
200101,45.6,2.2
200102,45.3,1.9
200103,45.5,2.1
200104,45.2,1.8
200105,45.1,1.7
200106,45.2,1.8
200107,45.0,1.6
200108,45.0,1.6
200109,45.3,1.9
