Carbon County, Utah January-December Cooling Degree Days
Units: Fahrenheit Degree-Days
Base Period: 1901-2000
Missing: -9999
Date,Value,Anomaly
199001,228,20
199002,228,20
199003,228,20
199004,228,20
199005,228,20
199006,262,54
199007,208,-1
199008,238,28
199009,253,43
199010,253,43
199011,253,43
199012,253,43
199101,253,45
199102,253,45
199103,253,45
199104,253,45
199105,253,45
199106,226,18
199107,222,13
199108,231,21
199109,216,6
199110,216,6
199111,216,6
199112,216,6
199201,216,8
199202,216,8
199203,216,8
199204,216,8
199205,224,16
199206,226,18
199207,162,-47
199208,167,-43
199209,170,-40
199210,170,-40
199211,170,-40
199212,170,-40
199301,170,-38
199302,170,-38
199303,170,-38
199304,170,-38
199305,162,-46
199306,146,-62
199307,143,-66
199308,101,-109
199309,96,-114
199310,96,-114
199311,96,-114
199312,96,-114
199401,96,-112
199402,96,-112
199403,96,-112
199404,96,-112
199405,103,-105
199406,190,-18
199407,304,95
199408,398,188
199409,406,196
199410,406,196
199411,406,196
199412,406,196
199501,406,198
199502,406,198
199503,406,198
199504,406,198
199505,399,191
199506,305,97
199507,207,-2
199508,180,-30
199509,177,-33
199510,177,-33
199511,177,-33
199512,177,-33
199601,177,-31
199602,177,-31
199603,177,-31
199604,177,-31
199605,182,-26
199606,254,46
199607,355,146
199608,368,158
199609,356,146
199610,356,146
199611,356,146
199612,356,146
199701,356,148
199702,356,148
199703,356,148
199704,356,148
199705,357,149
199706,325,117
199707,224,15
199708,161,-49
199709,168,-42
199710,168,-42
199711,168,-42
199712,168,-42
199801,168,-40
199802,168,-40
199803,168,-40
199804,168,-40
199805,162,-46
199806,123,-85
199807,214,5
199808,257,47
199809,265,55
199810,265,55
199811,265,55
199812,265,55
199901,265,57
199902,265,57
199903,265,57
199904,265,57
199905,265,57
199906,283,75
199907,233,24
199908,180,-30
199909,165,-45
199910,165,-45
199911,165,-45
199912,165,-45
200001,165,-43
200002,165,-43
200003,165,-43
200004,165,-43
200005,174,-34
200006,205,-3
200007,264,55
200008,344,134
200009,353,143
200010,353,143
200011,353,143
200012,353,143
200101,353,145
200102,353,145
200103,353,145
200104,353,145
200105,352,144
200106,354,146
200107,314,105
200108,295,85
200109,317,107
200110,317,107
200111,317,107
200112,317,107
200201,317,109
200202,317,109
200203,317,109
200204,317,109
200205,309,101
200206,349,141
200207,463,254
200208,448,238
200209,422,212
200210,422,212
200211,422,212
200212,422,212
200301,422,214
200302,422,214
200303,422,214
200304,422,214
200305,428,220
200306,366,158
200307,405,196
200308,428,218
200309,436,226
200310,436,226
200311,436,226
200312,436,226
200401,436,228
200402,436,228
200403,436,228
200404,436,228
200405,430,222
200406,436,228
200407,265,56
200408,197,-13
200409,189,-21
200410,189,-21
200411,189,-21
200412,189,-21
200501,189,-19
200502,189,-19
200503,189,-19
200504,189,-19
200505,189,-19
200506,158,-50
200507,248,39
200508,248,38
200509,250,40
200510,250,40
200511,250,40
200512,250,40
200601,250,42
200602,250,42
200603,250,42
200604,250,42
200605,259,51
200606,343,135
200607,333,124
200608,346,136
200609,339,129
200610,339,129
200611,339,129
200612,339,129
200701,339,131
200702,339,131
200703,339,131
200704,339,131
200705,335,127
200706,328,120
200707,369,160
200708,436,226
200709,444,234
200710,444,234
200711,444,234
200712,444,234
200801,444,236
200802,444,236
200803,444,236
200804,444,236
200805,439,231
200806,385,177
200807,330,121
200808,302,92
200809,304,94
200810,304,94
200811,304,94
200812,304,94
200901,304,96
200902,304,96
200903,304,96
200904,304,96
200905,311,103
200906,289,81
200907,258,49
200908,231,21
200909,241,31
200910,241,31
200911,241,31
200912,241,31
201001,241,33
201002,241,33
201003,241,33
201004,241,33
201005,234,26
201006,265,57
201007,244,35
201008,224,14
201009,231,21
201010,231,21
201011,231,21
201012,231,21
201101,231,23
201102,231,23
201103,231,23
201104,231,23
201105,231,23
201106,214,6
201107,180,-29
201108,235,25
201109,224,14
201110,224,14
201111,224,14
201112,224,14
201201,224,16
201202,224,16
201203,224,16
201204,224,16
201205,233,25
201206,315,107
201207,358,149
201208,391,181
201209,397,187
201210,397,187
201211,397,187
201212,397,187
201301,397,189
201302,397,189
201303,397,189
201304,397,189
201305,388,180
201306,388,180
201307,428,219
201308,364,154
201309,349,139
201310,349,139
201311,349,139
201312,349,139
201401,349,141
201402,349,141
201403,349,141
201404,349,141
201405,349,141
201406,289,81
201407,297,88
201408,252,42
201409,263,53
201410,263,53
201411,263,53
201412,263,53
201501,263,55
201502,263,55
201503,263,55
201504,263,55
201505,263,55
201506,329,121
201507,220,11
201508,273,63
201509,294,84
201510,294,84
201511,294,84
201512,294,84
201601,294,86
201602,294,86
201603,294,86
201604,294,86
201605,294,86
201606,313,105
201607,395,186
201608,386,176
201609,354,144
201610,354,144
201611,354,144
201612,354,144
201701,354,146
201702,354,146
201703,354,146
201704,354,146
201705,354,146
201706,321,113
201707,351,142
201708,369,159
201709,369,159
201710,369,159
201711,369,159
201712,369,159
201801,369,161
201802,369,161
201803,369,161
201804,369,161
201805,378,170
201806,383,175
201807,432,223
201808,457,247
201809,497,287
201810,497,287
201811,497,287
201812,497,287
201901,497,289
201902,497,289
201903,497,289
201904,497,289
201905,488,280
201906,407,199
201907,326,117
201908,352,142
201909,324,114
201910,324,114
201911,324,114
201912,324,114
202001,324,116
202002,324,116
202003,324,116
202004,324,116
202005,333,125
202006,346,138
202007,363,154
202008,459,249
202009,463,253
202010,463,253
202011,463,253
202012,463,253
202101,463,255
202102,463,255
202103,463,255
202104,463,255
202105,460,252
202106,554,346
202107,604,395
202108,458,248
202109,460,250
202110,460,250
202111,460,250
202112,460,250
202201,460,252
202202,460,252
202203,460,252
202204,460,252
202205,454,246
202206,393,185
202207,362,153
202208,394,184
202209,417,207
202210,417,207
202211,417,207
202212,417,207
202301,417,209
202302,417,209
202303,417,209
202304,417,209
202305,424,216
202306,376,168
