Carbon County, Utah January-December Heating Degree Days
Units: Fahrenheit Degree-Days
Base Period: 1901-2000
Missing: -9999
Date,Value,Anomaly
199001,7383,-673
199002,7283,-772
199003,7338,-718
199004,7388,-665
199005,7446,-607
199006,7368,-684
199007,7379,-673
199008,7343,-708
199009,7270,-779
199010,7270,-779
199011,7379,-672
199012,7688,-363
199101,7827,-229
199102,7681,-374
199103,7870,-186
199104,8091,38
199105,8111,58
199106,8166,114
199107,8167,115
199108,8160,109
199109,8238,189
199110,8177,128
199111,8227,176
199112,8018,-33
199201,7933,-123
199202,7967,-88
199203,7752,-304
199204,7423,-630
199205,7265,-788
199206,7258,-794
199207,7304,-748
199208,7299,-752
199209,7277,-772
199210,7217,-832
199211,7291,-760
199212,7447,-604
199301,7421,-635
199302,7574,-481
199303,7602,-454
199304,7872,-181
199305,7936,-117
199306,8002,-50
199307,8006,-46
199308,8051,0
199309,8088,39
199310,8273,224
199311,8279,228
199312,8121,70
199401,8001,-55
199402,8003,-52
199403,7946,-110
199404,7860,-193
199405,7820,-233
199406,7655,-397
199407,7595,-457
199408,7525,-526
199409,7467,-582
199410,7466,-583
199411,7522,-529
199412,7478,-573
199501,7554,-502
199502,7249,-806
199503,7378,-678
199504,7492,-561
199505,7752,-301
199506,7976,-76
199507,8019,-33
199508,8028,-23
199509,8047,-2
199510,7982,-67
199511,7620,-431
199512,7510,-541
199601,7527,-529
199602,7670,-385
199603,7641,-415
199604,7573,-480
199605,7339,-714
199606,7137,-915
199607,7093,-959
199608,7088,-963
199609,7189,-860
199610,7235,-814
199611,7390,-661
199612,7543,-508
199701,7567,-489
199702,7748,-307
199703,7709,-347
199704,7827,-226
199705,7810,-243
199706,7852,-200
199707,7896,-156
199708,7940,-111
199709,7881,-168
199710,7866,-183
199711,7883,-168
199712,7892,-159
199801,7812,-244
199802,7773,-282
199803,7870,-186
199804,7829,-224
199805,7937,-116
199806,8086,34
199807,8044,-8
199808,8009,-42
199809,7947,-102
199810,7955,-94
199811,7923,-128
199812,7870,-181
199901,7798,-258
199902,7696,-359
199903,7550,-506
199904,7600,-453
199905,7658,-395
199906,7556,-496
199907,7569,-483
199908,7616,-435
199909,7718,-331
199910,7563,-486
199911,7387,-664
199912,7373,-678
200001,7402,-654
200002,7356,-699
200003,7482,-574
200004,7206,-847
200005,6993,-1060
200006,6930,-1122
200007,6915,-1137
200008,6857,-1194
200009,6793,-1256
200010,6922,-1127
200011,7340,-711
200012,7302,-749
200101,7405,-651
200102,7516,-539
200103,7434,-622
200104,7541,-512
200105,7556,-497
200106,7553,-499
200107,7561,-491
200108,7568,-483
200109,7478,-571
200110,7384,-665
200111,7091,-960
200112,7273,-778
200201,7367,-689
200202,7409,-646
200203,7587,-469
200204,7517,-536
200205,7584,-469
200206,7542,-510
200207,7527,-525
200208,7535,-516
200209,7674,-375
200210,7818,-231
200211,7904,-147
200212,7763,-288
200301,7403,-653
200302,7377,-678
200303,7246,-810
200304,7364,-689
200305,7327,-726
200306,7405,-647
200307,7405,-647
200308,7393,-658
200309,7319,-730
200310,7063,-986
200311,7149,-902
200312,7142,-909
200401,7465,-591
200402,7531,-524
200403,7332,-724
200404,7264,-789
200405,7291,-762
200406,7280,-772
200407,7302,-750
200408,7356,-695
200409,7426,-623
200410,7660,-389
200411,7581,-470
200412,7562,-489
200501,7329,-727
200502,7175,-880
200503,7399,-657
200504,7449,-604
200505,7469,-584
200506,7575,-477
200507,7553,-499
200508,7553,-498
200509,7529,-520
200510,7448,-601
200511,7357,-694
200512,7380,-671
200601,7505,-551
200602,7550,-505
200603,7642,-414
200604,7576,-477
200605,7492,-561
200606,7321,-731
200607,7326,-726
200608,7311,-740
200609,7391,-658
200610,7506,-543
200611,7553,-498
200612,7553,-498
200701,7672,-384
200702,7610,-445
200703,7375,-681
200704,7373,-680
200705,7421,-632
200706,7427,-625
200707,7422,-630
200708,7379,-672
200709,7290,-759
200710,7239,-810
200711,7126,-925
200712,7328,-723
200801,7467,-589
200802,7579,-476
200803,7821,-235
200804,8006,-47
200805,8163,110
200806,8238,186
200807,8244,192
200808,8256,205
200809,8241,192
200810,8161,112
200811,8157,106
200812,8055,4
200901,7760,-296
200902,7669,-386
200903,7564,-492
200904,7492,-561
200905,7316,-737
200906,7403,-649
200907,7408,-644
200908,7428,-623
200909,7372,-677
200910,7553,-496
200911,7595,-456
200912,7719,-332
201001,7799,-257
201002,7936,-119
201003,7975,-81
201004,7974,-79
201005,8219,166
201006,8114,62
201007,8119,67
201008,8139,88
201009,8118,69
201010,7964,-85
201011,8147,96
201012,7837,-214
201101,7852,-204
201102,7866,-189
201103,7844,-212
201104,7908,-145
201105,7877,-176
201106,7916,-136
201107,7932,-120
201108,7888,-163
201109,7929,-120
201110,7943,-106
201111,7897,-154
201112,8000,-51
201201,7877,-179
201202,7793,-262
201203,7618,-438
201204,7397,-656
201205,7156,-897
201206,7043,-1009
201207,7025,-1027
201208,7014,-1037
201209,6987,-1062
201210,6944,-1105
201211,6751,-1300
201212,6818,-1233
201301,7063,-993
201302,7137,-918
201303,7234,-822
201304,7399,-654
201305,7471,-582
201306,7470,-582
201307,7463,-589
