Carbon County, Utah January-December Maximum Temperature
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
199001,58.2,2.5
199002,58.5,2.8
199003,58.2,2.5
199004,58.1,2.4
199005,57.8,2.1
199006,58.2,2.5
199007,58.0,2.3
199008,58.2,2.5
199009,58.4,2.7
199010,58.4,2.7
199011,58.0,2.3
199012,57.1,1.4
199101,56.7,1.0
199102,57.3,1.6
199103,56.7,1.0
199104,56.1,0.4
199105,56.0,0.3
199106,55.7,0.0
199107,55.7,0.0
199108,55.7,0.0
199109,55.4,-0.3
199110,55.6,-0.1
199111,55.4,-0.3
199112,55.9,0.2
199201,56.2,0.5
199202,55.9,0.2
199203,56.5,0.8
199204,57.5,1.8
199205,57.9,2.2
199206,58.0,2.3
199207,57.7,2.0
199208,57.8,2.1
199209,57.9,2.2
199210,58.0,2.3
199211,57.9,2.2
199212,57.4,1.7
199301,57.3,1.6
199302,56.8,1.1
199303,56.8,1.1
199304,55.9,0.2
199305,55.8,0.1
199306,55.5,-0.2
199307,55.5,-0.2
199308,55.2,-0.5
199309,55.2,-0.5
199310,54.6,-1.1
199311,54.6,-1.1
199312,55.1,-0.6
199401,55.7,0.0
199402,55.7,0.0
199403,56.0,0.3
199404,56.3,0.6
199405,56.4,0.7
199406,57.2,1.5
199407,57.8,2.1
199408,58.3,2.6
199409,58.4,2.7
199410,58.3,2.6
199411,58.0,2.3
199412,58.1,2.4
199501,57.7,2.0
199502,58.6,2.9
199503,58.1,2.4
199504,57.7,2.0
199505,56.9,1.2
199506,55.8,0.1
199507,55.4,-0.3
199508,55.3,-0.4
199509,55.3,-0.4
199510,55.7,0.0
199511,56.8,1.1
199512,57.2,1.5
199601,57.3,1.6
199602,56.8,1.1
199603,57.0,1.3
199604,57.4,1.7
199605,58.2,2.5
199606,59.1,3.4
199607,59.5,3.8
199608,59.6,3.9
199609,59.2,3.5
199610,59.0,3.3
199611,58.6,2.9
199612,58.0,2.3
199701,57.9,2.2
199702,57.4,1.7
199703,57.5,1.8
199704,57.1,1.4
199705,57.2,1.5
199706,56.8,1.1
199707,56.4,0.7
199708,55.9,0.2
199709,55.9,0.2
199710,56.0,0.3
199711,55.9,0.2
199712,56.0,0.3
199801,56.2,0.5
199802,56.1,0.4
199803,55.8,0.1
199804,55.9,0.2
199805,55.5,-0.2
199806,55.1,-0.6
199807,55.4,-0.3
199808,55.7,0.0
199809,56.0,0.3
199810,55.9,0.2
199811,55.9,0.2
199812,56.2,0.5
199901,56.4,0.7
199902,56.8,1.1
199903,57.2,1.5
199904,57.1,1.4
199905,57.0,1.3
199906,57.3,1.6
199907,57.2,1.5
199908,56.8,1.1
199909,56.6,0.9
199910,57.3,1.6
199911,58.0,2.3
199912,58.0,2.3
200001,57.9,2.2
200002,57.9,2.2
