Carbon County, Utah January-December Minimum Temperature
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
199001,32.4,1.3
199002,32.7,1.6
199003,32.6,1.5
199004,32.5,1.4
199005,32.4,1.3
199006,32.7,1.6
199007,32.5,1.4
199008,32.7,1.6
199009,33.0,1.9
199010,33.0,1.9
199011,32.8,1.7
199012,32.0,0.9
199101,31.6,0.5
199102,31.9,0.8
199103,31.5,0.4
199104,30.9,-0.2
199105,30.8,-0.3
199106,30.7,-0.4
199107,30.7,-0.4
199108,30.8,-0.3
199109,30.5,-0.6
199110,30.7,-0.4
199111,30.6,-0.5
199112,31.2,0.1
199201,31.4,0.3
199202,31.5,0.4
199203,32.1,1.0
199204,32.9,1.8
199205,33.4,2.3
199206,33.3,2.2
199207,33.0,1.9
199208,33.0,1.9
199209,33.0,1.9
199210,33.2,2.1
199211,32.9,1.8
199212,32.6,1.5
199301,32.8,1.7
199302,32.4,1.3
199303,32.3,1.2
199304,31.6,0.5
199305,31.4,0.3
199306,31.2,0.1
199307,31.2,0.1
199308,31.0,-0.1
199309,30.9,-0.2
199310,30.5,-0.6
199311,30.4,-0.7
199312,30.7,-0.4
199401,30.8,-0.3
199402,30.7,-0.4
199403,30.7,-0.4
199404,31.0,-0.1
199405,31.0,-0.1
199406,31.6,0.5
199407,32.0,0.9
199408,32.4,1.3
199409,32.7,1.6
199410,32.7,1.6
199411,32.7,1.6
199412,32.9,1.8
199501,32.9,1.8
199502,33.8,2.7
199503,33.6,2.5
199504,33.3,2.2
199505,32.8,1.7
199506,32.0,0.9
199507,31.7,0.6
199508,31.7,0.6
199509,31.5,0.4
199510,31.5,0.4
199511,32.3,1.2
199512,32.6,1.5
199601,32.4,1.3
199602,32.0,0.9
199603,31.9,0.8
199604,32.0,0.9
199605,32.4,1.3
199606,33.1,2.0
199607,33.4,2.3
199608,33.4,2.3
199609,33.2,2.1
199610,33.1,2.0
199611,32.7,1.6
199612,32.5,1.4
199701,32.4,1.3
199702,31.9,0.8
199703,32.0,0.9
199704,31.7,0.6
199705,31.8,0.7
199706,31.7,0.6
199707,31.3,0.2
199708,31.2,0.1
199709,31.5,0.4
199710,31.6,0.5
199711,31.6,0.5
199712,31.4,0.3
199801,31.6,0.5
199802,31.9,0.8
199803,31.7,0.6
199804,31.9,0.8
199805,31.7,0.6
199806,31.1,0.0
199807,31.5,0.4
199808,31.6,0.5
199809,31.7,0.6
