Carbon County, Utah December Palmer Drought Severity Index (PDSI)
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
199001,-4.73,-4.89
199002,-4.68,-4.88
199003,-4.62,-4.80
199004,-4.55,-4.72
199005,-4.76,-4.99
199006,-4.83,-5.02
199007,-4.86,-5.01
199008,-5.09,-5.24
199009,-4.30,-4.56
199010,-4.25,-4.57
199011,-4.32,-4.52
199012,-4.34,-4.45
199101,-4.58,-4.74
199102,-5.00,-5.20
199103,-4.34,-4.52
199104,-4.05,-4.22
199105,-3.63,-3.86
199106,-3.55,-3.74
199107,-3.80,-3.95
199108,-3.72,-3.87
199109,-2.66,-2.92
199110,-2.65,-2.97
199111,-2.55,-2.75
199112,-2.92,-3.03
199201,-3.15,-3.31
199202,-2.72,-2.92
199203,-2.62,-2.80
199204,-3.36,-3.53
199205,0.71,0.48
199206,0.19,0.00
199207,0.65,0.50
199208,-0.18,-0.33
199209,-0.44,-0.70
199210,-0.44,-0.76
199211,-0.47,-0.67
199212,0.12,0.01
199301,0.87,0.71
199302,1.87,1.67
199303,2.45,2.27
199304,2.17,2.00
199305,2.32,2.09
199306,2.21,2.02
199307,-0.35,-0.50
199308,-0.39,-0.54
199309,-0.97,-1.23
199310,-0.30,-0.62
199311,-0.04,-0.24
199312,-0.41,-0.52
199401,-0.98,-1.14
199402,-0.76,-0.96
199403,-1.56,-1.74
199404,0.88,0.71
199405,-0.43,-0.66
199406,-1.07,-1.26
199407,-2.04,-2.19
199408,-2.16,-2.31
199409,-0.03,-0.29
199410,0.79,0.47
199411,1.01,0.81
199412,0.83,0.72
199501,1.18,1.02
199502,0.69,0.49
199503,0.95,0.77
199504,1.79,1.62
199505,3.22,2.99
199506,3.76,3.57
199507,4.25,4.10
199508,4.54,4.39
199509,-0.10,-0.36
199510,-0.74,-1.06
199511,-1.28,-1.48
199512,-1.64,-1.75
199601,-1.50,-1.66
199602,-1.34,-1.54
199603,-1.09,-1.27
199604,-1.37,-1.54
199605,-1.22,-1.45
199606,-1.48,-1.67
199607,-2.14,-2.29
199608,-3.07,-3.22
199609,0.57,0.31
199610,0.53,0.21
199611,1.09,0.89
199612,1.00,0.89
199701,2.04,1.88
199702,1.92,1.72
199703,1.14,0.96
199704,1.75,1.58
199705,1.95,1.72
199706,2.31,2.12
199707,2.34,2.19
199708,3.32,3.17
199709,4.75,4.49
199710,4.48,4.16
199711,4.18,3.98
199712,3.57,3.46
199801,3.31,3.15
199802,4.00,3.80
199803,3.69,3.51
199804,3.53,3.36
199805,3.26,3.03
199806,3.74,3.55
199807,3.77,3.62
199808,3.29,3.14
199809,3.08,2.82
199810,3.01,2.69
199811,3.00,2.80
199812,-0.50,-0.61
199901,-0.48,-0.64
199902,-0.71,-0.91
199903,-1.61,-1.79
199904,1.34,1.17
199905,1.40,1.17
199906,1.56,1.37
199907,2.26,2.11
199908,3.23,3.08
199909,0.00,-0.26
199910,-0.92,-1.24
199911,-1.80,-2.00
199912,-2.07,-2.18
200001,-1.82,-1.98
200002,-0.98,-1.18
200003,-0.84,-1.02
200004,-1.53,-1.70
200005,-1.44,-1.67
200006,-1.45,-1.64
200007,-1.95,-2.10
200008,-1.97,-2.12
200009,-1.90,-2.16
200010,1.26,0.94
200011,1.02,0.82
200012,0.80,0.69
200101,0.87,0.71
200102,1.33,1.13
200103,1.41,1.23
200104,1.52,1.35
200105,-0.19,-0.42
200106,-0.50,-0.69
200107,-0.74,-0.89
200108,-0.82,-0.97
200109,-1.52,-1.78
200110,-2.07,-2.39
200111,-1.80,-2.00
200112,-1.73,-1.84
200201,-2.30,-2.46
200202,-2.95,-3.15
200203,-3.27,-3.45
200204,-3.80,-3.97
200205,-4.60,-4.83
200206,-5.50,-5.69
200207,-6.23,-6.38
200208,-6.62,-6.77
200209,-4.26,-4.52
200210,-3.73,-4.05
200211,-3.14,-3.34
200212,-2.94,-3.05
200301,-3.16,-3.32
200302,-2.84,-3.04
200303,-2.49,-2.67
200304,-2.44,-2.61
200305,-2.32,-2.55
200306,-2.40,-2.59
200307,-2.84,-2.99
200308,-2.66,-2.81
200309,-3.02,-3.28
200310,-3.53,-3.85
200311,-3.11,-3.31
200312,-2.40,-2.51
200401,-2.39,-2.55
200402,-1.59,-1.79
200403,-2.41,-2.59
200404,-1.93,-2.10
200405,-2.31,-2.54
200406,-2.25,-2.44
200407,-2.55,-2.70
200408,-2.42,-2.57
200409,0.02,-0.24
200410,2.45,2.13
200411,3.24,3.04
200412,3.52,3.41
200501,5.02,4.86
200502,5.33,5.13
200503,5.01,4.83
200504,4.49,4.32
200505,4.09,3.86
200506,4.62,4.43
200507,4.16,4.01
200508,4.17,4.02
200509,3.84,3.58
200510,3.57,3.25
200511,-0.33,-0.53
200512,-0.59,-0.70
200601,-0.44,-0.60
200602,-1.00,-1.20
200603,0.97,0.79
200604,-0.23,-0.40
200605,-0.74,-0.97
200606,-1.06,-1.25
200607,-1.20,-1.35
200608,-1.18,-1.33
200609,0.16,-0.10
200610,1.47,1.15
200611,-0.10,-0.30
200612,-0.31,-0.42
200701,-0.66,-0.82
200702,-0.87,-1.07
200703,-1.57,-1.75
200704,-1.82,-1.99
200705,-2.08,-2.31
200706,-2.81,-3.00
200707,-3.39,-3.54
200708,-3.25,-3.40
200709,-2.67,-2.93
200710,-2.65,-2.97
200711,-3.26,-3.46
200712,0.68,0.57
200801,1.02,0.86
200802,1.53,1.33
200803,1.18,1.00
200804,0.85,0.68
200805,1.35,1.12
200806,1.43,1.24
200807,-0.28,-0.43
200808,-0.65,-0.80
200809,-0.82,-1.08
200810,-0.88,-1.20
200811,-1.24,-1.44
200812,-0.86,-0.97
200901,-1.04,-1.20
200902,-1.22,-1.42
200903,-1.76,-1.94
200904,0.25,0.08
200905,0.64,0.41
200906,1.32,1.13
200907,-0.27,-0.42
200908,-0.86,-1.01
200909,-1.04,-1.30
200910,-1.19,-1.51
200911,-1.88,-2.08
200912,-1.53,-1.64
201001,-1.15,-1.31
