Carbon County, Utah December Palmer Hydrological Drought Index (PHDI)
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
199001,-4.73,-4.96
199002,-4.68,-4.91
199003,-4.62,-4.80
199004,-4.55,-4.74
199005,-4.76,-4.99
199006,-4.83,-5.10
199007,-4.86,-5.15
199008,-5.09,-5.41
199009,-4.30,-4.70
199010,-4.25,-4.74
199011,-4.32,-4.72
199012,-4.34,-4.61
199101,-4.58,-4.81
199102,-5.00,-5.23
199103,-4.34,-4.52
199104,-4.05,-4.24
199105,-3.63,-3.86
199106,-3.55,-3.82
199107,-3.80,-4.09
199108,-3.72,-4.04
199109,-2.66,-3.06
199110,-2.65,-3.14
199111,-2.55,-2.95
199112,-2.92,-3.19
199201,-3.15,-3.38
199202,-2.72,-2.95
199203,-2.62,-2.80
199204,-3.36,-3.55
199205,-2.30,-2.53
199206,-2.51,-2.78
199207,-1.77,-2.06
199208,-1.77,-2.09
199209,-1.87,-2.27
199210,-1.72,-2.21
199211,-1.61,-2.01
199212,-1.33,-1.60
199301,0.87,0.64
199302,1.87,1.64
199303,2.45,2.27
199304,2.17,1.98
199305,2.32,2.09
199306,2.21,1.94
199307,1.63,1.34
199308,1.39,1.07
199309,0.63,0.23
199310,1.14,0.65
199311,1.25,0.85
199312,0.74,0.47
199401,-0.98,-1.21
199402,-0.76,-0.99
199403,-1.56,-1.74
199404,0.88,0.69
199405,-0.43,-0.66
199406,-1.07,-1.34
199407,-2.04,-2.33
199408,-2.16,-2.48
199409,-1.96,-2.36
199410,-0.97,-1.46
199411,-0.57,-0.97
199412,-0.58,-0.85
199501,1.18,0.95
199502,0.69,0.46
199503,0.95,0.77
199504,1.79,1.60
199505,3.22,2.99
199506,3.76,3.49
199507,4.25,3.96
199508,4.54,4.22
199509,3.97,3.57
199510,2.91,2.42
199511,1.99,1.59
199512,1.29,1.02
199601,1.13,0.90
199602,1.02,0.79
199603,1.03,0.85
199604,-1.37,-1.56
199605,-1.22,-1.45
199606,-1.48,-1.75
199607,-2.14,-2.43
199608,-3.07,-3.39
199609,-2.19,-2.59
199610,-1.94,-2.43
