Carbon County, Utah December Palmer Modified Drought Index (PMDI)
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
199001,-4.73,-4.84
199002,-4.68,-4.87
199003,-4.62,-4.81
199004,-4.55,-4.72
199005,-4.76,-5.03
199006,-4.83,-5.10
199007,-4.86,-5.11
199008,-5.09,-5.36
199009,-3.94,-4.30
199010,-4.25,-4.62
199011,-4.32,-4.58
199012,-4.34,-4.44
199101,-4.58,-4.69
199102,-5.00,-5.19
199103,-4.13,-4.32
199104,-3.96,-4.13
199105,-3.47,-3.74
199106,-3.55,-3.82
199107,-3.80,-4.05
199108,-3.72,-3.99
199109,-1.81,-2.17
199110,-2.06,-2.43
199111,-2.10,-2.36
199112,-2.92,-3.02
199201,-3.15,-3.26
199202,-2.52,-2.71
199203,-2.58,-2.77
199204,-3.36,-3.53
199205,-1.39,-1.66
199206,-2.08,-2.35
199207,-0.75,-1.00
199208,-0.93,-1.20
199209,-1.30,-1.66
199210,-1.17,-1.54
199211,-1.08,-1.34
199212,-0.66,-0.76
199301,0.87,0.76
199302,1.87,1.68
199303,2.45,2.26
199304,2.07,1.90
199305,2.32,2.05
199306,2.21,1.94
199307,1.10,0.85
199308,0.71,0.44
199309,-0.87,-1.23
199310,0.37,0.00
199311,0.71,0.45
199312,-0.21,-0.31
199401,-0.98,-1.09
199402,-0.76,-0.95
199403,-1.56,-1.75
199404,0.88,0.71
199405,-0.43,-0.70
199406,-1.07,-1.34
199407,-2.04,-2.29
199408,-2.16,-2.43
199409,-1.93,-2.29
199410,0.21,-0.16
199411,0.98,0.72
199412,0.79,0.69
199501,1.18,1.07
199502,-0.09,-0.28
199503,0.72,0.53
199504,1.79,1.62
199505,3.22,2.95
199506,3.76,3.49
199507,4.25,4.00
199508,4.54,4.27
199509,3.81,3.45
199510,1.94,1.57
199511,0.31,0.05
199512,-0.87,-0.97
199601,-0.94,-1.05
199602,-0.92,-1.11
199603,-0.69,-0.88
199604,-1.37,-1.54
199605,-1.11,-1.38
199606,-1.48,-1.75
199607,-2.14,-2.39
199608,-3.07,-3.34
199609,-1.44,-1.80
199610,-1.12,-1.49
199611,0.43,0.17
199612,0.52,0.42
199701,2.04,1.93
199702,1.92,1.73
199703,0.25,0.06
199704,1.75,1.58
199705,1.95,1.68
199706,2.31,2.04
199707,2.34,2.09
199708,3.32,3.05
199709,4.75,4.39
199710,4.48,4.11
199711,4.18,3.92
199712,3.29,3.19
199801,3.11,3.00
199802,4.00,3.81
199803,3.69,3.50
199804,3.53,3.36
199805,3.26,2.99
199806,3.74,3.47
199807,3.77,3.52
199808,3.12,2.85
199809,3.00,2.64
199810,3.01,2.64
199811,3.00,2.74
199812,1.51,1.41
199901,1.18,1.07
199902,0.35,0.16
199903,-1.61,-1.80
199904,1.34,1.17
199905,1.40,1.13
199906,1.56,1.29
199907,2.26,2.01
199908,3.23,2.96
199909,2.84,2.48
199910,0.45,0.08
199911,-1.80,-2.06
199912,-2.07,-2.17
200001,-1.70,-1.81
200002,0.08,-0.11
200003,0.27,0.08
200004,-1.33,-1.50
200005,-1.25,-1.52
200006,-1.43,-1.70
200007,-1.95,-2.20
200008,-1.97,-2.24
200009,-1.90,-2.26
200010,1.26,0.89
200011,0.73,0.47
200012,0.23,0.13
200101,0.49,0.38
200102,1.33,1.14
200103,1.41,1.22
200104,1.52,1.35
200105,0.79,0.52
200106,-0.22,-0.49
200107,-0.74,-0.99
200108,-0.82,-1.09
200109,-1.52,-1.88
200110,-2.07,-2.44
200111,-1.66,-1.92
200112,-1.68,-1.78
200201,-2.30,-2.41
200202,-2.95,-3.14
200203,-3.27,-3.46
200204,-3.80,-3.97
200205,-4.60,-4.87
200206,-5.50,-5.77
200207,-6.23,-6.48
200208,-6.62,-6.89
200209,-2.37,-2.73
200210,-1.76,-2.13
200211,-0.99,-1.25
200212,-0.96,-1.06
200301,-1.71,-1.82
200302,-1.40,-1.59
200303,-1.03,-1.22
200304,-1.18,-1.35
200305,-1.18,-1.45
200306,-1.45,-1.72
200307,-2.26,-2.51
200308,-2.13,-2.40
200309,-3.02,-3.38
200310,-3.53,-3.90
200311,-2.97,-3.23
200312,-1.75,-1.85
200401,-1.97,-2.08
200402,-0.48,-0.67
200403,-2.38,-2.57
200404,-1.52,-1.69
200405,-2.31,-2.58
200406,-2.25,-2.52
200407,-2.55,-2.80
200408,-2.42,-2.69
200409,-2.06,-2.42
200410,2.45,2.08
200411,3.24,2.98
200412,3.52,3.42
200501,5.02,4.91
200502,5.33,5.14
200503,5.01,4.82
200504,4.44,4.27
200505,4.06,3.79
200506,4.62,4.35
200507,4.12,3.87
200508,4.17,3.90
200509,3.84,3.48
200510,3.57,3.20
200511,2.43,2.17
200512,1.44,1.34
200601,1.36,1.25
200602,-0.16,-0.35
200603,1.70,1.51
200604,0.96,0.79
200605,-0.30,-0.57
200606,-1.06,-1.33
200607,-1.20,-1.45
200608,-1.18,-1.45
200609,-0.51,-0.87
200610,1.47,1.10
200611,0.98,0.72
200612,0.20,0.10
200701,-0.66,-0.77
200702,-0.87,-1.06
200703,-1.57,-1.76
200704,-1.82,-1.99
200705,-2.08,-2.35
200706,-2.81,-3.08
200707,-3.39,-3.64
200708,-3.25,-3.52
200709,-2.31,-2.67
200710,-2.53,-2.90
200711,-3.26,-3.52
200712,-1.36,-1.46
200801,-0.21,-0.32
200802,1.23,1.04
200803,0.80,0.61
200804,0.39,0.22
200805,1.35,1.08
200806,1.43,1.16
200807,0.45,0.20
200808,-0.65,-0.92
200809,-0.82,-1.18
200810,-0.88,-1.25
200811,-1.24,-1.50
200812,-0.31,-0.41
200901,-0.88,-0.99
200902,-1.22,-1.41
200903,-1.76,-1.95
200904,-0.88,-1.05
200905,0.32,0.05
200906,1.32,1.05
200907,0.37,0.12
200908,-0.86,-1.13
200909,-1.04,-1.40
200910,-1.19,-1.56
200911,-1.88,-2.14
200912,-1.23,-1.33
201001,-0.48,-0.59
201002,-1.35,-1.54
201003,-1.12,-1.31
201004,-1.25,-1.42
201005,-1.01,-1.28
201006,-1.28,-1.55
201007,-1.37,-1.62
201008,-1.26,-1.53
201009,-2.04,-2.40
201010,0.74,0.37
201011,0.78,0.52
201012,2.73,2.63
201101,2.48,2.37
201102,2.84,2.65
201103,2.75,2.56
201104,2.87,2.70
201105,4.07,3.80
201106,4.09,3.82
201107,5.14,4.89
201108,4.95,4.68
201109,4.11,3.75
201110,4.32,3.95
201111,3.41,3.15
201112,2.10,2.00
201201,1.15,1.04
201202,0.39,0.20
201203,-1.67,-1.86
201204,-2.43,-2.60
201205,-3.42,-3.69
201206,-4.43,-4.70
201207,-4.12,-4.37
201208,-4.41,-4.68
201209,-4.03,-4.39
201210,-4.12,-4.49
201211,-4.51,-4.77
201212,-3.26,-3.36
201301,-3.55,-3.66
201302,-4.08,-4.27
201303,-4.18,-4.37
201304,-2.68,-2.85
201305,-2.55,-2.82
201306,-3.62,-3.89
201307,-3.57,-3.82
201308,-2.85,-3.12
201309,1.06,0.70
201310,1.44,1.07
201311,0.98,0.72
201312,0.15,0.05
201401,-0.89,-1.00
201402,-1.09,-1.28
201403,-1.99,-2.18
201404,-2.25,-2.42
201405,-2.44,-2.71
201406,-3.14,-3.41
201407,-3.46,-3.71
201408,-0.42,-0.69
201409,2.34,1.98
201410,0.15,-0.22
201411,-0.52,-0.78
201412,-1.02,-1.12
201501,-1.34,-1.45
201502,-2.17,-2.36
201503,-2.92,-3.11
201504,-3.10,-3.27
201505,-0.39,-0.66
201506,-0.81,-1.08
201507,-1.31,-1.56
201508,-0.04,-0.31
201509,-1.11,-1.47
201510,-0.26,-0.63
201511,0.12,-0.14
201512,0.25,0.15
201601,-0.04,-0.15
201602,-0.79,-0.98
201603,-1.68,-1.87
201604,-0.06,-0.23
201605,-0.01,-0.28
201606,-1.17,-1.44
201607,-2.07,-2.32
201608,-2.54,-2.81
201609,1.86,1.50
201610,0.98,0.61
201611,-0.37,-0.63
201612,0.47,0.37
201701,2.56,2.45
201702,2.74,2.55
201703,2.69,2.50
201704,1.62,1.45
201705,0.55,0.28
201706,-0.62,-0.89
201707,-0.69,-0.94
201708,-1.18,-1.45
201709,-0.52,-0.88
201710,-1.56,-1.93
201711,-2.22,-2.48
201712,-2.73,-2.83
201801,-3.07,-3.18
201802,-3.64,-3.83
201803,-4.11,-4.30
201804,-4.19,-4.36
201805,-4.64,-4.91
