Carbon County, Utah January-December Precipitation
Units: Inches
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
199001,9.10,-5.59
199002,9.46,-5.25
199003,9.75,-4.97
199004,10.69,-4.01
199005,10.69,-4.02
199006,11.41,-3.31
199007,11.42,-3.30
199008,10.24,-4.49
199009,11.45,-3.27
199010,11.60,-3.14
199011,11.57,-3.17
199012,12.16,-2.58
199101,11.94,-2.75
199102,11.01,-3.70
199103,11.55,-3.17
199104,11.17,-3.53
199105,11.87,-2.84
199106,11.66,-3.06
199107,11.12,-3.60
199108,11.65,-3.08
199109,12.10,-2.62
199110,12.45,-2.29
199111,12.92,-1.82
199112,12.49,-2.25
199201,12.69,-2.00
199202,14.26,-0.45
199203,13.77,-0.95
199204,13.37,-1.33
199205,15.14,0.43
199206,14.71,-0.01
199207,16.33,1.61
199208,16.31,1.58
199209,14.74,0.02
199210,15.22,0.48
199211,15.36,0.62
199212,16.57,1.83
199301,18.31,3.62
199302,19.17,4.46
199303,19.93,5.21
199304,20.52,5.82
199305,19.11,4.40
199306,19.16,4.44
199307,17.08,2.36
199308,17.09,2.36
199309,16.45,1.73
199310,17.05,2.31
199311,17.36,2.62
199312,16.25,1.51
199401,13.94,-0.75
199402,12.82,-1.89
199403,10.79,-3.93
199404,12.74,-1.96
199405,11.70,-3.01
199406,11.26,-3.46
199407,11.24,-3.48
199408,11.51,-3.22
199409,12.72,-2.00
199410,13.13,-1.61
199411,13.23,-1.51
199412,13.71,-1.03
199501,15.24,0.55
199502,14.20,-0.51
199503,15.61,0.89
199504,15.12,0.42
199505,17.75,3.04
199506,19.24,4.52
199507,20.25,5.53
199508,20.63,5.90
199509,20.08,5.36
199510,17.68,2.94
199511,16.86,2.12
199512,16.55,1.81
199601,16.38,1.69
199602,17.29,2.58
199603,17.31,2.59
199604,15.44,0.74
199605,13.60,-1.11
199606,12.52,-2.20
199607,11.75,-2.97
199608,10.08,-4.65
199609,11.36,-3.36
199610,12.52,-2.22
199611,14.15,-0.59
199612,14.73,-0.01
199701,16.14,1.45
199702,15.45,0.74
199703,13.83,-0.89
199704,15.27,0.57
199705,15.56,0.85
199706,16.40,1.68
199707,17.14,2.42
199708,19.87,5.14
199709,21.61,6.89
199710,21.50,6.76
199711,20.40,5.66
199712,19.83,5.09
199801,18.02,3.33
199802,19.92,5.21
199803,20.75,6.03
199804,20.02,5.32
199805,19.38,4.67
199806,19.77,5.05
199807,19.63,4.91
199808,17.85,3.12
199809,15.44,0.72
199810,15.87,1.13
199811,16.37,1.63
199812,16.03,1.29
199901,16.13,1.44
199902,14.22,-0.49
199903,13.43,-1.29
199904,15.31,0.61
199905,15.42,0.71
199906,14.62,-0.10
199907,15.89,1.17
199908,17.51,2.78
199909,16.96,2.24
199910,15.29,0.55
199911,13.79,-0.95
199912,14.22,-0.52
200001,14.64,-0.05
200002,16.39,1.68
200003,17.46,2.74
200004,14.64,-0.06
200005,14.86,0.15
200006,14.85,0.13
200007,13.11,-1.61
200008,11.84,-2.89
200009,12.03,-2.69
200010,15.52,0.78
200011,16.02,1.28
200012,16.15,1.41
200101,15.75,1.06
200102,15.13,0.42
200103,15.37,0.65
200104,16.68,1.98
200105,16.14,1.43
200106,15.42,0.70
200107,15.92,1.20
200108,15.87,1.14
200109,14.99,0.27
200110,11.91,-2.83
200111,12.83,-1.91
200112,13.15,-1.59
200201,12.01,-2.68
200202,10.19,-4.52
200203,9.37,-5.35
200204,8.11,-6.59
200205,7.43,-7.28
200206,7.37,-7.35
200207,6.79,-7.93
200208,5.83,-8.90
200209,9.63,-5.09
200210,10.26,-4.48
200211,10.08,-4.66
200212,9.84,-4.90
200301,9.99,-4.70
200302,11.22,-3.49
200303,12.10,-2.62
200304,12.55,-2.15
200305,13.50,-1.21
200306,13.80,-0.92
200307,13.97,-0.75
200308,15.16,0.43
200309,11.51,-3.21
200310,10.96,-3.78
200311,10.86,-3.88
200312,11.95,-2.79
200401,12.42,-2.27
200402,13.26,-1.45
200403,11.83,-2.89
200404,12.89,-1.81
200405,12.12,-2.59
200406,12.63,-2.09
200407,12.64,-2.08
200408,12.32,-2.41
200409,13.20,-1.52
200410,18.07,3.33
200411,18.98,4.24
200412,18.30,3.56
200501,20.77,6.08
200502,20.48,5.77
200503,21.64,6.92
200504,20.90,6.20
200505,21.69,6.98
200506,22.83,8.11
200507,22.61,7.89
200508,23.25,8.52
200509,23.33,8.61
