Daggett County, Utah January-December Average Temperature
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
199001,42.0,1.5
199002,42.5,2.0
199003,42.4,1.9
199004,42.3,1.8
199005,42.2,1.7
199006,42.4,1.9
199007,42.2,1.7
199008,42.3,1.8
199009,42.7,2.2
199010,42.7,2.2
199011,42.5,2.0
199012,41.8,1.3
199101,41.5,1.0
199102,41.9,1.4
199103,41.5,1.0
199104,41.0,0.5
199105,41.0,0.5
199106,40.9,0.4
199107,40.8,0.3
199108,40.8,0.3
199109,40.5,0.0
199110,40.5,0.0
199111,40.2,-0.3
199112,40.8,0.3
199201,41.1,0.6
199202,41.1,0.6
199203,41.6,1.1
199204,42.4,1.9
199205,42.8,2.3
199206,42.8,2.3
199207,42.6,2.1
199208,42.6,2.1
199209,42.7,2.2
199210,42.9,2.4
199211,42.7,2.2
199212,42.4,1.9
199301,42.1,1.6
199302,41.3,0.8
199303,41.3,0.8
199304,40.6,0.1
199305,40.4,-0.1
199306,40.2,-0.3
199307,40.0,-0.5
199308,39.8,-0.7
199309,39.7,-0.8
199310,39.2,-1.3
199311,39.2,-1.3
199312,39.6,-0.9
199401,40.1,-0.4
199402,40.4,-0.1
199403,40.4,-0.1
199404,40.7,0.2
199405,40.9,0.4
199406,41.5,1.0
199407,42.0,1.5
199408,42.4,1.9
199409,42.6,2.1
199410,42.6,2.1
199411,42.6,2.1
199412,42.7,2.2
199501,42.5,2.0
199502,43.2,2.7
199503,43.1,2.6
199504,42.8,2.3
199505,42.0,1.5
199506,41.3,0.8
199507,41.0,0.5
199508,41.0,0.5
199509,40.9,0.4
199510,41.0,0.5
199511,41.8,1.3
199512,42.0,1.5
199601,41.9,1.4
199602,41.4,0.9
199603,41.4,0.9
199604,41.5,1.0
199605,42.0,1.5
199606,42.5,2.0
199607,42.9,2.4
199608,42.8,2.3
199609,42.5,2.0
199610,42.5,2.0
199611,42.1,1.6
199612,41.9,1.4
199701,42.0,1.5
199702,41.6,1.1
199703,41.7,1.2
199704,41.3,0.8
