Daggett County, Utah January-December Cooling Degree Days
Units: Fahrenheit Degree-Days
Base Period: 1901-2000
Missing: -9999
Date,Value,Anomaly
199001,128,48
199002,128,48
199003,128,48
199004,128,48
199005,128,48
199006,141,61
199007,88,8
199008,98,17
199009,111,30
199010,111,30
199011,111,30
199012,111,30
199101,111,31
199102,111,31
199103,111,31
199104,111,31
199105,111,31
199106,103,23
199107,92,12
199108,95,14
199109,82,1
199110,82,1
199111,82,1
199112,82,1
199201,82,2
199202,82,2
199203,82,2
199204,82,2
199205,82,2
199206,81,1
199207,54,-26
199208,54,-27
199209,54,-27
199210,54,-27
199211,54,-27
199212,54,-27
199301,54,-26
199302,54,-26
199303,54,-26
199304,54,-26
199305,54,-26
199306,47,-33
199307,39,-41
199308,21,-60
199309,21,-60
199310,21,-60
199311,21,-60
199312,21,-60
199401,21,-59
199402,21,-59
199403,21,-59
199404,21,-59
199405,21,-59
199406,57,-23
199407,118,38
199408,171,90
199409,177,96
199410,177,96
199411,177,96
199412,177,96
199501,177,97
199502,177,97
199503,177,97
199504,177,97
199505,177,97
199506,135,55
199507,85,5
199508,75,-6
199509,69,-12
199510,69,-12
199511,69,-12
199512,69,-12
199601,69,-11
199602,69,-11
199603,69,-11
199604,69,-11
199605,69,-11
199606,95,15
199607,154,74
199608,145,64
199609,145,64
199610,145,64
199611,145,64
199612,145,64
199701,145,65
199702,145,65
199703,145,65
199704,145,65
199705,145,65
199706,138,58
199707,84,4
199708,65,-16
199709,65,-16
199710,65,-16
199711,65,-16
199712,65,-16
199801,65,-15
199802,65,-15
199803,65,-15
199804,65,-15
199805,65,-15
199806,46,-34
199807,109,29
199808,131,50
199809,142,61
199810,142,61
199811,142,61
199812,142,61
199901,142,62
199902,142,62
199903,142,62
199904,142,62
199905,142,62
199906,152,72
199907,124,44
199908,103,22
199909,92,11
199910,92,11
199911,92,11
199912,92,11
200001,92,12
200002,92,12
200003,92,12
200004,92,12
200005,92,12
200006,103,23
200007,129,49
200008,182,101
200009,182,101
200010,182,101
200011,182,101
200012,182,101
200101,182,102
200102,182,102
200103,182,102
200104,182,102
200105,182,102
200106,188,108
200107,195,115
200108,185,104
200109,194,113
200110,194,113
200111,194,113
200112,194,113
200201,194,114
200202,194,114
200203,194,114
200204,194,114
200205,194,114
200206,206,126
200207,262,182
200208,234,153
200209,225,144
200210,225,144
200211,225,144
200212,225,144
200301,225,145
200302,225,145
200303,225,145
200304,225,145
200305,225,145
200306,197,117
200307,218,138
200308,253,172
200309,253,172
200310,253,172
200311,253,172
200312,253,172
200401,253,173
200402,253,173
200403,253,173
200404,253,173
200405,253,173
200406,255,175
200407,128,48
200408,64,-17
200409,64,-17
200410,64,-17
200411,64,-17
200412,64,-17
200501,64,-16
200502,64,-16
200503,64,-16
200504,64,-16
200505,64,-16
200506,58,-22
200507,99,19
200508,103,22
200509,103,22
200510,103,22
200511,103,22
200512,103,22
200601,103,23
200602,103,23
200603,103,23
200604,103,23
200605,103,23
200606,134,54
200607,165,85
200608,172,91
200609,172,91
200610,172,91
200611,172,91
200612,172,91
200701,172,92
200702,172,92
200703,172,92
200704,172,92
200705,172,92
200706,171,91
200707,192,112
200708,232,151
200709,232,151
200710,232,151
200711,232,151
200712,232,151
200801,232,152
200802,232,152
200803,232,152
200804,232,152
200805,232,152
200806,204,124
200807,153,73
200808,123,42
200809,123,42
200810,123,42
200811,123,42
200812,123,42
200901,123,43
200902,123,43
200903,123,43
200904,123,43
200905,123,43
200906,114,34
200907,74,-6
200908,53,-28
200909,60,-21
200910,60,-21
200911,60,-21
200912,60,-21
201001,60,-20
201002,60,-20
201003,60,-20
201004,60,-20
201005,60,-20
201006,76,-4
201007,80,0
201008,90,9
201009,90,9
201010,90,9
201011,90,9
201012,90,9
201101,90,10
201102,90,10
201103,90,10
201104,90,10
201105,90,10
201106,82,2
201107,69,-11
201108,89,8
201109,87,6
201110,87,6
201111,87,6
201112,87,6
201201,87,7
201202,87,7
201203,87,7
201204,87,7
201205,87,7
201206,126,46
201207,174,94
201208,204,123
201209,205,124
201210,205,124
201211,205,124
201212,205,124
201301,205,125
201302,205,125
201303,205,125
201304,205,125
201305,205,125
201306,196,116
201307,204,124
201308,176,95
201309,170,89
201310,170,89
201311,170,89
201312,170,89
201401,170,90
201402,170,90
201403,170,90
201404,170,90
201405,170,90
201406,144,64
201407,135,55
201408,101,20
201409,106,25
201410,106,25
201411,106,25
201412,106,25
201501,106,26
201502,106,26
201503,106,26
201504,106,26
201505,106,26
201506,138,58
201507,76,-4
201508,90,9
201509,94,13
201510,94,13
201511,94,13
201512,94,13
201601,94,14
201602,94,14
201603,94,14
201604,94,14
201605,94,14
201606,100,20
201607,146,66
201608,145,64
201609,136,55
201610,136,55
201611,136,55
201612,136,55
201701,136,56
201702,136,56
201703,136,56
201704,136,56
201705,136,56
201706,119,39
201707,143,63
201708,141,60
201709,141,60
201710,141,60
201711,141,60
201712,141,60
201801,141,61
201802,141,61
201803,141,61
201804,141,61
201805,141,61
201806,150,70
201807,175,95
201808,192,111
201809,201,120
201810,201,120
201811,201,120
201812,201,120
201901,201,121
201902,201,121
201903,201,121
201904,201,121
201905,201,121
201906,167,87
201907,122,42
201908,143,62
201909,139,58
201910,139,58
201911,139,58
201912,139,58
202001,139,59
202002,139,59
202003,139,59
202004,139,59
202005,139,59
202006,145,65
202007,143,63
202008,169,88
202009,164,83
202010,164,83
202011,164,83
202012,164,83
202101,164,84
202102,164,84
202103,164,84
202104,164,84
202105,164,84
202106,209,129
202107,270,190
202108,213,132
202109,219,138
202110,219,138
202111,219,138
202112,219,138
202201,219,139
202202,219,139
202203,219,139
202204,219,139
202205,219,139
202206,178,98
202207,141,61
202208,171,90
202209,178,97
202210,178,97
202211,178,97
202212,178,97
202301,178,98
202302,178,98
202303,178,98
202304,178,98
202305,178,98
202306,168,88
202307,151,71
202308,122,41
202309,109,28
202310,109,28
202311,109,28
202312,109,28
202401,109,29
202402,109,29
202403,109,29
