Daggett County, Utah January-December Heating Degree Days
Units: Fahrenheit Degree-Days
Base Period: 1901-2000
Missing: -9999
Date,Value,Anomaly
199001,8460,-535
199002,8303,-690
199003,8335,-659
199004,8358,-634
199005,8429,-561
199006,8348,-642
199007,8387,-603
199008,8357,-631
199009,8227,-759
199010,8208,-777
199011,8277,-711
199012,8540,-448
199101,8670,-325
199102,8518,-475
199103,8662,-332
199104,8866,-126
199105,8846,-144
199106,8888,-102
199107,8900,-90
199108,8894,-94
199109,9017,31
199110,9012,27
199111,9099,111
199112,8893,-95
199201,8775,-220
199202,8774,-219
199203,8591,-403
199204,8308,-684
199205,8152,-838
199206,8153,-837
199207,8207,-783
199208,8207,-781
199209,8183,-803
199210,8102,-883
199211,8183,-805
199212,8272,-716
199301,8371,-624
199302,8641,-352
199303,8669,-325
199304,8912,-80
199305,8980,-10
199306,9059,69
199307,9101,111
199308,9164,176
199309,9218,232
199310,9370,385
199311,9380,392
199312,9256,268
199401,9058,63
199402,8959,-34
199403,8951,-43
199404,8856,-136
199405,8786,-204
199406,8608,-382
199407,8486,-504
199408,8378,-610
199409,8293,-693
199410,8304,-681
199411,8319,-669
199412,8274,-714
199501,8357,-638
199502,8096,-897
199503,8161,-833
199504,8270,-722
199505,8540,-450
199506,8753,-237
199507,8822,-168
199508,8832,-156
199509,8864,-122
199510,8831,-154
199511,8518,-470
199512,8452,-536
199601,8507,-488
199602,8647,-346
199603,8673,-321
199604,8617,-375
199605,8458,-532
199606,8283,-707
199607,8206,-784
199608,8216,-772
199609,8320,-666
199610,8347,-638
199611,8458,-530
199612,8542,-446
199701,8504,-491
199702,8638,-355
199703,8601,-393
199704,8739,-253
199705,8701,-289
199706,8731,-259
199707,8794,-196
199708,8824,-164
199709,8724,-262
199710,8700,-285
199711,8777,-211
199712,8833,-155
199801,8719,-276
199802,8621,-372
199803,8712,-282
199804,8640,-352
199805,8688,-302
199806,8847,-143
199807,8777,-213
199808,8744,-244
199809,8656,-330
199810,8631,-354
199811,8557,-431
199812,8581,-407
199901,8563,-432
199902,8535,-458
199903,8392,-602
199904,8422,-570
199905,8515,-475
199906,8412,-578
199907,8435,-555
199908,8467,-521
199909,8657,-329
199910,8582,-403
199911,8420,-568
199912,8316,-672
200001,8360,-635
200002,8276,-717
200003,8346,-648
200004,8125,-867
200005,7901,-1089
200006,7834,-1156
200007,7813,-1177
200008,7751,-1237
200009,7678,-1308
200010,7751,-1234
200011,8199,-789
200012,8202,-786
200101,8335,-660
200102,8477,-516
200103,8419,-575
200104,8501,-491
200105,8531,-459
200106,8510,-480
200107,8505,-485
200108,8513,-475
200109,8410,-576
200110,8342,-643
200111,8022,-966
200112,8133,-855
200201,8158,-837
200202,8174,-819
200203,8342,-652
200204,8304,-688
200205,8388,-602
200206,8359,-631
200207,8340,-650
200208,8369,-619
200209,8450,-536
200210,8601,-384
200211,8684,-304
200212,8576,-412
200301,8263,-732
200302,8282,-711
200303,8137,-857
200304,8192,-800
200305,8159,-831
200306,8272,-718
200307,8269,-721
200308,8234,-754
200309,8234,-752
200310,7985,-1000
200311,8087,-901
200312,8057,-931
200401,8349,-646
200402,8367,-626
200403,8222,-772
200404,8172,-820
200405,8181,-809
200406,8166,-824
200407,8234,-756
200408,8343,-645
200409,8395,-591
200410,8569,-416
200411,8461,-527
200412,8429,-559
200501,8208,-787
200502,8093,-900
200503,8265,-729
200504,8339,-653
200505,8375,-615
200506,8437,-553
200507,8397,-593
200508,8378,-610
200509,8358,-628
200510,8302,-683
200511,8238,-750
200512,8335,-653
200601,8414,-581
200602,8489,-504
200603,8580,-414
200604,8502,-490
200605,8422,-568
200606,8264,-726
200607,8248,-742
200608,8225,-763
200609,8304,-682
200610,8413,-572
200611,8429,-559
200612,8431,-557
200701,8700,-295
200702,8597,-396
200703,8382,-612
200704,8382,-610
200705,8439,-551
200706,8440,-550
200707,8434,-556
200708,8378,-610
200709,8275,-711
200710,8189,-796
200711,8079,-909
200712,8217,-771
200801,8227,-768
200802,8313,-680
200803,8580,-414
200804,8799,-193
200805,8895,-95
200806,9017,27
200807,9038,48
200808,9073,85
200809,9102,116
200810,9093,108
200811,9068,80
200812,8954,-34
200901,8642,-353
200902,8575,-418
200903,8437,-557
200904,8337,-655
200905,8210,-780
200906,8279,-711
200907,8317,-673
200908,8377,-611
200909,8276,-710
200910,8444,-541
200911,8551,-437
200912,8712,-276
201001,8807,-188
201002,8920,-73
201003,8934,-60
201004,8930,-62
201005,9147,157
201006,9029,39
201007,9025,35
201008,8989,1
201009,8994,8
201010,8768,-217
201011,8882,-106
201012,8597,-391
201101,8627,-368
201102,8658,-335
201103,8655,-339
201104,8699,-293
201105,8686,-304
201106,8752,-238
201107,8767,-223
201108,8732,-256
201109,8755,-231
201110,8825,-160
201111,8806,-182
201112,8957,-31
201201,8844,-151
201202,8783,-210
201203,8626,-368
201204,8431,-561
201205,8210,-780
201206,8053,-937
201207,8005,-985
201208,7973,-1015
201209,7958,-1028
201210,7954,-1031
201211,7783,-1205
201212,7784,-1204
201301,8038,-957
201302,8047,-946
201303,8180,-814
201304,8391,-601
201305,8440,-550
201306,8457,-533
201307,8451,-539
201308,8480,-508
201309,8519,-467
201310,8617,-368
201311,8753,-235
201312,8797,-191
201401,8521,-474
201402,8398,-595
201403,8347,-647
201404,8236,-756
201405,8204,-786
201406,8304,-686
201407,8311,-679
201408,8397,-591
201409,8377,-609
201410,8187,-798
201411,8189,-799
201412,8019,-969
201501,7938,-1057
201502,7844,-1149
201503,7713,-1281
201504,7688,-1304
201505,7813,-1177
201506,7700,-1290
201507,7778,-1212
201508,7724,-1264
201509,7679,-1307
201510,7629,-1356
201511,7719,-1269
201512,7896,-1092
201601,8132,-863
201602,8197,-796
201603,8332,-662
201604,8330,-662
201605,8308,-682
201606,8298,-692
201607,8233,-757
201608,8236,-752
201609,8321,-665
201610,8398,-587
201611,8152,-836
201612,8124,-864
201701,8226,-769
201702,8242,-751
201703,8125,-869
201704,8198,-794
201705,8175,-815
201706,8209,-781
201707,8191,-799
201708,8195,-793
201709,8228,-758
201710,8421,-564
201711,8451,-537
201712,8247,-741
201801,7998,-997
201802,8145,-848
201803,8304,-690
201804,8231,-761
201805,8111,-879
201806,8091,-899
201807,8079,-911
201808,8047,-941
201809,7923,-1063
201810,7898,-1087
201811,8105,-883
201812,8308,-680
201901,8516,-479
201902,8630,-363
201903,8778,-216
201904,8780,-212
201905,9030,40
201906,9183,193
201907,9210,220
201908,9186,198
201909,9235,249
201910,9424,439
201911,9310,322
201912,9269,281
202001,9187,192
202002,9096,103
202003,8950,-44
202004,8996,4
202005,8785,-205
202006,8728,-262
202007,8729,-261
202008,8707,-281
202009,8719,-267
202010,8412,-573
202011,8430,-558
202012,8416,-572
202101,8394,-601
202102,8347,-646
202103,8404,-590
202104,8410,-582
202105,8443,-547
202106,8321,-669
202107,8288,-702
202108,8350,-638
202109,8324,-662
202110,8376,-609
202111,8188,-800
202112,8098,-890
202201,8030,-965
202202,8048,-945
202203,7965,-1029
202204,7977,-1015
202205,8070,-920
202206,8166,-824
202207,8181,-809
202208,8142,-846
202209,8082,-904
202210,8035,-950
202211,8371,-617
202212,8509,-479
202301,8691,-304
202302,8770,-223
202303,9129,135
202304,9238,246
202305,9087,97
202306,9169,179
202307,9181,191
202308,9219,231
202309,9317,331
202310,9330,345
202311,9140,152
202312,8928,-60
202401,8786,-209
202402,8569,-424
202403,8244,-750
