Daggett County, Utah January-December Maximum Temperature
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
199001,54.9,2.0
199002,55.3,2.4
199003,55.1,2.2
199004,55.1,2.2
199005,54.8,1.9
199006,55.2,2.3
199007,54.7,1.8
199008,54.9,2.0
199009,55.3,2.4
199010,55.4,2.5
199011,55.1,2.2
199012,54.5,1.6
199101,54.2,1.3
199102,54.8,1.9
199103,54.5,1.6
199104,53.8,0.9
199105,53.7,0.8
199106,53.5,0.6
199107,53.5,0.6
199108,53.3,0.4
199109,52.9,0.0
199110,53.0,0.1
199111,52.6,-0.3
199112,53.1,0.2
199201,53.5,0.6
199202,53.4,0.5
199203,53.9,1.0
199204,54.9,2.0
199205,55.4,2.5
199206,55.3,2.4
199207,55.1,2.2
199208,55.2,2.3
199209,55.3,2.4
199210,55.5,2.6
199211,55.3,2.4
199212,55.0,2.1
199301,54.6,1.7
199302,53.9,1.0
199303,53.8,0.9
199304,52.9,0.0
199305,52.8,-0.1
199306,52.5,-0.4
199307,52.5,-0.4
199308,52.2,-0.7
199309,52.0,-0.9
199310,51.5,-1.4
199311,51.6,-1.3
199312,52.0,-0.9
199401,52.4,-0.5
199402,52.8,-0.1
199403,53.0,0.1
199404,53.3,0.4
199405,53.6,0.7
199406,54.4,1.5
199407,54.9,2.0
199408,55.4,2.5
199409,55.7,2.8
199410,55.6,2.7
199411,55.4,2.5
199412,55.5,2.6
199501,55.3,2.4
199502,56.0,3.1
199503,55.6,2.7
199504,55.3,2.4
199505,54.2,1.3
199506,53.3,0.4
199507,52.9,0.0
199508,52.9,0.0
199509,52.7,-0.2
199510,53.0,0.1
199511,54.0,1.1
199512,54.3,1.4
199601,54.2,1.3
199602,53.8,0.9
199603,53.8,0.9
199604,54.1,1.2
199605,54.7,1.8
199606,55.4,2.5
199607,55.8,2.9
199608,55.9,3.0
199609,55.5,2.6
199610,55.4,2.5
199611,55.0,2.1
199612,54.6,1.7
199701,54.7,1.8
199702,54.2,1.3
199703,54.4,1.5
